lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,pinning
0413340,0001424,0000071,0001046,0002905,0004238,0006482,0000000,001024,000,000,0001,02
0999999,0002043,0001743,0001428,0004719,0006502,0011652,0000000,001024,000,000,0001,02
0675371,0001700,0000070,0001117,0004919,0006031,0008446,0000000,001024,001,000,0001,02
0999999,0003537,0001132,0001969,0006913,0008696,0014677,0000000,001024,001,000,0001,02
0685129,0001710,0000070,0001117,0005410,0006793,0009177,0000000,001024,002,000,0001,02
0999999,0003305,0001102,0001968,0007654,0009067,0016471,0000000,001024,002,000,0001,02
0666694,0001690,0000070,0001114,0004929,0005991,0008385,0000000,001024,003,000,0001,02
0999999,0003535,0000962,0001993,0007594,0008466,0014066,0000000,001024,003,000,0001,02
0409612,0001420,0000071,0001047,0002905,0004238,0006472,0000000,001024,000,001,0001,02
0999999,0002134,0001663,0001423,0004238,0006652,0011331,0000000,001024,000,001,0001,02
0676272,0001701,0000070,0001116,0005089,0006012,0008846,0000000,001024,001,001,0001,02
0999999,0005928,0001563,0002023,0006983,0009428,0014698,0000000,001024,001,001,0001,02
0683957,0001708,0000061,0001115,0005420,0006782,0009187,0000000,001024,002,001,0001,02
0999999,0006328,0001032,0002028,0008426,0010059,0015499,0000000,001024,002,001,0001,02
0672044,0001697,0000070,0001115,0004949,0005992,0008516,0000000,001024,003,001,0001,02
0999999,0005650,0001713,0002030,0007123,0008186,0014567,0000000,001024,003,001,0001,02
0415304,0001424,0000071,0001047,0002906,0004248,0006472,0000000,001024,000,002,0001,02
0999999,0002118,0001733,0001426,0004489,0006382,0011812,0000000,001024,000,002,0001,02
0666624,0001690,0000061,0001116,0005200,0006041,0008816,0000000,001024,001,002,0001,02
0999999,0003358,0001302,0001973,0006943,0008516,0015018,0000000,001024,001,002,0001,02
0677014,0001700,0000061,0001115,0005450,0006803,0009187,0000000,001024,002,002,0001,02
0999999,0003477,0001142,0001979,0008236,0009979,0015168,0000000,001024,002,002,0001,02
0665973,0001689,0000070,0001115,0004960,0006001,0008606,0000000,001024,003,002,0001,02
0999999,0003445,0001723,0002047,0006752,0008106,0014637,0000000,001024,003,002,0001,02
0019997,0000662,0000030,0001037,0015729,0016471,0032231,0000000,001024,000,000,0032,02
0432927,0001434,0000841,0001467,0031489,0032842,0057038,0000000,001024,000,000,0032,02
0015429,0000341,0000030,0001034,0005040,0012543,0008305,0000000,001024,001,000,0032,02
0469494,0001471,0000752,0001507,0016421,0025167,0020198,0000000,001024,001,000,0032,02
0017373,0000351,0000030,0001036,0005981,0014317,0010570,0000000,001024,002,000,0032,02
0529847,0001531,0000692,0001565,0021530,0027482,0026289,0000000,001024,002,000,0032,02
0015540,0000340,0000030,0001034,0005040,0012633,0008325,0000000,001024,003,000,0032,02
0476406,0001479,0000862,0001510,0016421,0025267,0020218,0000000,001024,003,000,0032,02
0018605,0000641,0000030,0001034,0014818,0015530,0030378,0000000,001024,000,001,0032,02
0396798,0001397,0000832,0001427,0030197,0031379,0055365,0000000,001024,000,001,0032,02
0014578,0000340,0000030,0001032,0005030,0012023,0008266,0000000,001024,001,001,0032,02
0436682,0001437,0000682,0001479,0015159,0024376,0019006,0000000,001024,001,001,0032,02
0016451,0000351,0000030,0001033,0005902,0013756,0010460,0000000,001024,002,001,0032,02
0486195,0001487,0000761,0001522,0020078,0026620,0025618,0000000,001024,002,001,0032,02
0014597,0000340,0000030,0001032,0005029,0012023,0008285,0000000,001024,003,001,0032,02
0436130,0001437,0000671,0001481,0015238,0024336,0019187,0000000,001024,003,001,0032,02
0020198,0000962,0000030,0001039,0016010,0016792,0032872,0000000,001024,000,002,0032,02
0434019,0001436,0000742,0001467,0030998,0032462,0056326,0000000,001024,000,002,0032,02
0015720,0000341,0000030,0001036,0005049,0012805,0008306,0000000,001024,001,002,0032,02
0478811,0001480,0000812,0001514,0016341,0024957,0020098,0000000,001024,001,002,0032,02
0017633,0000351,0000030,0001038,0006011,0014647,0010580,0000000,001024,002,002,0032,02
0540668,0001541,0000761,0001575,0021421,0027342,0026219,0000000,001024,002,002,0032,02
0015720,0000341,0000030,0001036,0005039,0012795,0008306,0000000,001024,003,002,0032,02
0473771,0001476,0000732,0001510,0016240,0024937,0020108,0000000,001024,003,002,0032,02
0030487,0000330,0000030,0001030,0027232,0029125,0057769,0000000,001024,000,000,0128,02
0235494,0001235,0000591,0001325,0056988,0058371,0097204,0000000,001024,000,000,0128,02
0023113,0000321,0000030,0001023,0005070,0021601,0008376,0000000,001024,001,000,0128,02
0265269,0001265,0000611,0001390,0030097,0042680,0032060,0000000,001024,001,000,0128,02
0027272,0000321,0000030,0001026,0007114,0025739,0012594,0000000,001024,002,000,0128,02
0278073,0001277,0000591,0001396,0039334,0048461,0043502,0000000,001024,002,000,0128,02
0023154,0000320,0000030,0001023,0005069,0021611,0008376,0000000,001024,003,000,0128,02
0263916,0001263,0000621,0001385,0030046,0042831,0032241,0000000,001024,003,000,0128,02
0032822,0000331,0000030,0001032,0029195,0031459,0061356,0000000,001024,000,001,0128,02
0271522,0001271,0000592,0001371,0060695,0061416,0102323,0000000,001024,000,001,0128,02
0025187,0000321,0000030,0001025,0005090,0023565,0008426,0000000,001024,001,001,0128,02
0293251,0001292,0000632,0001419,0031298,0045005,0033603,0000000,001024,001,001,0128,02
0030056,0000321,0000030,0001028,0008857,0028474,0015339,0000000,001024,002,001,0128,02
0309212,0001308,0000602,0001428,0041047,0050505,0045215,0000000,001024,002,001,0128,02
0025338,0000320,0000030,0001025,0005099,0023694,0008466,0000000,001024,003,001,0128,02
0293463,0001292,0000651,0001419,0031459,0044855,0033824,0000000,001024,003,001,0128,02
0032541,0000330,0000030,0001032,0029185,0031239,0061295,0000000,001024,000,002,0128,02
0252707,0001252,0000601,0001345,0059081,0060213,0100740,0000000,001024,000,002,0128,02
0025167,0000321,0000030,0001025,0005089,0023604,0008425,0000000,001024,001,002,0128,02
0278013,0001277,0000631,0001407,0030788,0043622,0032822,0000000,001024,001,002,0128,02
0029676,0000321,0000030,0001028,0007975,0028153,0013896,0000000,001024,002,002,0128,02
0294134,0001293,0000601,0001417,0040256,0049443,0044474,0000000,001024,002,002,0128,02
0025178,0000320,0000030,0001025,0005089,0023605,0008436,0000000,001024,003,002,0128,02
0279836,0001278,0000651,0001405,0030848,0043692,0032872,0000000,001024,003,002,0128,02
0035016,0000320,0000030,0001032,0031380,0033934,0066726,0000000,001024,000,000,0512,02
0098346,0001115,0000561,0001194,0067968,0067358,0112923,0000000,001024,000,000,0512,02
0026449,0000321,0000030,0001023,0005210,0025287,0008656,0000000,001024,001,000,0512,02
0107532,0001106,0000571,0001244,0038542,0049383,0041859,0000000,001024,001,000,0512,02
0032020,0000320,0000030,0001026,0009558,0030958,0017052,0000000,001024,002,000,0512,02
0120887,0001119,0000561,0001253,0048581,0057038,0054322,0000000,001024,002,000,0512,02
0026240,0000320,0000030,0001023,0005190,0025127,0008656,0000000,001024,003,000,0512,02
0106620,0001104,0000571,0001246,0038693,0049363,0041889,0000000,001024,003,000,0512,02
0032482,0000321,0000030,0001030,0029024,0031429,0061997,0000000,001024,000,001,0512,02
0090201,0001107,0000571,0001183,0064021,0064833,0106992,0000000,001024,000,001,0512,02
0023895,0000311,0000030,0001019,0005110,0022783,0008466,0000000,001024,001,001,0512,02
0095880,0001094,0000571,0001230,0037330,0047510,0040186,0000000,001024,001,001,0512,02
0029896,0000320,0000030,0001024,0008586,0028794,0015900,0000000,001024,002,001,0512,02
0105919,0001104,0000561,0001239,0047229,0055635,0052569,0000000,001024,002,001,0512,02
0024065,0000321,0000030,0001019,0005120,0022944,0008486,0000000,001024,003,001,0512,02
0094828,0001093,0000561,0001229,0037310,0047560,0040477,0000000,001024,003,001,0512,02
0031619,0000321,0000030,0001029,0028143,0030517,0061536,0000000,001024,000,002,0512,02
0090310,0001109,0000561,0001181,0065754,0065533,0110048,0000000,001024,000,002,0512,02
0022131,0000311,0000030,0001019,0005110,0021009,0008476,0000000,001024,001,002,0512,02
0090771,0001089,0000561,0001230,0037511,0048492,0040486,0000000,001024,001,002,0512,02
0022422,0000320,0000030,0001019,0005120,0021260,0008516,0000000,001024,002,002,0512,02
0090811,0001089,0000561,0001232,0037570,0048561,0040766,0000000,001024,002,002,0512,02
0027793,0000321,0000030,0001023,0007574,0026690,0013475,0000000,001024,003,002,0512,02
0104086,0001102,0000561,0001241,0047379,0056176,0053190,0000000,001024,003,002,0512,02
