lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,numa,cnNR,mnNR,threadNR,maxHandover
0000000,0001018,0000200,0001002,0002314,0002574,0002124,0000009,001024,000,000,00000008,01,001,002,016,016
0000000,0001157,0000681,0001005,0003226,0003517,0002795,0000166,001024,000,000,00000008,01,001,002,016,016
0000000,0001023,0000200,0001002,0002284,0002545,0002073,0000009,001024,000,001,00000008,01,001,002,016,016
0000000,0001145,0000652,0001006,0003186,0003487,0002756,0000154,001024,000,001,00000008,01,001,002,016,016
0000000,0001022,0000200,0001002,0002284,0002554,0002084,0000009,001024,000,002,00000008,01,001,002,016,016
0000000,0001148,0000671,0001004,0003216,0003486,0002766,0000157,001024,000,002,00000008,01,001,002,016,016
0000000,0000521,0000110,0001002,0002364,0002635,0002164,0000011,001024,000,000,00000128,01,001,002,016,016
0000000,0001044,0000581,0001006,0003306,0003597,0002896,0000052,001024,000,000,00000128,01,001,002,016,016
0000000,0000521,0000110,0001002,0002345,0002635,0002164,0000011,001024,000,001,00000128,01,001,002,016,016
0000000,0001049,0000592,0001006,0003326,0003597,0002905,0000056,001024,000,001,00000128,01,001,002,016,016
0000000,0000521,0000110,0001002,0002364,0002635,0002164,0000011,001024,000,002,00000128,01,001,002,016,016
0000000,0001052,0000581,0001006,0003347,0003597,0002906,0000060,001024,000,002,00000128,01,001,002,016,016
0000000,0000511,0000080,0001002,0002375,0002665,0002174,0000011,001024,000,000,00001024,01,001,002,016,016
0000000,0001030,0000541,0001006,0003387,0003676,0002935,0000038,001024,000,000,00001024,01,001,002,016,016
0000000,0000521,0000080,0001002,0002375,0002665,0002174,0000011,001024,000,001,00001024,01,001,002,016,016
0000000,0001031,0000541,0001006,0003406,0003677,0002936,0000039,001024,000,001,00001024,01,001,002,016,016
0000000,0000511,0000080,0001002,0002364,0002655,0002164,0000011,001024,000,002,00001024,01,001,002,016,016
0000000,0001030,0000541,0001006,0003306,0003637,0002915,0000038,001024,000,002,00001024,01,001,002,016,016
