lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,numa,cnNR,mnNR,threadNR,maxHandover
0000000,0001023,0000180,0001002,0002224,0002565,0002014,0000009,001024,000,000,00000008,01,001,002,016,016
0000000,0001142,0000581,0001006,0003086,0003617,0003116,0000150,001024,000,000,00000008,01,001,002,016,016
0000000,0001022,0000180,0001002,0002204,0002565,0002014,0000009,001024,000,001,00000008,01,001,002,016,016
0000000,0001144,0000562,0001006,0003036,0003616,0003096,0000152,001024,000,001,00000008,01,001,002,016,016
0000000,0001021,0000180,0001002,0002214,0002575,0002014,0000009,001024,000,002,00000008,01,001,002,016,016
0000000,0001147,0000581,0001006,0003076,0003607,0003096,0000156,001024,000,002,00000008,01,001,002,016,016
0000000,0000181,0000161,0001002,0002354,0002625,0002164,0000010,001024,000,000,00000128,01,001,002,016,016
0000000,0001039,0000431,0001006,0003206,0003677,0003026,0000046,001024,000,000,00000128,01,001,002,016,016
0000000,0000180,0000170,0001002,0002334,0002625,0002144,0000010,001024,000,001,00000128,01,001,002,016,016
0000000,0001052,0000441,0001006,0003216,0003667,0003006,0000057,001024,000,001,00000128,01,001,002,016,016
0000000,0000181,0000161,0001002,0002345,0002634,0002164,0000010,001024,000,002,00000128,01,001,002,016,016
0000000,0001041,0000431,0001006,0003206,0003667,0003016,0000047,001024,000,002,00000128,01,001,002,016,016
0000000,0000171,0000030,0001002,0002395,0002655,0002144,0000010,001024,000,000,00001024,01,001,002,016,016
0000000,0001032,0000391,0001005,0003286,0003717,0003035,0000039,001024,000,000,00001024,01,001,002,016,016
0000000,0000170,0000031,0001002,0002364,0002625,0002124,0000010,001024,000,001,00001024,01,001,002,016,016
0000000,0001058,0000451,0001006,0003236,0003677,0002995,0000062,001024,000,001,00001024,01,001,002,016,016
0000000,0000170,0000030,0001002,0002385,0002645,0002144,0000010,001024,000,002,00001024,01,001,002,016,016
0000000,0001033,0000400,0001005,0003316,0003707,0003026,0000039,001024,000,002,00001024,01,001,002,016,016
0000000,0000190,0000040,0001014,0008175,0002955,0002394,0000009,001024,000,000,00000008,01,004,002,016,016
0000000,0002441,0000450,0001255,0012183,0006312,0005461,0001462,001024,000,000,00000008,01,004,002,016,016
0000000,0000181,0000041,0001012,0008727,0004709,0004058,0000010,001024,001,000,00000008,01,004,002,016,016
0000000,0002408,0000401,0001229,0012443,0006382,0005600,0001433,001024,001,000,00000008,01,004,002,016,016
0000000,0000201,0000151,0001012,0010369,0004959,0004217,0000033,001024,002,000,00000008,01,004,002,016,016
0000000,0002147,0000471,0001229,0012614,0006372,0005691,0001195,001024,002,000,00000008,01,004,002,016,016
0000000,0000200,0000151,0001012,0010339,0004939,0004198,0000040,001024,003,000,00000008,01,004,002,016,016
0000000,0002139,0000471,0001230,0012583,0006362,0005640,0001181,001024,003,000,00000008,01,004,002,016,016
0000000,0001012,0000170,0001017,0008606,0003116,0002595,0000009,001024,000,001,00000008,01,004,002,016,016
0000000,0002164,0000491,0001244,0012663,0006502,0005621,0001172,001024,000,001,00000008,01,004,002,016,016
0000000,0001012,0000171,0001017,0008827,0004609,0003877,0000009,001024,001,001,00000008,01,004,002,016,016
