tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate
000,00000000,00607251,00004521,010,00325004,00013096,00000000,001024,000,000,00001024,00305114,01,0000021170331969,00000000,00000000,004,002,016,016,1
001,00000000,00608367,00003903,010,00326410,00012905,00000000,001024,000,000,00001024,00305910,01,0000021274722424,00000000,00000000,004,002,016,016,1
002,00000000,00608670,00003439,010,00325331,00012865,00000000,001024,000,000,00001024,00306013,01,0000020815639785,00000000,00000000,004,002,016,016,1
003,00000000,00607291,00003568,010,00325572,00013118,00000000,001024,000,000,00001024,00305579,01,0000021233708067,00000000,00000000,004,002,016,016,1
004,00000000,00607395,00013593,010,00325131,00013144,00000000,001024,000,000,00001024,00305489,01,0000021191028476,00000000,00000000,004,002,016,016,1
005,00000000,00608052,00010348,010,00325572,00012853,00000000,001024,000,000,00001024,00305899,01,0000020918629731,00000000,00000000,004,002,016,016,1
006,00000000,00606427,00006325,010,00323831,00012960,00000000,001024,000,000,00001024,00305217,01,0000020890284230,00000000,00000000,004,002,016,016,1
007,00000000,00605366,00003408,010,00324792,00012729,00000000,001024,000,000,00001024,00304781,01,0000020988960068,00000000,00000000,004,002,016,016,1
008,00000000,00604040,00003193,010,00323796,00012807,00000000,001024,000,000,00001024,00303851,01,0000020897688620,00000000,00000000,004,002,016,016,1
009,00000000,00604221,00003040,010,00323913,00012914,00000000,001024,000,000,00001024,00304185,01,0000021197431559,00000000,00000000,004,002,016,016,1
010,00000000,00603219,00004675,010,00323953,00013126,00000000,001024,000,000,00001024,00303563,01,0000021163675484,00000000,00000000,004,002,016,016,1
011,00000000,00603942,00009682,010,00324094,00012888,00000000,001024,000,000,00001024,00304381,01,0000020433184972,00000000,00000000,004,002,016,016,1
012,00000000,00603112,00004453,010,00323192,00013106,00000000,001024,000,000,00001024,00303859,01,0000020153947908,00000000,00000000,004,002,016,016,1
013,00000000,00576478,00003441,010,00308711,00012613,00000000,001024,000,000,00001024,00290287,01,0000002317401670,00000000,00000000,004,002,016,016,1
014,00000000,00603699,00006875,010,00323798,00012902,00000000,001024,000,000,00001024,00303726,01,0000020281147249,00000000,00000000,004,002,016,016,1
015,00000000,00602948,00002999,010,00323269,00013070,00000000,001024,000,000,00001024,00303480,01,0000020169731934,00000000,00000000,004,002,016,016,1
000,00000000,00752905,00005538,010,00463218,00014373,00000000,001024,001,000,00001024,00378640,01,0000021282111801,00000000,00000000,004,002,016,016,1
001,00000000,00755553,00004706,010,00461514,00014339,00000000,001024,001,000,00001024,00379744,01,0000021494214503,00000000,00000000,004,002,016,016,1
002,00000000,00753122,00004299,010,00461238,00014517,00000000,001024,001,000,00001024,00379120,01,0000020998946692,00000000,00000000,004,002,016,016,1
003,00000000,00752407,00004396,010,00460810,00014496,00000000,001024,001,000,00001024,00378439,01,0000021497866784,00000000,00000000,004,002,016,016,1
004,00000000,00756096,00016696,010,00462725,00014233,00000000,001024,001,000,00001024,00380094,01,0000021430037747,00000000,00000000,004,002,016,016,1
005,00000000,00749202,00012671,010,00459806,00014196,00000000,001024,001,000,00001024,00377085,01,0000021103458780,00000000,00000000,004,002,016,016,1
006,00000000,00750289,00007897,010,00458362,00014402,00000000,001024,001,000,00001024,00377348,01,0000020946717816,00000000,00000000,004,002,016,016,1
007,00000000,00750078,00004131,010,00460475,00014390,00000000,001024,001,000,00001024,00378013,01,0000020808219074,00000000,00000000,004,002,016,016,1
008,00000000,00752219,00003830,010,00463988,00013961,00000000,001024,001,000,00001024,00378452,01,0000021026549090,00000000,00000000,004,002,016,016,1
009,00000000,00750889,00003742,010,00461888,00014495,00000000,001024,001,000,00001024,00378068,01,0000021369140247,00000000,00000000,004,002,016,016,1
010,00000000,00751288,00005712,010,00458597,00014237,00000000,001024,001,000,00001024,00377618,01,0000021216877714,00000000,00000000,004,002,016,016,1
011,00000000,00716537,00012005,010,00436570,00013823,00000000,001024,001,000,00001024,00360743,01,0000002205809599,00000000,00000000,004,002,016,016,1
012,00000000,00749065,00005528,010,00461141,00014037,00000000,001024,001,000,00001024,00376965,01,0000020614703506,00000000,00000000,004,002,016,016,1
013,00000000,00748168,00004283,010,00458589,00014078,00000000,001024,001,000,00001024,00376299,01,0000020870713284,00000000,00000000,004,002,016,016,1
014,00000000,00749068,00008537,010,00459566,00014076,00000000,001024,001,000,00001024,00377041,01,0000020707227352,00000000,00000000,004,002,016,016,1
015,00000000,00753220,00003693,010,00460927,00014178,00000000,001024,001,000,00001024,00379003,01,0000020552226713,00000000,00000000,004,002,016,016,1
000,00000000,00211456,00001568,010,00136522,00001923,00000000,001024,002,000,00001024,00105706,01,0000022356962885,00000000,00000000,004,002,016,016,1
001,00000000,00211116,00001299,010,00138212,00001955,00000000,001024,002,000,00001024,00106244,01,0000021797849833,00000000,00000000,004,002,016,016,1
002,00000000,00210688,00001242,010,00137849,00001967,00000000,001024,002,000,00001024,00105921,01,0000021842588038,00000000,00000000,004,002,016,016,1
003,00000000,00210847,00001252,010,00138345,00001977,00000000,001024,002,000,00001024,00105633,01,0000022049250397,00000000,00000000,004,002,016,016,1
004,00000000,00210724,00004649,010,00136985,00001987,00000000,001024,002,000,00001024,00106100,01,0000022095807696,00000000,00000000,004,002,016,016,1
005,00000000,00210920,00003580,010,00136706,00002012,00000000,001024,002,000,00001024,00105603,01,0000021826096642,00000000,00000000,004,002,016,016,1
006,00000000,00210729,00002230,010,00139013,00001930,00000000,001024,002,000,00001024,00106069,01,0000021828330087,00000000,00000000,004,002,016,016,1
007,00000000,00210779,00001122,010,00137907,00001906,00000000,001024,002,000,00001024,00105618,01,0000021739665684,00000000,00000000,004,002,016,016,1
008,00000000,00211058,00001064,010,00137827,00001994,00000000,001024,002,000,00001024,00105623,01,0000021711471786,00000000,00000000,004,002,016,016,1
