tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00000000,00886510,010,00845964,00021228,001024,000,000,00016384
001,00000000,00886249,010,00847384,00021297,001024,000,000,00016384
002,00000000,00885305,010,00844496,00021271,001024,000,000,00016384
003,00000000,00877631,010,00838132,00020874,001024,000,000,00016384
004,00000000,00881237,010,00841216,00021180,001024,000,000,00016384
005,00000000,00882270,010,00840617,00021551,001024,000,000,00016384
006,00000000,00879995,010,00839782,00020968,001024,000,000,00016384
007,00000000,00877904,010,00839184,00020935,001024,000,000,00016384
008,00000000,00883294,010,00842814,00021023,001024,000,000,00016384
009,00000000,00882665,010,00842530,00021288,001024,000,000,00016384
010,00000000,00880855,010,00839958,00021216,001024,000,000,00016384
011,00000000,00875360,010,00837252,00020966,001024,000,000,00016384
012,00000000,00879948,010,00840448,00021199,001024,000,000,00016384
013,00000000,00881361,010,00841813,00020920,001024,000,000,00016384
014,00000000,00878380,010,00837410,00021279,001024,000,000,00016384
015,00000000,00878683,010,00839934,00020997,001024,000,000,00016384
016,00000000,00870567,010,00831720,00021174,001024,000,000,00016384
017,00000000,00870376,010,00831350,00021035,001024,000,000,00016384
018,00000000,00869879,010,00830258,00021139,001024,000,000,00016384
019,00000000,00867827,010,00827920,00021076,001024,000,000,00016384
020,00000000,00870662,010,00831870,00021149,001024,000,000,00016384
021,00000000,00870809,010,00831344,00021040,001024,000,000,00016384
022,00000000,00869858,010,00830476,00020802,001024,000,000,00016384
023,00000000,00869453,010,00829350,00021091,001024,000,000,00016384
024,00000000,00867778,010,00827478,00021025,001024,000,000,00016384
025,00000000,00867157,010,00828980,00020877,001024,000,000,00016384
026,00000000,00866772,010,00826312,00021004,001024,000,000,00016384
027,00000000,00861895,010,00822880,00020843,001024,000,000,00016384
028,00000000,00869695,010,00830890,00020589,001024,000,000,00016384
029,00000000,00871443,010,00829958,00020988,001024,000,000,00016384
030,00000000,00868206,010,00829054,00020902,001024,000,000,00016384
031,00000000,00868902,010,00828240,00021111,001024,000,000,00016384
000,00000000,00892894,010,00852640,00021508,001024,000,001,00016384
001,00000000,00894327,010,00853786,00021277,001024,000,001,00016384
002,00000000,00892626,010,00851504,00021320,001024,000,001,00016384
003,00000000,00882749,010,00843292,00021454,001024,000,001,00016384
004,00000000,00886710,010,00848928,00021283,001024,000,001,00016384
005,00000000,00887504,010,00847238,00021494,001024,000,001,00016384
006,00000000,00885682,010,00846048,00021401,001024,000,001,00016384
007,00000000,00885359,010,00844991,00021394,001024,000,001,00016384
008,00000000,00887260,010,00848736,00021451,001024,000,001,00016384
009,00000000,00889175,010,00849602,00021234,001024,000,001,00016384
010,00000000,00887557,010,00846398,00021203,001024,000,001,00016384
011,00000000,00882681,010,00841196,00021629,001024,000,001,00016384
012,00000000,00887527,010,00846489,00021628,001024,000,001,00016384
013,00000000,00887349,010,00846312,00021308,001024,000,001,00016384
014,00000000,00884526,010,00844444,00021466,001024,000,001,00016384
015,00000000,00876590,010,00837392,00021235,001024,000,001,00016384
016,00000000,00875945,010,00835616,00021335,001024,000,001,00016384
017,00000000,00875701,010,00835146,00021066,001024,000,001,00016384
018,00000000,00884309,010,00843740,00021435,001024,000,001,00016384
019,00000000,00871904,010,00832026,00021345,001024,000,001,00016384
020,00000000,00877581,010,00836922,00021154,001024,000,001,00016384
021,00000000,00876429,010,00835886,00021231,001024,000,001,00016384
022,00000000,00874825,010,00835029,00021393,001024,000,001,00016384
023,00000000,00872885,010,00833556,00021186,001024,000,001,00016384
024,00000000,00874023,010,00832432,00021425,001024,000,001,00016384
025,00000000,00872373,010,00831474,00021423,001024,000,001,00016384
026,00000000,00871515,010,00831466,00021173,001024,000,001,00016384
027,00000000,00869257,010,00828792,00020938,001024,000,001,00016384
028,00000000,00873458,010,00834160,00021148,001024,000,001,00016384
029,00000000,00874005,010,00834912,00021112,001024,000,001,00016384
030,00000000,00873601,010,00833186,00021121,001024,000,001,00016384
031,00000000,00873500,010,00832542,00021413,001024,000,001,00016384
000,00000000,00897311,010,00857164,00021805,001024,000,002,00016384
001,00000000,00898065,010,00857468,00021640,001024,000,002,00016384
002,00000000,00898374,010,00856937,00021733,001024,000,002,00016384
003,00000000,00894258,010,00852970,00021918,001024,000,002,00016384
004,00000000,00894287,010,00853697,00021680,001024,000,002,00016384
005,00000000,00891066,010,00850890,00021907,001024,000,002,00016384
006,00000000,00892005,010,00850821,00021646,001024,000,002,00016384
007,00000000,00890264,010,00852118,00021458,001024,000,002,00016384
008,00000000,00890630,010,00849884,00021730,001024,000,002,00016384
009,00000000,00892761,010,00853538,00021748,001024,000,002,00016384
010,00000000,00887532,010,00848066,00021841,001024,000,002,00016384
011,00000000,00885475,010,00844672,00021593,001024,000,002,00016384
012,00000000,00889254,010,00847066,00021785,001024,000,002,00016384
013,00000000,00888427,010,00849436,00021709,001024,000,002,00016384
014,00000000,00887625,010,00846998,00021507,001024,000,002,00016384
015,00000000,00886203,010,00847374,00021471,001024,000,002,00016384
016,00000000,00878418,010,00838214,00021380,001024,000,002,00016384
017,00000000,00877290,010,00838193,00021554,001024,000,002,00016384
018,00000000,00876536,010,00835504,00021649,001024,000,002,00016384
019,00000000,00873549,010,00833256,00021506,001024,000,002,00016384
020,00000000,00877568,010,00837292,00021433,001024,000,002,00016384
021,00000000,00876054,010,00836977,00021595,001024,000,002,00016384
022,00000000,00875040,010,00834412,00021483,001024,000,002,00016384
023,00000000,00875666,010,00834458,00021601,001024,000,002,00016384
024,00000000,00879269,010,00840164,00021725,001024,000,002,00016384
025,00000000,00879204,010,00839110,00021516,001024,000,002,00016384
026,00000000,00878643,010,00837858,00021518,001024,000,002,00016384
027,00000000,00875046,010,00834296,00021381,001024,000,002,00016384
028,00000000,00881443,010,00842559,00021541,001024,000,002,00016384
029,00000000,00880594,010,00840542,00021478,001024,000,002,00016384
030,00000000,00879894,010,00839490,00021229,001024,000,002,00016384
031,00000000,00880547,010,00839868,00021524,001024,000,002,00016384
