tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00096574,00096574,010,00235763,001024,001,000,0256
001,00097440,00097440,010,00238741,001024,001,000,0256
002,00096331,00096331,010,00235539,001024,001,000,0256
003,00096844,00096844,010,00237033,001024,001,000,0256
004,00096531,00096531,010,00236827,001024,001,000,0256
005,00095621,00095621,010,00233640,001024,001,000,0256
006,00096129,00096129,010,00235565,001024,001,000,0256
007,00095285,00095285,010,00232255,001024,001,000,0256
008,00095240,00095240,010,00232665,001024,001,000,0256
009,00094986,00094986,010,00231706,001024,001,000,0256
010,00095862,00095862,010,00234671,001024,001,000,0256
011,00095227,00095227,010,00233343,001024,001,000,0256
012,00094102,00094102,010,00229238,001024,001,000,0256
013,00096071,00096071,010,00234478,001024,001,000,0256
014,00095918,00095918,010,00234004,001024,001,000,0256
015,00093502,00093502,010,00228090,001024,001,000,0256
016,00094775,00094775,010,00231427,001024,001,000,0256
017,00095202,00095202,010,00232654,001024,001,000,0256
018,00093812,00093812,010,00229111,001024,001,000,0256
019,00094143,00094143,010,00229867,001024,001,000,0256
020,00093321,00093321,010,00228114,001024,001,000,0256
021,00093630,00093630,010,00228481,001024,001,000,0256
022,00094270,00094270,010,00230204,001024,001,000,0256
023,00093010,00093010,010,00226168,001024,001,000,0256
024,00092987,00092987,010,00226547,001024,001,000,0256
025,00093875,00093875,010,00228591,001024,001,000,0256
026,00093702,00093702,010,00228900,001024,001,000,0256
027,00093868,00093868,010,00229275,001024,001,000,0256
028,00092141,00092141,010,00224443,001024,001,000,0256
029,00093150,00093150,010,00227675,001024,001,000,0256
030,00091246,00091246,010,00221698,001024,001,000,0256
031,00092535,00092535,010,00225184,001024,001,000,0256
000,00097642,00097642,010,00239267,001024,002,000,0256
001,00097515,00097515,010,00239152,001024,002,000,0256
002,00096400,00096400,010,00236302,001024,002,000,0256
003,00095369,00095369,010,00233392,001024,002,000,0256
004,00094731,00094731,010,00231336,001024,002,000,0256
005,00096246,00096246,010,00235150,001024,002,000,0256
006,00094612,00094612,010,00231472,001024,002,000,0256
007,00093948,00093948,010,00230155,001024,002,000,0256
008,00093677,00093677,010,00228660,001024,002,000,0256
009,00095907,00095907,010,00234923,001024,002,000,0256
010,00095167,00095167,010,00232974,001024,002,000,0256
011,00094188,00094188,010,00229997,001024,002,000,0256
012,00093320,00093320,010,00228411,001024,002,000,0256
013,00095086,00095086,010,00232463,001024,002,000,0256
014,00093209,00093209,010,00227465,001024,002,000,0256
015,00093990,00093990,010,00229383,001024,002,000,0256
016,00095065,00095065,010,00232704,001024,002,000,0256
017,00092312,00092312,010,00225007,001024,002,000,0256
018,00092716,00092716,010,00226234,001024,002,000,0256
019,00094303,00094303,010,00230296,001024,002,000,0256
020,00094632,00094632,010,00231371,001024,002,000,0256
021,00092725,00092725,010,00226363,001024,002,000,0256
022,00092383,00092383,010,00225422,001024,002,000,0256
023,00094268,00094268,010,00230217,001024,002,000,0256
024,00093850,00093850,010,00229385,001024,002,000,0256
025,00091679,00091679,010,00223967,001024,002,000,0256
026,00093919,00093919,010,00229260,001024,002,000,0256
027,00092175,00092175,010,00225144,001024,002,000,0256
028,00093535,00093535,010,00228153,001024,002,000,0256
029,00091340,00091340,010,00223091,001024,002,000,0256
030,00092580,00092580,010,00226241,001024,002,000,0256
031,00091186,00091186,010,00222257,001024,002,000,0256
000,00110370,00110370,010,00281839,001024,003,000,0256
001,00116118,00116118,010,00298094,001024,003,000,0256
002,00110339,00110339,010,00282066,001024,003,000,0256
003,00115411,00115411,010,00296185,001024,003,000,0256
004,00110187,00110187,010,00280561,001024,003,000,0256
005,00109765,00109765,010,00278572,001024,003,000,0256
006,00114580,00114580,010,00294350,001024,003,000,0256
007,00114303,00114303,010,00293769,001024,003,000,0256
008,00108858,00108858,010,00277308,001024,003,000,0256
009,00109215,00109215,010,00278177,001024,003,000,0256
010,00109710,00109710,010,00278114,001024,003,000,0256
011,00114382,00114382,010,00293051,001024,003,000,0256
012,00113787,00113787,010,00291493,001024,003,000,0256
013,00107543,00107543,010,00273107,001024,003,000,0256
014,00113896,00113896,010,00292169,001024,003,000,0256
015,00112907,00112907,010,00289793,001024,003,000,0256
016,00107846,00107846,010,00274266,001024,003,000,0256
017,00113419,00113419,010,00290280,001024,003,000,0256
018,00107440,00107440,010,00274565,001024,003,000,0256
019,00107587,00107587,010,00274219,001024,003,000,0256
020,00112675,00112675,010,00288324,001024,003,000,0256
021,00112625,00112625,010,00288543,001024,003,000,0256
022,00106947,00106947,010,00271994,001024,003,000,0256
023,00107123,00107123,010,00273506,001024,003,000,0256
024,00112565,00112565,010,00288125,001024,003,000,0256
025,00112943,00112943,010,00289651,001024,003,000,0256
026,00107050,00107050,010,00271725,001024,003,000,0256
027,00106077,00106077,010,00270262,001024,003,000,0256
028,00110716,00110716,010,00283276,001024,003,000,0256
029,00111979,00111979,010,00286165,001024,003,000,0256
030,00106955,00106955,010,00271954,001024,003,000,0256
031,00112082,00112082,010,00287264,001024,003,000,0256
000,00095758,00095758,010,00234398,001024,004,000,0256
001,00094943,00094943,010,00231748,001024,004,000,0256
002,00094445,00094445,010,00231204,001024,004,000,0256
003,00095412,00095412,010,00233493,001024,004,000,0256
004,00095717,00095717,010,00234074,001024,004,000,0256
005,00094198,00094198,010,00230849,001024,004,000,0256
006,00093948,00093948,010,00229252,001024,004,000,0256
007,00093172,00093172,010,00227186,001024,004,000,0256
008,00094604,00094604,010,00231462,001024,004,000,0256
009,00093608,00093608,010,00227908,001024,004,000,0256
010,00092608,00092608,010,00226175,001024,004,000,0256
011,00094150,00094150,010,00229653,001024,004,000,0256
012,00094110,00094110,010,00229645,001024,004,000,0256
013,00092916,00092916,010,00226707,001024,004,000,0256
014,00094140,00094140,010,00229260,001024,004,000,0256
015,00094376,00094376,010,00229897,001024,004,000,0256
016,00092388,00092388,010,00225147,001024,004,000,0256
017,00092006,00092006,010,00224077,001024,004,000,0256
018,00092068,00092068,010,00224315,001024,004,000,0256
019,00093124,00093124,010,00227137,001024,004,000,0256
020,00091646,00091646,010,00223827,001024,004,000,0256
021,00093643,00093643,010,00228334,001024,004,000,0256
022,00092986,00092986,010,00226683,001024,004,000,0256
023,00091372,00091372,010,00222666,001024,004,000,0256
