tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00174357,00174357,010,00413479,001024,001,000,0256
001,00174668,00174668,010,00414054,001024,001,000,0256
002,00174164,00174164,010,00413101,001024,001,000,0256
003,00174491,00174491,010,00414248,001024,001,000,0256
004,00173982,00173982,010,00413025,001024,001,000,0256
005,00174715,00174715,010,00413632,001024,001,000,0256
006,00173752,00173752,010,00413265,001024,001,000,0256
007,00174399,00174399,010,00414099,001024,001,000,0256
008,00173763,00173763,010,00412203,001024,001,000,0256
009,00173273,00173273,010,00411736,001024,001,000,0256
010,00173931,00173931,010,00413221,001024,001,000,0256
011,00174128,00174128,010,00413077,001024,001,000,0256
012,00174269,00174269,010,00413611,001024,001,000,0256
013,00173884,00173884,010,00413097,001024,001,000,0256
014,00174283,00174283,010,00413257,001024,001,000,0256
015,00174411,00174411,010,00413648,001024,001,000,0256
016,00174127,00174127,010,00412814,001024,001,000,0256
017,00173653,00173653,010,00411682,001024,001,000,0256
018,00173948,00173948,010,00412822,001024,001,000,0256
019,00174188,00174188,010,00413441,001024,001,000,0256
020,00174065,00174065,010,00413431,001024,001,000,0256
021,00173484,00173484,010,00412215,001024,001,000,0256
022,00174018,00174018,010,00413411,001024,001,000,0256
023,00173771,00173771,010,00412123,001024,001,000,0256
024,00173142,00173142,010,00410699,001024,001,000,0256
025,00173536,00173536,010,00412638,001024,001,000,0256
026,00173731,00173731,010,00412245,001024,001,000,0256
027,00172934,00172934,010,00410214,001024,001,000,0256
028,00173963,00173963,010,00412599,001024,001,000,0256
029,00173047,00173047,010,00411562,001024,001,000,0256
030,00173802,00173802,010,00412398,001024,001,000,0256
031,00173591,00173591,010,00411210,001024,001,000,0256
000,00078100,00078100,010,00225237,001024,002,000,0256
001,00077500,00077500,010,00224774,001024,002,000,0256
002,00070581,00070581,010,00204082,001024,002,000,0256
003,00077300,00077300,010,00224129,001024,002,000,0256
004,00071200,00071200,010,00205653,001024,002,000,0256
005,00076800,00076800,010,00223279,001024,002,000,0256
006,00077401,00077401,010,00223852,001024,002,000,0256
007,00077300,00077300,010,00224940,001024,002,000,0256
008,00077178,00077178,010,00225026,001024,002,000,0256
009,00076500,00076500,010,00220911,001024,002,000,0256
010,00077430,00077430,010,00223731,001024,002,000,0256
011,00077466,00077466,010,00224428,001024,002,000,0256
012,00077400,00077400,010,00223477,001024,002,000,0256
013,00076600,00076600,010,00221547,001024,002,000,0256
014,00076200,00076200,010,00220876,001024,002,000,0256
015,00077329,00077329,010,00224449,001024,002,000,0256
016,00070700,00070700,010,00204339,001024,002,000,0256
017,00077200,00077200,010,00223416,001024,002,000,0256
018,00076461,00076461,010,00221140,001024,002,000,0256
019,00077500,00077500,010,00224570,001024,002,000,0256
020,00074500,00074500,010,00215352,001024,002,000,0256
021,00076129,00076129,010,00220626,001024,002,000,0256
022,00076900,00076900,010,00222681,001024,002,000,0256
023,00077500,00077500,010,00224753,001024,002,000,0256
024,00077800,00077800,010,00223953,001024,002,000,0256
025,00077400,00077400,010,00223378,001024,002,000,0256
026,00077557,00077557,010,00224007,001024,002,000,0256
027,00077200,00077200,010,00221966,001024,002,000,0256
028,00076473,00076473,010,00220742,001024,002,000,0256
029,00075800,00075800,010,00218908,001024,002,000,0256
030,00076365,00076365,010,00220782,001024,002,000,0256
031,00076700,00076700,010,00220664,001024,002,000,0256
000,00173096,00173096,010,00413404,001024,003,000,0256
001,00173302,00173302,010,00414809,001024,003,000,0256
002,00172542,00172542,010,00412729,001024,003,000,0256
003,00173049,00173049,010,00414566,001024,003,000,0256
004,00173017,00173017,010,00413527,001024,003,000,0256
005,00173045,00173045,010,00413834,001024,003,000,0256
006,00172624,00172624,010,00413136,001024,003,000,0256
007,00173050,00173050,010,00414105,001024,003,000,0256
008,00172460,00172460,010,00412315,001024,003,000,0256
009,00172799,00172799,010,00413192,001024,003,000,0256
010,00172671,00172671,010,00413306,001024,003,000,0256
011,00171894,00171894,010,00410978,001024,003,000,0256
012,00172926,00172926,010,00412738,001024,003,000,0256
013,00172670,00172670,010,00412654,001024,003,000,0256
014,00172920,00172920,010,00413576,001024,003,000,0256
015,00171608,00171608,010,00409912,001024,003,000,0256
016,00172575,00172575,010,00413323,001024,003,000,0256
017,00172493,00172493,010,00412623,001024,003,000,0256
018,00172537,00172537,010,00412525,001024,003,000,0256
019,00172162,00172162,010,00411726,001024,003,000,0256
020,00172522,00172522,010,00412440,001024,003,000,0256
021,00172093,00172093,010,00411775,001024,003,000,0256
022,00172443,00172443,010,00412918,001024,003,000,0256
023,00172510,00172510,010,00412203,001024,003,000,0256
024,00172124,00172124,010,00411818,001024,003,000,0256
025,00172347,00172347,010,00412326,001024,003,000,0256
026,00172223,00172223,010,00412192,001024,003,000,0256
027,00172320,00172320,010,00411488,001024,003,000,0256
028,00172212,00172212,010,00412040,001024,003,000,0256
029,00172254,00172254,010,00412586,001024,003,000,0256
030,00172309,00172309,010,00411944,001024,003,000,0256
031,00171851,00171851,010,00410267,001024,003,000,0256
000,00100900,00100900,010,00290325,001024,004,000,0256
001,00100000,00100000,010,00287893,001024,004,000,0256
002,00100200,00100200,010,00287422,001024,004,000,0256
003,00100800,00100800,010,00288591,001024,004,000,0256
004,00098900,00098900,010,00284772,001024,004,000,0256
005,00100221,00100221,010,00287842,001024,004,000,0256
006,00101300,00101300,010,00289935,001024,004,000,0256
007,00099900,00099900,010,00286842,001024,004,000,0256
008,00102700,00102700,010,00295436,001024,004,000,0256
009,00100300,00100300,010,00289107,001024,004,000,0256
010,00101300,00101300,010,00291883,001024,004,000,0256
011,00100500,00100500,010,00288415,001024,004,000,0256
012,00099600,00099600,010,00285846,001024,004,000,0256
013,00100500,00100500,010,00289446,001024,004,000,0256
014,00099500,00099500,010,00286570,001024,004,000,0256
015,00100000,00100000,010,00286972,001024,004,000,0256
016,00088500,00088500,010,00253470,001024,004,000,0256
017,00100300,00100300,010,00286630,001024,004,000,0256
018,00100600,00100600,010,00289428,001024,004,000,0256
019,00101700,00101700,010,00291617,001024,004,000,0256
020,00100675,00100675,010,00289799,001024,004,000,0256
021,00099800,00099800,010,00286487,001024,004,000,0256
022,00101500,00101500,010,00291144,001024,004,000,0256
023,00100712,00100712,010,00287522,001024,004,000,0256
024,00101900,00101900,010,00292493,001024,004,000,0256
025,00099300,00099300,010,00285214,001024,004,000,0256
026,00100300,00100300,010,00287551,001024,004,000,0256
027,00097800,00097800,010,00279608,001024,004,000,0256
028,00102000,00102000,010,00293022,001024,004,000,0256
029,00100100,00100100,010,00288278,001024,004,000,0256
030,00099900,00099900,010,00285894,001024,004,000,0256
031,00101500,00101500,010,00291069,001024,004,000,0256
000,00174903,00174903,010,00412395,001024,001,001,0256
001,00175404,00175404,010,00413062,001024,001,001,0256
002,00174804,00174804,010,00411913,001024,001,001,0256
003,00175285,00175285,010,00412689,001024,001,001,0256
004,00175085,00175085,010,00411787,001024,001,001,0256
005,00175329,00175329,010,00413273,001024,001,001,0256
006,00174983,00174983,010,00411553,001024,001,001,0256
007,00174491,00174491,010,00411142,001024,001,001,0256
008,00174757,00174757,010,00411924,001024,001,001,0256
009,00174609,00174609,010,00411258,001024,001,001,0256
010,00174747,00174747,010,00411841,001024,001,001,0256
011,00174477,00174477,010,00410702,001024,001,001,0256
012,00174712,00174712,010,00411225,001024,001,001,0256
013,00174429,00174429,010,00410716,001024,001,001,0256
014,00173574,00173574,010,00409492,001024,001,001,0256
015,00174379,00174379,010,00409905,001024,001,001,0256
016,00174663,00174663,010,00411424,001024,001,001,0256
017,00174702,00174702,010,00411311,001024,001,001,0256
018,00174568,00174568,010,00411296,001024,001,001,0256
019,00174618,00174618,010,00411014,001024,001,001,0256
020,00174263,00174263,010,00410899,001024,001,001,0256
021,00173988,00173988,010,00410229,001024,001,001,0256
022,00174000,00174000,010,00411006,001024,001,001,0256
023,00174479,00174479,010,00410415,001024,001,001,0256
024,00174388,00174388,010,00410164,001024,001,001,0256
025,00174374,00174374,010,00410882,001024,001,001,0256
