tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,pinning,cache_misses,c_ho
000,00000000,00161962,010,00177521,00020992,00001679,001024,000,000,00000032,00096048,01,0000011095984938,00000000
001,00000000,00164292,010,00214592,00020764,00001631,001024,000,000,00000032,00097344,01,0000010487727964,00000000
002,00000000,00163121,010,00260140,00020847,00001662,001024,000,000,00000032,00097426,01,0000011171811379,00000000
003,00000000,00163495,010,00191404,00021047,00001618,001024,000,000,00000032,00097245,01,0000006688273626,00000000
004,00000000,00164645,010,00181209,00020747,00001584,001024,000,000,00000032,00097473,01,0000010884609425,00000000
005,00000000,00163827,010,00193126,00020828,00001573,001024,000,000,00000032,00097072,01,0000010243063338,00000000
006,00000000,00162700,010,00238358,00020680,00001504,001024,000,000,00000032,00096724,01,0000011201256171,00000000
007,00000000,00163765,010,00228924,00020689,00001528,001024,000,000,00000032,00097321,01,0000010368675490,00000000
008,00000000,00163599,010,00163654,00020850,00001539,001024,000,000,00000032,00096860,01,0000010040897450,00000000
009,00000000,00163772,010,00192655,00020960,00001574,001024,000,000,00000032,00097386,01,0000010846447883,00000000
010,00000000,00165469,010,00187256,00020842,00001619,001024,000,000,00000032,00097516,01,0000010633679625,00000000
011,00000000,00164494,010,00208547,00021018,00001696,001024,000,000,00000032,00097397,01,0000010639373770,00000000
012,00000000,00163134,010,00207600,00020869,00001751,001024,000,000,00000032,00096736,01,0000010246009139,00000000
013,00000000,00164187,010,00265751,00020816,00001660,001024,000,000,00000032,00097129,01,0000010525359622,00000000
014,00000000,00165199,010,00199295,00020776,00001711,001024,000,000,00000032,00097468,01,0000010629891568,00000000
015,00000000,00159223,010,00170956,00020279,00001518,001024,000,000,00000032,00094528,01,0000003947991602,00000000
000,00000000,00079781,010,00100860,00004596,00000446,001024,001,000,00000032,00043817,01,0000010684172681,00000000
001,00000000,00080209,010,00100527,00004754,00000486,001024,001,000,00000032,00044263,01,0000010751192670,00000000
002,00000000,00079416,010,00100258,00004758,00000486,001024,001,000,00000032,00043672,01,0000010144078743,00000000
003,00000000,00080489,010,00100323,00004751,00000532,001024,001,000,00000032,00044260,01,0000010958918433,00000000
004,00000000,00080056,010,00101250,00004663,00000460,001024,001,000,00000032,00043963,01,0000010749634978,00000000
