tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,pinning,cache_misses,c_ho
000,00000000,01128748,010,00568816,00000000,00000000,001024,000,000,00000032,00568816,01,0000012380587352,00000000
001,00000000,01109347,010,00559695,00000000,00000000,001024,000,000,00000032,00559695,01,0000011692144986,00000000
002,00000000,01130037,010,00568853,00000000,00000000,001024,000,000,00000032,00568853,01,0000008619398304,00000000
003,00000000,01123273,010,00566793,00000000,00000000,001024,000,000,00000032,00566793,01,0000013648090899,00000000
004,00000000,01125169,010,00567695,00000000,00000000,001024,000,000,00000032,00567695,01,0000013360474909,00000000
005,00000000,01069107,010,00539151,00000000,00000000,001024,000,000,00000032,00539151,01,0000003532593616,00000000
006,00000000,01124996,010,00567207,00000000,00000000,001024,000,000,00000032,00567207,01,0000013635673086,00000000
007,00000000,01130358,010,00570270,00000000,00000000,001024,000,000,00000032,00570270,01,0000014080386262,00000000
008,00000000,01129373,010,00569375,00000000,00000000,001024,000,000,00000032,00569375,01,0000013248730827,00000000
009,00000000,01127334,010,00569451,00000000,00000000,001024,000,000,00000032,00569451,01,0000013570194797,00000000
010,00000000,01129739,010,00570038,00000000,00000000,001024,000,000,00000032,00570038,01,0000013785915821,00000000
011,00000000,01124504,010,00567084,00000000,00000000,001024,000,000,00000032,00567084,01,0000013379057666,00000000
012,00000000,01115155,010,00563237,00000000,00000000,001024,000,000,00000032,00563237,01,0000013930892163,00000000
013,00000000,01126038,010,00567810,00000000,00000000,001024,000,000,00000032,00567810,01,0000014298441345,00000000
014,00000000,01131067,010,00569425,00000000,00000000,001024,000,000,00000032,00569425,01,0000013838759790,00000000
015,00000000,01130362,010,00569907,00000000,00000000,001024,000,000,00000032,00569907,01,0000007355617990,00000000
