tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,pinning,cache_misses,c_ho
000,00000000,00103561,010,00052094,00000000,00000000,001024,000,000,00016384,00052094,02,0000000008450300,00003163
001,00000000,00105628,010,00053237,00000000,00000000,001024,000,000,00016384,00053237,02,0000000008966814,00003173
002,00000000,00102981,010,00051964,00000000,00000000,001024,000,000,00016384,00051964,02,0000000007870742,00003196
003,00000000,00100792,010,00050771,00000000,00000000,001024,000,000,00016384,00050771,02,0000000010101477,00003155
004,00000000,00105159,010,00052898,00000000,00000000,001024,000,000,00016384,00052898,02,0000000008592411,00003155
005,00000000,00104562,010,00052503,00000000,00000000,001024,000,000,00016384,00052503,02,0000000008748776,00003195
006,00000000,00099364,010,00050025,00000000,00000000,001024,000,000,00016384,00050025,02,0000000009766778,00003177
007,00000000,00103693,010,00052104,00000000,00000000,001024,000,000,00016384,00052104,02,0000000009244370,00003167
008,00000000,00103826,010,00052419,00000000,00000000,001024,000,000,00016384,00052419,02,0000000010367508,00003204
009,00000000,00101770,010,00051305,00000000,00000000,001024,000,000,00016384,00051305,02,0000000009732710,00003178
010,00000000,00101913,010,00051287,00000000,00000000,001024,000,000,00016384,00051287,02,0000000010738973,00003158
011,00000000,00103408,010,00051969,00000000,00000000,001024,000,000,00016384,00051969,02,0000000008765497,00003169
012,00000000,00102350,010,00051813,00000000,00000000,001024,000,000,00016384,00051813,02,0000000010639058,00003185
013,00000000,00106316,010,00053561,00000000,00000000,001024,000,000,00016384,00053561,02,0000000008882603,00003206
014,00000000,00102132,010,00051364,00000000,00000000,001024,000,000,00016384,00051364,02,0000000010023172,00003199
015,00000000,00108232,010,00054325,00000000,00000000,001024,000,000,00016384,00054325,02,0000000008820676,00003175
016,00000000,00101408,010,00051101,00000000,00000000,001024,000,000,00016384,00051101,02,0000000011004286,00003196
017,00000000,00104546,010,00052769,00000000,00000000,001024,000,000,00016384,00052769,02,0000000009179362,00003182
018,00000000,00103713,010,00052241,00000000,00000000,001024,000,000,00016384,00052241,02,0000000010223625,00003192
019,00000000,00102445,010,00051638,00000000,00000000,001024,000,000,00016384,00051638,02,0000000008940554,00003213
020,00000000,00102716,010,00051591,00000000,00000000,001024,000,000,00016384,00051591,02,0000000010865937,00003178
021,00000000,00104274,010,00052413,00000000,00000000,001024,000,000,00016384,00052413,02,0000000008886478,00003149
022,00000000,00102026,010,00051563,00000000,00000000,001024,000,000,00016384,00051563,02,0000000010630861,00003158
023,00000000,00103492,010,00052139,00000000,00000000,001024,000,000,00016384,00052139,02,0000000009516040,00003166
