lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,pinning
0000000,0000641,0000050,0001008,0005941,0006823,0006292,0000016,001024,000,000,0016,02
0000000,0014186,0000942,0001368,0016681,0016431,0017904,0012803,001024,000,000,0016,02
0000000,0000682,0000070,0001006,0004559,0005861,0004598,0000011,001024,001,000,0016,02
0000000,0006322,0001223,0001198,0006182,0014017,0006492,0004849,001024,001,000,0016,02
0000000,0000681,0000050,0001015,0015149,0012474,0016190,0000098,001024,002,000,0016,02
0000000,0011731,0001222,0001596,0036028,0023635,0037010,0009357,001024,002,000,0016,02
0000000,0000682,0000050,0001015,0015149,0012453,0016170,0000098,001024,003,000,0016,02
0000000,0011470,0001153,0001579,0038112,0023855,0039203,0009290,001024,003,000,0016,02
0000000,0000641,0000050,0001006,0005720,0006713,0006101,0000016,001024,000,001,0016,02
0000000,0011353,0000972,0001256,0014838,0014687,0015729,0010043,001024,000,001,0016,02
0000000,0000531,0000050,0001006,0004578,0006102,0004619,0000010,001024,001,001,0016,02
0000000,0013198,0000832,0001307,0006132,0012714,0006402,0011918,001024,001,001,0016,02
0000000,0000662,0000050,0001012,0011762,0010950,0012774,0000085,001024,002,001,0016,02
0000000,0015156,0001052,0001485,0032902,0022092,0033964,0012789,001024,002,001,0016,02
0000000,0000671,0000050,0001012,0011862,0010991,0012894,0000085,001024,003,001,0016,02
0000000,0015231,0001062,0001487,0035447,0022633,0036779,0012983,001024,003,001,0016,02
0000000,0000641,0000050,0001008,0005882,0006793,0006261,0000016,001024,000,002,0016,02
0000000,0013921,0000951,0001358,0016261,0016000,0017373,0012543,001024,000,002,0016,02
0000000,0000701,0000060,0001006,0004579,0005961,0004628,0000011,001024,001,002,0016,02
0000000,0006430,0001213,0001219,0006532,0013636,0006643,0004599,001024,001,002,0016,02
0000000,0000681,0000050,0001015,0014918,0012373,0015940,0000098,001024,002,002,0016,02
0000000,0011360,0001072,0001581,0036018,0023584,0037320,0008984,001024,002,002,0016,02
0000000,0000691,0000050,0001016,0015218,0012514,0016240,0000099,001024,003,002,0016,02
0000000,0010795,0001233,0001595,0036249,0023434,0037501,0008631,001024,003,002,0016,02
0000000,0000641,0000050,0001007,0006953,0007694,0007464,0000017,001024,000,000,0128,02
0000000,0013665,0000812,0001298,0019035,0018906,0020218,0012185,001024,000,000,0128,02
0000000,0000541,0000041,0001006,0004579,0006563,0004609,0000011,001024,001,000,0128,02
0000000,0015199,0000761,0001346,0007094,0016421,0007113,0013767,001024,001,000,0128,02
0000000,0000671,0000040,0001016,0021159,0016000,0022052,0000120,001024,002,000,0128,02
0000000,0008849,0001012,0001624,0043131,0027923,0044073,0007167,001024,002,000,0128,02
0000000,0000672,0000040,0001015,0020749,0015810,0021661,0000119,001024,003,000,0128,02
0000000,0008867,0000982,0001617,0043111,0027422,0044003,0007139,001024,003,000,0128,02
0000000,0000641,0000041,0001007,0006973,0007695,0007484,0000017,001024,000,001,0128,02
0000000,0013549,0000802,0001294,0020839,0020178,0021891,0012061,001024,000,001,0128,02
0000000,0000541,0000041,0001006,0004579,0006532,0004608,0000011,001024,001,001,0128,02
0000000,0015096,0000752,0001342,0006692,0016371,0006773,0013670,001024,001,001,0128,02
0000000,0000671,0000041,0001015,0021019,0015880,0021891,0000119,001024,002,001,0128,02
0000000,0008797,0001032,0001617,0045345,0027693,0046197,0007075,001024,002,001,0128,02
0000000,0000672,0000040,0001015,0020869,0015820,0021741,0000119,001024,003,001,0128,02
0000000,0009019,0000972,0001618,0043863,0028023,0044755,0007315,001024,003,001,0128,02
0000000,0000632,0000041,0001007,0007073,0007765,0007595,0000017,001024,000,002,0128,02
0000000,0013695,0000802,0001299,0024236,0023524,0025017,0012223,001024,000,002,0128,02
0000000,0000531,0000041,0001006,0004568,0006442,0004589,0000011,001024,001,002,0128,02
0000000,0015432,0000751,0001350,0006863,0016491,0006953,0013924,001024,001,002,0128,02
0000000,0000671,0000041,0001016,0021220,0016020,0022122,0000122,001024,002,002,0128,02
0000000,0008739,0001011,0001628,0043442,0027762,0044143,0007027,001024,002,002,0128,02
0000000,0000671,0000041,0001015,0020910,0015879,0021811,0000121,001024,003,002,0128,02
0000000,0008742,0000962,0001621,0043001,0027862,0043883,0007064,001024,003,002,0128,02
0000000,0000661,0000050,0001007,0006973,0007724,0007474,0000017,001024,000,000,0512,02
0000000,0013679,0000742,0001298,0019386,0019186,0020488,0012165,001024,000,000,0512,02
0000000,0000671,0000041,0001006,0004599,0006592,0004628,0000011,001024,001,000,0512,02
0000000,0015177,0000712,0001346,0006713,0016512,0006793,0013763,001024,001,000,0512,02
0000000,0000672,0000040,0001016,0023264,0016982,0024065,0000126,001024,002,000,0512,02
0000000,0008598,0000992,0001648,0045746,0029155,0046467,0006892,001024,002,000,0512,02
0000000,0000681,0000040,0001016,0023144,0016922,0023965,0000125,001024,003,000,0512,02
0000000,0008620,0000931,0001655,0045316,0028904,0046006,0006894,001024,003,000,0512,02
0000000,0000661,0000041,0001007,0006953,0007665,0007434,0000017,001024,000,001,0512,02
0000000,0013387,0000751,0001293,0024116,0022001,0024816,0011835,001024,000,001,0512,02
0000000,0000681,0000041,0001005,0004579,0006392,0004608,0000011,001024,001,001,0512,02
0000000,0015075,0000721,0001339,0006352,0016220,0006523,0013643,001024,001,001,0512,02
0000000,0000672,0000040,0001016,0023013,0016721,0023835,0000123,001024,002,001,0512,02
0000000,0008832,0000992,0001659,0045315,0029134,0046307,0007133,001024,002,001,0512,02
0000000,0000681,0000041,0001016,0022692,0016552,0023514,0000122,001024,003,001,0512,02
0000000,0008826,0000921,0001652,0046448,0028704,0047159,0007130,001024,003,001,0512,02
0000000,0000661,0000050,0001007,0007163,0007875,0007695,0000018,001024,000,002,0512,02
0000000,0013981,0000742,0001303,0019937,0019717,0021040,0012400,001024,000,002,0512,02
0000000,0000681,0000041,0001006,0004579,0006643,0004609,0000011,001024,001,002,0512,02
0000000,0015615,0000741,0001355,0007333,0017052,0007264,0014127,001024,001,002,0512,02
0000000,0000672,0000040,0001016,0021791,0016461,0022703,0000125,001024,002,002,0512,02
0000000,0008177,0001002,0001628,0043762,0028374,0044884,0006619,001024,002,002,0512,02
0000000,0000681,0000041,0001016,0021961,0016551,0022863,0000125,001024,003,002,0512,02
0000000,0008452,0000901,0001643,0044533,0028393,0045505,0006824,001024,003,002,0512,02
