lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,pinning
0000000,0000681,0000050,0001003,0003085,0003677,0003155,0000016,001024,000,000,0512,02
0000000,0001769,0001323,0001434,0028013,0039645,0027241,0000675,001024,000,000,0512,02
0000000,0000671,0000050,0001023,0029155,0024116,0029997,0000053,001024,001,000,0512,02
0000000,0001785,0001272,0001621,0051657,0054222,0052749,0000745,001024,001,000,0512,02
0000000,0000671,0000040,0001023,0029185,0022472,0030618,0000193,001024,002,000,0512,02
0000000,0002006,0000972,0001953,0052048,0050905,0053370,0001133,001024,002,000,0512,02
0000000,0000671,0000040,0001023,0029164,0022402,0030608,0000193,001024,003,000,0512,02
0000000,0002013,0000972,0001937,0052088,0050765,0053311,0001132,001024,003,000,0512,02
0000000,0000672,0000050,0001016,0003086,0003667,0003156,0000015,001024,000,001,0512,02
0000000,0001750,0001343,0001475,0021660,0040286,0022152,0000657,001024,000,001,0512,02
0000000,0000671,0000050,0001021,0029926,0021570,0030537,0000048,001024,001,001,0512,02
0000000,0001657,0001152,0001538,0049333,0049313,0050646,0000628,001024,001,001,0512,02
0000000,0000671,0000041,0001025,0035356,0024666,0036599,0000194,001024,002,001,0512,02
0000000,0001769,0001022,0001777,0054723,0053891,0056346,0000917,001024,002,001,0512,02
0000000,0000671,0000041,0001025,0035197,0024566,0036428,0000192,001024,003,001,0512,02
0000000,0001799,0000972,0001789,0054633,0053671,0056276,0000937,001024,003,001,0512,02
0000000,0000681,0000050,0001011,0003076,0003667,0003146,0000016,001024,000,002,0512,02
0000000,0001664,0001363,0001409,0028093,0039885,0027302,0000582,001024,000,002,0512,02
0000000,0000672,0000050,0001023,0029595,0024035,0030457,0000053,001024,001,002,0512,02
0000000,0001648,0001263,0001538,0052068,0054553,0052829,0000626,001024,001,002,0512,02
0000000,0000671,0000041,0001022,0029425,0022001,0030888,0000195,001024,002,002,0512,02
0000000,0001773,0000982,0001779,0052559,0051397,0054012,0000920,001024,002,002,0512,02
0000000,0000671,0000050,0001022,0029326,0021912,0030778,0000195,001024,003,002,0512,02
0000000,0001773,0000972,0001781,0052579,0051266,0053932,0000917,001024,003,002,0512,02
