lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR
0000000,0000351,0000050,0001017,0037581,0022462,0037580,0000042,001024,000,000,16384
0000000,0001129,0000331,0001135,0061776,0043983,0061676,0000252,001024,000,000,16384
0000000,0000361,0000050,0001007,0006743,0006442,0006713,0000019,001024,001,000,16384
0000000,0001082,0000601,0001108,0027291,0036609,0027182,0000138,001024,001,000,16384
0000000,0000341,0000050,0001007,0006823,0006583,0006793,0000020,001024,002,000,16384
0000000,0001102,0000531,0001121,0027282,0036629,0027181,0000143,001024,002,000,16384
0000000,0000341,0000050,0001017,0037651,0022663,0037651,0000042,001024,000,001,16384
0000000,0001128,0000321,0001135,0061987,0044223,0061876,0000238,001024,000,001,16384
0000000,0000360,0000050,0001007,0006813,0006563,0006783,0000019,001024,001,001,16384
0000000,0001101,0000611,0001120,0027392,0036730,0027282,0000132,001024,001,001,16384
0000000,0000341,0000050,0001007,0006843,0006642,0006813,0000020,001024,002,001,16384
0000000,0001084,0000591,0001110,0027431,0036719,0027321,0000128,001024,002,001,16384
0000000,0000350,0000050,0001016,0037641,0021971,0037640,0000041,001024,000,002,16384
0000000,0001131,0000380,0001136,0061957,0043752,0061867,0000252,001024,000,002,16384
0000000,0000351,0000050,0001007,0006732,0006402,0006702,0000019,001024,001,002,16384
0000000,0001101,0000521,0001117,0027091,0036789,0026991,0000141,001024,001,002,16384
0000000,0000341,0000050,0001007,0006783,0006503,0006753,0000019,001024,002,002,16384
0000000,0001083,0000391,0001108,0027121,0036809,0027011,0000138,001024,002,002,16384
