lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR
0013976,0000150,0000031,0001013,0011582,0013616,0013886,0000000,001024,000,000,16384
0028704,0002754,0000511,0001771,0027502,0028323,0030548,0000000,001024,000,000,16384
0013406,0000150,0000040,0001012,0010289,0013045,0012353,0000000,001024,001,000,16384
0028544,0002973,0000520,0001757,0025898,0028173,0028975,0000000,001024,001,000,16384
0013355,0000150,0000040,0001012,0010189,0012994,0012223,0000000,001024,002,000,16384
0028504,0002972,0000531,0001761,0025799,0028123,0028844,0000000,001024,002,000,16384
0013416,0000150,0000040,0001012,0010310,0013055,0012383,0000000,001024,000,001,16384
0028484,0002994,0000521,0001759,0025889,0028103,0028925,0000000,001024,000,001,16384
0013987,0000150,0000031,0001013,0011602,0013635,0013936,0000000,001024,001,001,16384
0028734,0002728,0000521,0001767,0027602,0028363,0030747,0000000,001024,001,001,16384
0013295,0000150,0000040,0001012,0010129,0012934,0012103,0000000,001024,002,001,16384
0028423,0002989,0000521,0001756,0025488,0028033,0028373,0000000,001024,002,001,16384
0013355,0000150,0000040,0001012,0010189,0012995,0012193,0000000,001024,000,002,16384
0028424,0003023,0000511,0001763,0025669,0028043,0028553,0000000,001024,000,002,16384
0013977,0000150,0000040,0001013,0011572,0013616,0013867,0000000,001024,001,002,16384
0028724,0002724,0000501,0001771,0027572,0028333,0030648,0000000,001024,001,002,16384
0013426,0000150,0000040,0001012,0010369,0013065,0012413,0000000,001024,002,002,16384
0028434,0002983,0000521,0001749,0025778,0028053,0028754,0000000,001024,002,002,16384
