tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la
000,00000000,00299314,020,00208661,00000000,00000000,001024,000,000,00016384,00151007
001,00000000,00308614,020,00214055,00000000,00000000,001024,000,000,00016384,00155582
002,00000000,00303694,020,00210740,00000000,00000000,001024,000,000,00016384,00153482
003,00000000,00303270,020,00210122,00000000,00000000,001024,000,000,00016384,00152714
004,00000000,00299838,020,00208527,00000000,00000000,001024,000,000,00016384,00151162
005,00000000,00300836,020,00209209,00000000,00000000,001024,000,000,00016384,00151751
006,00000000,00299411,020,00207997,00000000,00000000,001024,000,000,00016384,00151297
007,00000000,00298253,020,00207701,00000000,00000000,001024,000,000,00016384,00150660
008,00000000,00302024,020,00208274,00000000,00000000,001024,000,000,00016384,00152003
009,00000000,00300802,020,00208561,00000000,00000000,001024,000,000,00016384,00151453
010,00000000,00299786,020,00208344,00000000,00000000,001024,000,000,00016384,00150631
011,00000000,00298965,020,00207303,00000000,00000000,001024,000,000,00016384,00150651
012,00000000,00303630,020,00210760,00000000,00000000,001024,000,000,00016384,00152721
013,00000000,00303072,020,00210360,00000000,00000000,001024,000,000,00016384,00152858
014,00000000,00300372,020,00208261,00000000,00000000,001024,000,000,00016384,00151259
015,00000000,00301796,020,00208532,00000000,00000000,001024,000,000,00016384,00151695
016,00000000,00300262,020,00208447,00000000,00000000,001024,000,000,00016384,00151379
017,00000000,00303257,020,00210731,00000000,00000000,001024,000,000,00016384,00152985
018,00000000,00299968,020,00208573,00000000,00000000,001024,000,000,00016384,00151198
019,00000000,00303765,020,00208362,00000000,00000000,001024,000,000,00016384,00152299
020,00000000,00302507,020,00210908,00000000,00000000,001024,000,000,00016384,00152672
021,00000000,00304792,020,00210801,00000000,00000000,001024,000,000,00016384,00153219
022,00000000,00295897,020,00207122,00000000,00000000,001024,000,000,00016384,00149484
023,00000000,00300418,020,00209101,00000000,00000000,001024,000,000,00016384,00150902
024,00000000,00297170,020,00206972,00000000,00000000,001024,000,000,00016384,00149583
025,00000000,00298577,020,00208292,00000000,00000000,001024,000,000,00016384,00150400
026,00000000,00296608,020,00207123,00000000,00000000,001024,000,000,00016384,00149300
027,00000000,00301846,020,00209106,00000000,00000000,001024,000,000,00016384,00151913
028,00000000,00300565,020,00209656,00000000,00000000,001024,000,000,00016384,00151624
029,00000000,00296966,020,00208857,00000000,00000000,001024,000,000,00016384,00150011
030,00000000,00295953,020,00207729,00000000,00000000,001024,000,000,00016384,00149335
031,00000000,00300615,020,00207818,00000000,00000000,001024,000,000,00016384,00150993
000,00000000,00681291,020,00479858,00000000,00000000,001024,001,000,00016384,00341854
001,00000000,00685612,020,00479999,00000000,00000000,001024,001,000,00016384,00344836
002,00000000,00683045,020,00476943,00000000,00000000,001024,001,000,00016384,00343380
003,00000000,00675384,020,00472172,00000000,00000000,001024,001,000,00016384,00338842
004,00000000,00675027,020,00472439,00000000,00000000,001024,001,000,00016384,00340013
005,00000000,00673996,020,00472211,00000000,00000000,001024,001,000,00016384,00338251
006,00000000,00677603,020,00474397,00000000,00000000,001024,001,000,00016384,00340968
007,00000000,00677316,020,00474311,00000000,00000000,001024,001,000,00016384,00340507
008,00000000,00678502,020,00472924,00000000,00000000,001024,001,000,00016384,00341321
009,00000000,00672327,020,00477219,00000000,00000000,001024,001,000,00016384,00338509
010,00000000,00671402,020,00470852,00000000,00000000,001024,001,000,00016384,00337630
011,00000000,00672159,020,00471536,00000000,00000000,001024,001,000,00016384,00337561
012,00000000,00672239,020,00471150,00000000,00000000,001024,001,000,00016384,00337771
013,00000000,00678292,020,00473729,00000000,00000000,001024,001,000,00016384,00341195
014,00000000,00676746,020,00474069,00000000,00000000,001024,001,000,00016384,00340682
015,00000000,00673784,020,00473327,00000000,00000000,001024,001,000,00016384,00339013
016,00000000,00672699,020,00476528,00000000,00000000,001024,001,000,00016384,00338193
017,00000000,00676202,020,00471882,00000000,00000000,001024,001,000,00016384,00340015
018,00000000,00678263,020,00472460,00000000,00000000,001024,001,000,00016384,00340933
019,00000000,00668456,020,00468557,00000000,00000000,001024,001,000,00016384,00335844
020,00000000,00672894,020,00472299,00000000,00000000,001024,001,000,00016384,00337943
021,00000000,00672970,020,00471608,00000000,00000000,001024,001,000,00016384,00338735
022,00000000,00676231,020,00472408,00000000,00000000,001024,001,000,00016384,00340187
023,00000000,00675180,020,00476348,00000000,00000000,001024,001,000,00016384,00339257
024,00000000,00672238,020,00469228,00000000,00000000,001024,001,000,00016384,00337839
025,00000000,00674916,020,00472055,00000000,00000000,001024,001,000,00016384,00339293
026,00000000,00670407,020,00468828,00000000,00000000,001024,001,000,00016384,00337330
027,00000000,00674643,020,00472652,00000000,00000000,001024,001,000,00016384,00339284
028,00000000,00672996,020,00468202,00000000,00000000,001024,001,000,00016384,00337629
029,00000000,00675719,020,00471796,00000000,00000000,001024,001,000,00016384,00340197
030,00000000,00678838,020,00474756,00000000,00000000,001024,001,000,00016384,00341551
031,00000000,00675253,020,00473963,00000000,00000000,001024,001,000,00016384,00339293
