tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la
000,00000000,00393893,020,00191092,00007404,00007263,001024,000,000,00016384,00198496
001,00000000,00393481,020,00190777,00007259,00007122,001024,000,000,00016384,00198036
002,00000000,00393853,020,00191130,00007262,00007092,001024,000,000,00016384,00198392
003,00000000,00393873,020,00190511,00007390,00007235,001024,000,000,00016384,00197901
004,00000000,00394617,020,00190900,00007140,00006988,001024,000,000,00016384,00198040
005,00000000,00393584,020,00190915,00007181,00007048,001024,000,000,00016384,00198096
006,00000000,00393696,020,00191128,00007415,00007286,001024,000,000,00016384,00198543
007,00000000,00393358,020,00191063,00007255,00007124,001024,000,000,00016384,00198318
008,00000000,00393739,020,00190937,00007349,00007191,001024,000,000,00016384,00198286
009,00000000,00394211,020,00190870,00007131,00006981,001024,000,000,00016384,00198001
010,00000000,00394373,020,00190764,00007374,00007218,001024,000,000,00016384,00198138
011,00000000,00393371,020,00190499,00007346,00007211,001024,000,000,00016384,00197845
012,00000000,00394047,020,00190872,00007095,00006962,001024,000,000,00016384,00197967
013,00000000,00393811,020,00190416,00007416,00007270,001024,000,000,00016384,00197832
014,00000000,00394086,020,00190619,00007268,00007125,001024,000,000,00016384,00197887
015,00000000,00394984,020,00190485,00007334,00007203,001024,000,000,00016384,00197819
016,00000000,00393651,020,00190437,00007380,00007223,001024,000,000,00016384,00197817
017,00000000,00394081,020,00190778,00007237,00007100,001024,000,000,00016384,00198015
018,00000000,00393932,020,00190604,00007255,00007141,001024,000,000,00016384,00197859
019,00000000,00393364,020,00190413,00007410,00007266,001024,000,000,00016384,00197823
020,00000000,00393067,020,00191095,00007219,00007097,001024,000,000,00016384,00198314
021,00000000,00394128,020,00190688,00007223,00007081,001024,000,000,00016384,00197911
022,00000000,00394577,020,00190341,00007269,00007128,001024,000,000,00016384,00197610
023,00000000,00393583,020,00190884,00007095,00006950,001024,000,000,00016384,00197979
024,00000000,00393960,020,00190365,00007431,00007277,001024,000,000,00016384,00197796
025,00000000,00394004,020,00190629,00007159,00007036,001024,000,000,00016384,00197788
026,00000000,00393861,020,00190630,00007231,00007077,001024,000,000,00016384,00197861
027,00000000,00393620,020,00190509,00007232,00007080,001024,000,000,00016384,00197741
028,00000000,00393638,020,00190596,00007193,00007074,001024,000,000,00016384,00197789
029,00000000,00394607,020,00190351,00007256,00007115,001024,000,000,00016384,00197607
030,00000000,00393335,020,00190658,00007223,00007085,001024,000,000,00016384,00197881
031,00000000,00394270,020,00190858,00007248,00007100,001024,000,000,00016384,00198106
000,00000000,00394070,020,00190722,00007362,00007224,001024,000,001,00016384,00198084
001,00000000,00394141,020,00190792,00007243,00007106,001024,000,001,00016384,00198035
002,00000000,00393992,020,00191390,00007207,00007073,001024,000,001,00016384,00198597
003,00000000,00394400,020,00190496,00007334,00007197,001024,000,001,00016384,00197830
004,00000000,00393987,020,00190755,00007214,00007070,001024,000,001,00016384,00197969
005,00000000,00394664,020,00190610,00007125,00006990,001024,000,001,00016384,00197735
006,00000000,00394712,020,00190636,00007211,00007095,001024,000,001,00016384,00197847
007,00000000,00393829,020,00190665,00007116,00006966,001024,000,001,00016384,00197781
008,00000000,00393865,020,00191073,00007067,00006936,001024,000,001,00016384,00198140
009,00000000,00394715,020,00190601,00007201,00007078,001024,000,001,00016384,00197802
010,00000000,00394899,020,00190846,00007141,00007019,001024,000,001,00016384,00197987
011,00000000,00393716,020,00190723,00007169,00007013,001024,000,001,00016384,00197892
012,00000000,00393717,020,00190753,00007350,00007232,001024,000,001,00016384,00198103
