tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la
000,00000000,00456530,020,00221788,00008081,00007861,001024,000,000,00016384,00229869
001,00000000,00456758,020,00221568,00008070,00007819,001024,000,000,00016384,00229638
002,00000000,00457053,020,00221730,00008072,00007832,001024,000,000,00016384,00229802
003,00000000,00456192,020,00221701,00008032,00007780,001024,000,000,00016384,00229733
004,00000000,00457941,020,00221198,00008267,00008018,001024,000,000,00016384,00229465
005,00000000,00457218,020,00221478,00008255,00008027,001024,000,000,00016384,00229733
006,00000000,00456075,020,00221759,00008079,00007846,001024,000,000,00016384,00229838
007,00000000,00457086,020,00221436,00008023,00007783,001024,000,000,00016384,00229458
008,00000000,00457024,020,00221515,00008235,00007982,001024,000,000,00016384,00229750
009,00000000,00456411,020,00221869,00008156,00007887,001024,000,000,00016384,00230025
010,00000000,00457132,020,00221527,00008264,00007999,001024,000,000,00016384,00229790
011,00000000,00456486,020,00221701,00008051,00007805,001024,000,000,00016384,00229752
012,00000000,00456868,020,00221181,00008213,00007974,001024,000,000,00016384,00229394
013,00000000,00456276,020,00221632,00007988,00007760,001024,000,000,00016384,00229620
014,00000000,00456680,020,00221552,00008077,00007859,001024,000,000,00016384,00229629
015,00000000,00457177,020,00221299,00008165,00007889,001024,000,000,00016384,00229463
016,00000000,00456954,020,00221358,00008102,00007831,001024,000,000,00016384,00229460
017,00000000,00457100,020,00221271,00008044,00007824,001024,000,000,00016384,00229315
018,00000000,00456524,020,00221697,00008027,00007778,001024,000,000,00016384,00229724
019,00000000,00457089,020,00221531,00008238,00007986,001024,000,000,00016384,00229767
020,00000000,00456945,020,00221642,00008096,00007882,001024,000,000,00016384,00229738
021,00000000,00457417,020,00221552,00008009,00007774,001024,000,000,00016384,00229559
022,00000000,00456914,020,00221427,00008173,00007912,001024,000,000,00016384,00229600
023,00000000,00456770,020,00221789,00008160,00007905,001024,000,000,00016384,00229949
024,00000000,00457163,020,00220983,00008364,00008107,001024,000,000,00016384,00229345
025,00000000,00457045,020,00221442,00008273,00008059,001024,000,000,00016384,00229715
026,00000000,00456749,020,00221519,00008125,00007888,001024,000,000,00016384,00229644
027,00000000,00457458,020,00221340,00008272,00008031,001024,000,000,00016384,00229612
028,00000000,00457056,020,00221329,00008302,00008058,001024,000,000,00016384,00229631
029,00000000,00456762,020,00221413,00008229,00008007,001024,000,000,00016384,00229642
030,00000000,00457131,020,00221543,00008144,00007906,001024,000,000,00016384,00229687
031,00000000,00457026,020,00221473,00008050,00007788,001024,000,000,00016384,00229523
000,00000000,00457317,020,00222352,00008072,00007900,001024,000,001,00016384,00230424
001,00000000,00458305,020,00222150,00008150,00008005,001024,000,001,00016384,00230298
002,00000000,00457665,020,00222423,00008187,00008042,001024,000,001,00016384,00230609
003,00000000,00457843,020,00221955,00008039,00007862,001024,000,001,00016384,00229991
004,00000000,00457697,020,00222098,00008115,00007969,001024,000,001,00016384,00230213
005,00000000,00457144,020,00222110,00008124,00007984,001024,000,001,00016384,00230233
006,00000000,00457454,020,00221865,00008184,00008026,001024,000,001,00016384,00230049
007,00000000,00457423,020,00221869,00008119,00007961,001024,000,001,00016384,00229985
