tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la
000,00275200,00275200,020,00254390,00020810,00020810,001024,000,000,00016384,00275200
001,00277300,00277300,020,00256146,00021154,00021154,001024,000,000,00016384,00277300
002,00275441,00275441,020,00254442,00020999,00020999,001024,000,000,00016384,00275441
003,00275861,00275861,020,00254946,00020915,00020915,001024,000,000,00016384,00275861
004,00275992,00275992,020,00255250,00020742,00020742,001024,000,000,00016384,00275992
005,00275539,00275539,020,00254633,00020906,00020906,001024,000,000,00016384,00275539
006,00274856,00274856,020,00253837,00021019,00021019,001024,000,000,00016384,00274856
007,00275582,00275582,020,00254726,00020856,00020856,001024,000,000,00016384,00275582
008,00274402,00274402,020,00253635,00020767,00020767,001024,000,000,00016384,00274402
009,00274500,00274500,020,00253725,00020775,00020775,001024,000,000,00016384,00274500
010,00273851,00273851,020,00252978,00020873,00020873,001024,000,000,00016384,00273851
011,00273508,00273508,020,00252846,00020662,00020662,001024,000,000,00016384,00273508
012,00274680,00274680,020,00254029,00020651,00020651,001024,000,000,00016384,00274680
013,00274669,00274669,020,00253748,00020921,00020921,001024,000,000,00016384,00274669
014,00274051,00274051,020,00253141,00020910,00020910,001024,000,000,00016384,00274051
015,00276800,00276800,020,00255708,00021092,00021092,001024,000,000,00016384,00276800
016,00271947,00271947,020,00251330,00020617,00020617,001024,000,000,00016384,00271947
017,00271500,00271500,020,00250907,00020593,00020593,001024,000,000,00016384,00271500
018,00271195,00271195,020,00250730,00020465,00020465,001024,000,000,00016384,00271195
019,00270047,00270047,020,00249381,00020666,00020666,001024,000,000,00016384,00270047
020,00271800,00271800,020,00251289,00020511,00020511,001024,000,000,00016384,00271800
021,00270059,00270059,020,00249726,00020333,00020333,001024,000,000,00016384,00270059
022,00272647,00272647,020,00252131,00020516,00020516,001024,000,000,00016384,00272647
023,00270300,00270300,020,00250170,00020130,00020130,001024,000,000,00016384,00270300
024,00267700,00267700,020,00247472,00020228,00020228,001024,000,000,00016384,00267700
025,00268769,00268769,020,00248396,00020373,00020373,001024,000,000,00016384,00268769
026,00270000,00270000,020,00249389,00020611,00020611,001024,000,000,00016384,00270000
027,00268900,00268900,020,00248536,00020364,00020364,001024,000,000,00016384,00268900
028,00269012,00269012,020,00248735,00020277,00020277,001024,000,000,00016384,00269012
029,00268900,00268900,020,00248469,00020431,00020431,001024,000,000,00016384,00268900
030,00268735,00268735,020,00247903,00020832,00020832,001024,000,000,00016384,00268735
031,00269113,00269113,020,00248607,00020506,00020506,001024,000,000,00016384,00269113
000,00320378,00320378,020,00278347,00042031,00042031,001024,000,001,00016384,00320378
001,00319655,00319655,020,00277511,00042144,00042144,001024,000,001,00016384,00319655
002,00320061,00320061,020,00278014,00042047,00042047,001024,000,001,00016384,00320061
003,00320324,00320324,020,00278630,00041694,00041694,001024,000,001,00016384,00320324
004,00320440,00320440,020,00278441,00041999,00041999,001024,000,001,00016384,00320440
005,00319971,00319971,020,00277922,00042049,00042049,001024,000,001,00016384,00319971
006,00319626,00319626,020,00277304,00042322,00042322,001024,000,001,00016384,00319626
007,00320473,00320473,020,00278855,00041618,00041618,001024,000,001,00016384,00320473
008,00319764,00319764,020,00278097,00041667,00041667,001024,000,001,00016384,00319764
009,00320185,00320185,020,00278489,00041696,00041696,001024,000,001,00016384,00320185
010,00319471,00319471,020,00277573,00041898,00041898,001024,000,001,00016384,00319471
011,00320699,00320699,020,00278627,00042072,00042072,001024,000,001,00016384,00320699
012,00319918,00319918,020,00278432,00041486,00041486,001024,000,001,00016384,00319918
013,00319987,00319987,020,00278230,00041757,00041757,001024,000,001,00016384,00319987
014,00320600,00320600,020,00278951,00041649,00041649,001024,000,001,00016384,00320600
015,00319560,00319560,020,00277765,00041795,00041795,001024,000,001,00016384,00319560
016,00319501,00319501,020,00277614,00041887,00041887,001024,000,001,00016384,00319501
017,00318904,00318904,020,00277298,00041606,00041606,001024,000,001,00016384,00318904
018,00318991,00318991,020,00277588,00041403,00041403,001024,000,001,00016384,00318991
019,00319363,00319363,020,00277403,00041960,00041960,001024,000,001,00016384,00319363
020,00319385,00319385,020,00277778,00041607,00041607,001024,000,001,00016384,00319385
021,00318821,00318821,020,00276957,00041864,00041864,001024,000,001,00016384,00318821
