tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la
000,00271554,00271554,020,00250714,00020840,00020840,001024,000,000,00016384,00271554
001,00272400,00272400,020,00251004,00021396,00021396,001024,000,000,00016384,00272400
002,00272300,00272300,020,00251145,00021155,00021155,001024,000,000,00016384,00272300
003,00274058,00274058,020,00252950,00021108,00021108,001024,000,000,00016384,00274058
004,00273001,00273001,020,00252046,00020955,00020955,001024,000,000,00016384,00273001
005,00271241,00271241,020,00250340,00020901,00020901,001024,000,000,00016384,00271241
006,00272300,00272300,020,00251245,00021055,00021055,001024,000,000,00016384,00272300
007,00269400,00269400,020,00248674,00020726,00020726,001024,000,000,00016384,00269400
008,00270800,00270800,020,00249689,00021111,00021111,001024,000,000,00016384,00270800
009,00272296,00272296,020,00251379,00020917,00020917,001024,000,000,00016384,00272296
010,00270700,00270700,020,00249684,00021016,00021016,001024,000,000,00016384,00270700
011,00271200,00271200,020,00250205,00020995,00020995,001024,000,000,00016384,00271200
012,00270200,00270200,020,00249445,00020755,00020755,001024,000,000,00016384,00270200
013,00271530,00271530,020,00250505,00021025,00021025,001024,000,000,00016384,00271530
014,00269609,00269609,020,00248633,00020976,00020976,001024,000,000,00016384,00269609
015,00269900,00269900,020,00248977,00020923,00020923,001024,000,000,00016384,00269900
016,00273600,00273600,020,00252283,00021317,00021317,001024,000,000,00016384,00273600
017,00275900,00275900,020,00254510,00021390,00021390,001024,000,000,00016384,00275900
018,00275200,00275200,020,00254346,00020854,00020854,001024,000,000,00016384,00275200
019,00276300,00276300,020,00254895,00021405,00021405,001024,000,000,00016384,00276300
020,00274700,00274700,020,00253450,00021250,00021250,001024,000,000,00016384,00274700
021,00279071,00279071,020,00257643,00021428,00021428,001024,000,000,00016384,00279071
022,00274600,00274600,020,00253706,00020894,00020894,001024,000,000,00016384,00274600
023,00274600,00274600,020,00253530,00021070,00021070,001024,000,000,00016384,00274600
024,00276133,00276133,020,00254870,00021263,00021263,001024,000,000,00016384,00276133
025,00273360,00273360,020,00252183,00021177,00021177,001024,000,000,00016384,00273360
026,00273500,00273500,020,00252746,00020754,00020754,001024,000,000,00016384,00273500
027,00273700,00273700,020,00252631,00021069,00021069,001024,000,000,00016384,00273700
028,00273900,00273900,020,00252625,00021275,00021275,001024,000,000,00016384,00273900
029,00273900,00273900,020,00252841,00021059,00021059,001024,000,000,00016384,00273900
030,00273300,00273300,020,00252222,00021078,00021078,001024,000,000,00016384,00273300
