tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la
000,00320196,00320196,020,00278217,00041979,00041979,001024,000,000,00016384,00320196
001,00320348,00320348,020,00278172,00042176,00042176,001024,000,000,00016384,00320348
002,00320094,00320094,020,00277563,00042531,00042531,001024,000,000,00016384,00320094
003,00319591,00319591,020,00277611,00041980,00041980,001024,000,000,00016384,00319591
004,00319864,00319864,020,00277640,00042224,00042224,001024,000,000,00016384,00319864
005,00319643,00319643,020,00277377,00042266,00042266,001024,000,000,00016384,00319643
006,00319560,00319560,020,00277269,00042291,00042291,001024,000,000,00016384,00319560
007,00319920,00319920,020,00277978,00041942,00041942,001024,000,000,00016384,00319920
008,00320375,00320375,020,00278153,00042222,00042222,001024,000,000,00016384,00320375
009,00320986,00320986,020,00279008,00041978,00041978,001024,000,000,00016384,00320986
010,00320526,00320526,020,00278404,00042122,00042122,001024,000,000,00016384,00320526
011,00319876,00319876,020,00278201,00041675,00041675,001024,000,000,00016384,00319876
012,00319524,00319524,020,00277736,00041788,00041788,001024,000,000,00016384,00319524
013,00320081,00320081,020,00278217,00041864,00041864,001024,000,000,00016384,00320081
014,00319997,00319997,020,00277916,00042081,00042081,001024,000,000,00016384,00319997
015,00319759,00319759,020,00277792,00041967,00041967,001024,000,000,00016384,00319759
016,00319278,00319278,020,00277145,00042133,00042133,001024,000,000,00016384,00319278
017,00320215,00320215,020,00278254,00041961,00041961,001024,000,000,00016384,00320215
018,00319907,00319907,020,00278332,00041575,00041575,001024,000,000,00016384,00319907
019,00320109,00320109,020,00278070,00042039,00042039,001024,000,000,00016384,00320109
020,00319795,00319795,020,00277541,00042254,00042254,001024,000,000,00016384,00319795
021,00320381,00320381,020,00278209,00042172,00042172,001024,000,000,00016384,00320381
022,00319869,00319869,020,00278043,00041826,00041826,001024,000,000,00016384,00319869
023,00319866,00319866,020,00277996,00041870,00041870,001024,000,000,00016384,00319866
024,00320036,00320036,020,00278248,00041788,00041788,001024,000,000,00016384,00320036
025,00320121,00320121,020,00277815,00042306,00042306,001024,000,000,00016384,00320121
026,00320644,00320644,020,00278497,00042147,00042147,001024,000,000,00016384,00320644
027,00320279,00320279,020,00278011,00042268,00042268,001024,000,000,00016384,00320279
028,00320310,00320310,020,00278467,00041843,00041843,001024,000,000,00016384,00320310
029,00320807,00320807,020,00278482,00042325,00042325,001024,000,000,00016384,00320807
030,00320402,00320402,020,00278507,00041895,00041895,001024,000,000,00016384,00320402
031,00319404,00319404,020,00277426,00041978,00041978,001024,000,000,00016384,00319404
000,00319655,00319655,020,00277780,00041875,00041875,001024,000,001,00016384,00319655
001,00319710,00319710,020,00277826,00041884,00041884,001024,000,001,00016384,00319710
002,00319049,00319049,020,00277142,00041907,00041907,001024,000,001,00016384,00319049
003,00318509,00318509,020,00276624,00041885,00041885,001024,000,001,00016384,00318509
004,00318727,00318727,020,00276827,00041900,00041900,001024,000,001,00016384,00318727
005,00319164,00319164,020,00277022,00042142,00042142,001024,000,001,00016384,00319164
006,00319688,00319688,020,00277591,00042097,00042097,001024,000,001,00016384,00319688
007,00319058,00319058,020,00277232,00041826,00041826,001024,000,001,00016384,00319058
008,00319737,00319737,020,00278020,00041717,00041717,001024,000,001,00016384,00319737
009,00319694,00319694,020,00277793,00041901,00041901,001024,000,001,00016384,00319694
010,00319195,00319195,020,00277249,00041946,00041946,001024,000,001,00016384,00319195
011,00319188,00319188,020,00277327,00041861,00041861,001024,000,001,00016384,00319188
012,00319309,00319309,020,00277989,00041320,00041320,001024,000,001,00016384,00319309
013,00319065,00319065,020,00277259,00041806,00041806,001024,000,001,00016384,00319065
014,00318860,00318860,020,00276614,00042246,00042246,001024,000,001,00016384,00318860
015,00320000,00320000,020,00278597,00041403,00041403,001024,000,001,00016384,00320000
016,00320512,00320512,020,00278579,00041933,00041933,001024,000,001,00016384,00320512
017,00320308,00320308,020,00277980,00042328,00042328,001024,000,001,00016384,00320308
018,00320293,00320293,020,00278560,00041733,00041733,001024,000,001,00016384,00320293
019,00321082,00321082,020,00278807,00042275,00042275,001024,000,001,00016384,00321082
020,00320747,00320747,020,00278706,00042041,00042041,001024,000,001,00016384,00320747
021,00320376,00320376,020,00278430,00041946,00041946,001024,000,001,00016384,00320376
022,00320903,00320903,020,00279142,00041761,00041761,001024,000,001,00016384,00320903
023,00319507,00319507,020,00277766,00041741,00041741,001024,000,001,00016384,00319507
024,00320350,00320350,020,00278574,00041776,00041776,001024,000,001,00016384,00320350
025,00320446,00320446,020,00278671,00041775,00041775,001024,000,001,00016384,00320446
026,00319255,00319255,020,00277420,00041835,00041835,001024,000,001,00016384,00319255
027,00319723,00319723,020,00277883,00041840,00041840,001024,000,001,00016384,00319723
028,00320019,00320019,020,00278549,00041470,00041470,001024,000,001,00016384,00320019
029,00319746,00319746,020,00277736,00042010,00042010,001024,000,001,00016384,00319746
030,00320613,00320613,020,00278689,00041924,00041924,001024,000,001,00016384,00320613
031,00319357,00319357,020,00277850,00041507,00041507,001024,000,001,00016384,00319357
