tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00024986,00024986,010,00088548,00005343,001024,001,000,0512
001,00024540,00024540,010,00090764,00005316,001024,001,000,0512
002,00024792,00024792,010,00078991,00005271,001024,001,000,0512
003,00024313,00024313,010,00086723,00005189,001024,001,000,0512
004,00024744,00024744,010,00076729,00005375,001024,001,000,0512
005,00024244,00024244,010,00084026,00005299,001024,001,000,0512
006,00024253,00024253,010,00083393,00005358,001024,001,000,0512
007,00024848,00024848,010,00083031,00005381,001024,001,000,0512
008,00024583,00024583,010,00082492,00005277,001024,001,000,0512
009,00024901,00024901,010,00080770,00005345,001024,001,000,0512
010,00024874,00024874,010,00088145,00005374,001024,001,000,0512
011,00024722,00024722,010,00080961,00005401,001024,001,000,0512
012,00024817,00024817,010,00076786,00005380,001024,001,000,0512
013,00024752,00024752,010,00085339,00005357,001024,001,000,0512
014,00024731,00024731,010,00087844,00005314,001024,001,000,0512
015,00024851,00024851,010,00084059,00005339,001024,001,000,0512
016,00025102,00025102,010,00080994,00005306,001024,001,000,0512
017,00024886,00024886,010,00081854,00005430,001024,001,000,0512
018,00024795,00024795,010,00076732,00005357,001024,001,000,0512
019,00025028,00025028,010,00092146,00005245,001024,001,000,0512
020,00025395,00025395,010,00083802,00005354,001024,001,000,0512
021,00024610,00024610,010,00080506,00005257,001024,001,000,0512
022,00024577,00024577,010,00084678,00005205,001024,001,000,0512
023,00025033,00025033,010,00079702,00005345,001024,001,000,0512
024,00024475,00024475,010,00079247,00005303,001024,001,000,0512
025,00024591,00024591,010,00082092,00005273,001024,001,000,0512
026,00024778,00024778,010,00084931,00005419,001024,001,000,0512
027,00024951,00024951,010,00084816,00005243,001024,001,000,0512
028,00025092,00025092,010,00078442,00005353,001024,001,000,0512
029,00024705,00024705,010,00084671,00005313,001024,001,000,0512
030,00024571,00024571,010,00079070,00005341,001024,001,000,0512
031,00024634,00024634,010,00083440,00005151,001024,001,000,0512
000,00024364,00024364,010,00079686,00005245,001024,002,000,0512
001,00024854,00024854,010,00090148,00005176,001024,002,000,0512
002,00024848,00024848,010,00083104,00005239,001024,002,000,0512
003,00025009,00025009,010,00090596,00005268,001024,002,000,0512
004,00025129,00025129,010,00088242,00005280,001024,002,000,0512
005,00024381,00024381,010,00082789,00005250,001024,002,000,0512
006,00024750,00024750,010,00079169,00005293,001024,002,000,0512
007,00024882,00024882,010,00083091,00005325,001024,002,000,0512
008,00024813,00024813,010,00086109,00005312,001024,002,000,0512
009,00024447,00024447,010,00084059,00005294,001024,002,000,0512
010,00024309,00024309,010,00074737,00005303,001024,002,000,0512
011,00024949,00024949,010,00082350,00005389,001024,002,000,0512
012,00024935,00024935,010,00088792,00005243,001024,002,000,0512
013,00024644,00024644,010,00087434,00005265,001024,002,000,0512
014,00024759,00024759,010,00078076,00005326,001024,002,000,0512
015,00024696,00024696,010,00077313,00005340,001024,002,000,0512
016,00024141,00024141,010,00081096,00005160,001024,002,000,0512
017,00024984,00024984,010,00084834,00005362,001024,002,000,0512
018,00024395,00024395,010,00081691,00005233,001024,002,000,0512
019,00024557,00024557,010,00077649,00005290,001024,002,000,0512
020,00024521,00024521,010,00080699,00005220,001024,002,000,0512
021,00024548,00024548,010,00082245,00005305,001024,002,000,0512
022,00024688,00024688,010,00090725,00005287,001024,002,000,0512
023,00024839,00024839,010,00083151,00005233,001024,002,000,0512
024,00024797,00024797,010,00087794,00005279,001024,002,000,0512
025,00024387,00024387,010,00075442,00005269,001024,002,000,0512
026,00024330,00024330,010,00079460,00005228,001024,002,000,0512
027,00024435,00024435,010,00085687,00005232,001024,002,000,0512
028,00024204,00024204,010,00082709,00005228,001024,002,000,0512
029,00024507,00024507,010,00084088,00005279,001024,002,000,0512
030,00024286,00024286,010,00083972,00005358,001024,002,000,0512
031,00024658,00024658,010,00079593,00005204,001024,002,000,0512
000,00023678,00023678,010,00089596,00005127,001024,003,000,0512
001,00023729,00023729,010,00087031,00005151,001024,003,000,0512
