tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00026727,00026727,010,00089164,00005688,001024,001,000,0512
001,00024371,00024371,010,00080001,00005285,001024,001,000,0512
002,00016775,00016775,010,00058539,00003599,001024,001,000,0512
003,00046459,00046459,010,00154366,00010001,001024,001,000,0512
004,00020610,00020610,010,00071914,00004400,001024,001,000,0512
005,00030399,00030399,010,00097228,00006635,001024,001,000,0512
006,00030789,00030789,010,00112158,00006659,001024,001,000,0512
007,00025505,00025505,010,00085655,00005461,001024,001,000,0512
008,00018644,00018644,010,00063470,00004055,001024,001,000,0512
009,00034370,00034370,010,00113685,00007250,001024,001,000,0512
010,00014023,00014023,010,00048388,00003018,001024,001,000,0512
011,00016571,00016571,010,00055009,00003616,001024,001,000,0512
012,00028450,00028450,010,00093668,00006080,001024,001,000,0512
013,00022980,00022980,010,00074547,00004908,001024,001,000,0512
014,00020837,00020837,010,00070074,00004522,001024,001,000,0512
015,00010857,00010857,010,00037316,00002285,001024,001,000,0512
016,00027000,00027000,010,00095239,00005688,001024,001,000,0512
017,00016320,00016320,010,00052882,00003474,001024,001,000,0512
018,00021876,00021876,010,00077175,00004665,001024,001,000,0512
019,00028807,00028807,010,00093770,00006093,001024,001,000,0512
020,00015326,00015326,010,00055062,00003191,001024,001,000,0512
021,00026510,00026510,010,00085255,00005680,001024,001,000,0512
022,00024589,00024589,010,00086319,00005311,001024,001,000,0512
023,00013238,00013238,010,00046626,00002831,001024,001,000,0512
024,00025753,00025753,010,00082393,00005473,001024,001,000,0512
025,00021546,00021546,010,00074773,00004591,001024,001,000,0512
026,00029394,00029394,010,00093858,00006359,001024,001,000,0512
027,00038674,00038674,010,00130685,00008319,001024,001,000,0512
028,00027653,00027653,010,00090308,00005804,001024,001,000,0512
029,00021031,00021031,010,00068622,00004569,001024,001,000,0512
030,00041375,00041375,010,00136338,00008812,001024,001,000,0512
031,00024423,00024423,010,00082098,00005235,001024,001,000,0512
000,00030870,00030870,010,00106194,00006721,001024,002,000,0512
001,00020470,00020470,010,00070997,00004346,001024,002,000,0512
002,00039322,00039322,010,00124254,00008295,001024,002,000,0512
003,00026290,00026290,010,00084278,00005601,001024,002,000,0512
004,00025254,00025254,010,00079588,00005291,001024,002,000,0512
005,00018666,00018666,010,00067392,00003990,001024,002,000,0512
006,00025480,00025480,010,00082800,00005428,001024,002,000,0512
007,00031038,00031038,010,00107776,00006604,001024,002,000,0512
008,00024478,00024478,010,00077083,00005218,001024,002,000,0512
009,00021614,00021614,010,00070781,00004620,001024,002,000,0512
010,00015553,00015553,010,00051129,00003315,001024,002,000,0512
011,00025617,00025617,010,00086587,00005349,001024,002,000,0512
012,00018938,00018938,010,00065736,00004060,001024,002,000,0512
013,00025281,00025281,010,00081361,00005439,001024,002,000,0512
014,00015655,00015655,010,00056380,00003340,001024,002,000,0512
015,00026278,00026278,010,00088892,00005591,001024,002,000,0512
016,00027953,00027953,010,00091689,00006102,001024,002,000,0512
017,00016003,00016003,010,00052693,00003351,001024,002,000,0512
018,00021572,00021572,010,00074448,00004677,001024,002,000,0512
019,00011392,00011392,010,00038122,00002435,001024,002,000,0512
020,00033968,00033968,010,00110052,00007260,001024,002,000,0512
021,00014568,00014568,010,00049494,00003147,001024,002,000,0512
022,00033917,00033917,010,00122588,00007339,001024,002,000,0512
023,00022369,00022369,010,00074974,00004731,001024,002,000,0512
024,00024704,00024704,010,00086091,00005270,001024,002,000,0512
025,00016893,00016893,010,00059200,00003674,001024,002,000,0512
026,00024339,00024339,010,00091970,00005237,001024,002,000,0512
027,00035632,00035632,010,00114382,00007594,001024,002,000,0512
028,00033414,00033414,010,00107498,00007203,001024,002,000,0512
029,00034545,00034545,010,00110609,00007253,001024,002,000,0512
030,00023960,00023960,010,00082874,00005246,001024,002,000,0512
031,00029796,00029796,010,00095921,00006407,001024,002,000,0512
000,00036036,00036036,010,00122690,00007711,001024,003,000,0512
001,00011686,00011686,010,00037014,00002555,001024,003,000,0512
002,00023686,00023686,010,00077749,00005070,001024,003,000,0512
003,00027063,00027063,010,00092728,00005766,001024,003,000,0512
004,00037665,00037665,010,00126543,00008185,001024,003,000,0512
005,00031028,00031028,010,00105125,00006632,001024,003,000,0512
006,00041469,00041469,010,00137188,00008909,001024,003,000,0512
007,00019629,00019629,010,00067286,00004232,001024,003,000,0512
008,00017708,00017708,010,00062548,00003734,001024,003,000,0512
009,00021277,00021277,010,00071409,00004517,001024,003,000,0512
010,00026141,00026141,010,00086218,00005636,001024,003,000,0512
011,00035052,00035052,010,00110795,00007547,001024,003,000,0512
012,00017151,00017151,010,00058068,00003726,001024,003,000,0512
013,00016279,00016279,010,00054991,00003374,001024,003,000,0512
014,00030284,00030284,010,00100045,00006540,001024,003,000,0512
015,00015584,00015584,010,00050453,00003294,001024,003,000,0512
016,00023656,00023656,010,00072996,00005125,001024,003,000,0512
017,00024704,00024704,010,00080519,00005343,001024,003,000,0512
018,00033014,00033014,010,00108819,00007079,001024,003,000,0512
019,00021723,00021723,010,00074139,00004670,001024,003,000,0512
020,00027680,00027680,010,00090048,00005908,001024,003,000,0512
021,00027421,00027421,010,00089076,00005794,001024,003,000,0512
022,00021554,00021554,010,00068956,00004648,001024,003,000,0512
023,00033961,00033961,010,00116985,00007227,001024,003,000,0512
024,00033963,00033963,010,00110723,00007241,001024,003,000,0512
025,00019939,00019939,010,00065889,00004305,001024,003,000,0512
026,00016736,00016736,010,00052899,00003513,001024,003,000,0512
027,00025183,00025183,010,00078916,00005303,001024,003,000,0512
028,00018337,00018337,010,00058175,00003965,001024,003,000,0512
029,00019391,00019391,010,00060465,00004180,001024,003,000,0512
030,00013287,00013287,010,00043715,00002804,001024,003,000,0512
031,00034794,00034794,010,00117664,00007255,001024,003,000,0512
000,00016430,00016430,010,00061151,00003475,001024,004,000,0512
001,00016232,00016232,010,00063448,00003537,001024,004,000,0512
002,00020463,00020463,010,00078138,00004347,001024,004,000,0512
003,00021968,00021968,010,00079556,00004731,001024,004,000,0512
004,00015577,00015577,010,00055576,00003319,001024,004,000,0512
005,00031963,00031963,010,00119872,00006759,001024,004,000,0512
006,00020570,00020570,010,00074871,00004376,001024,004,000,0512
007,00023592,00023592,010,00082767,00005013,001024,004,000,0512
008,00027121,00027121,010,00103893,00005702,001024,004,000,0512
009,00022106,00022106,010,00083059,00004705,001024,004,000,0512
010,00039054,00039054,010,00142639,00008395,001024,004,000,0512
011,00031662,00031662,010,00121273,00006647,001024,004,000,0512
012,00018663,00018663,010,00066964,00003982,001024,004,000,0512
013,00013175,00013175,010,00052999,00002749,001024,004,000,0512
014,00022144,00022144,010,00085480,00004669,001024,004,000,0512
015,00030761,00030761,010,00117475,00006399,001024,004,000,0512
016,00028302,00028302,010,00102885,00005971,001024,004,000,0512
017,00017768,00017768,010,00063098,00003789,001024,004,000,0512
018,00020986,00020986,010,00079914,00004665,001024,004,000,0512
019,00040485,00040485,010,00151838,00008606,001024,004,000,0512
020,00033455,00033455,010,00122392,00007070,001024,004,000,0512
021,00014234,00014234,010,00051190,00003066,001024,004,000,0512
022,00029685,00029685,010,00104207,00006223,001024,004,000,0512
023,00027649,00027649,010,00110270,00005892,001024,004,000,0512
024,00025121,00025121,010,00091840,00005362,001024,004,000,0512
025,00022112,00022112,010,00085371,00004715,001024,004,000,0512
026,00007838,00007838,010,00029420,00001632,001024,004,000,0512
027,00025927,00025927,010,00096403,00005584,001024,004,000,0512
028,00036858,00036858,010,00142236,00007883,001024,004,000,0512
029,00039120,00039120,010,00149979,00008345,001024,004,000,0512
030,00010119,00010119,010,00035847,00002154,001024,004,000,0512
031,00009683,00009683,010,00033843,00002058,001024,004,000,0512
000,00021468,00021468,010,00070276,00004535,001024,001,001,0512
001,00024165,00024165,010,00084401,00005222,001024,001,001,0512
002,00032584,00032584,010,00106923,00006939,001024,001,001,0512
003,00020383,00020383,010,00071243,00004430,001024,001,001,0512
004,00020075,00020075,010,00067546,00004265,001024,001,001,0512
005,00026013,00026013,010,00094708,00005637,001024,001,001,0512
006,00020009,00020009,010,00067745,00004350,001024,001,001,0512
007,00024593,00024593,010,00079587,00005226,001024,001,001,0512
008,00020650,00020650,010,00069538,00004541,001024,001,001,0512
009,00030802,00030802,010,00107360,00006605,001024,001,001,0512
010,00029446,00029446,010,00095546,00006312,001024,001,001,0512
011,00015418,00015418,010,00050287,00003289,001024,001,001,0512
012,00023740,00023740,010,00081678,00005096,001024,001,001,0512
013,00027083,00027083,010,00088725,00005789,001024,001,001,0512
014,00023114,00023114,010,00080378,00004976,001024,001,001,0512
015,00040265,00040265,010,00135940,00008702,001024,001,001,0512
016,00026285,00026285,010,00088188,00005501,001024,001,001,0512
