lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0007144,0000200,0000040,0001010,0005210,0005901,0012954,001024,001,000,0256
0011582,0001063,0002464,0001108,0007975,0009137,0019217,001024,001,000,0256
0012274,0000210,0000051,0001009,0009438,0011782,0028223,001024,002,000,0256
0019005,0001122,0001943,0001091,0022883,0018465,0039775,001024,002,000,0256
0012113,0000210,0000051,0001009,0009378,0011612,0027902,001024,003,000,0256
0019106,0001117,0002384,0001091,0022933,0018564,0039825,001024,003,000,0256
0007354,0000241,0000050,0001005,0005260,0005941,0013225,001024,004,000,0256
0013104,0001059,0002665,0001094,0009087,0010239,0021170,001024,004,000,0256
0023404,0000201,0000040,0001023,0007334,0022211,0035236,001024,001,001,0256
0043783,0001222,0002706,0001232,0030417,0042550,0061005,001024,001,001,0256
0023925,0000211,0000050,0001023,0007754,0022753,0035968,001024,002,001,0256
0043873,0001223,0002665,0001234,0030527,0042640,0061206,001024,002,001,0256
0022653,0000211,0000050,0001022,0010520,0022162,0036920,001024,003,001,0256
0044524,0001224,0002164,0001222,0034194,0044003,0068078,001024,003,001,0256
0024326,0000251,0000060,0001024,0007894,0023013,0036549,001024,004,001,0256
0044564,0001231,0002985,0001235,0030698,0043131,0062017,001024,004,001,0256
0012143,0000210,0000050,0001009,0009568,0011642,0027992,001024,001,002,0256
0018855,0001123,0001934,0001093,0022843,0018324,0039775,001024,001,002,0256
0007133,0000200,0000040,0001016,0005210,0005921,0012945,001024,002,002,0256
0011332,0001062,0002525,0001112,0008165,0009027,0019056,001024,002,002,0256
0012183,0000210,0000050,0001009,0009678,0011682,0028103,001024,003,002,0256
0019116,0001120,0002315,0001093,0023043,0018565,0039995,001024,003,002,0256
0007414,0000241,0000050,0001011,0005270,0005971,0013305,001024,004,002,0256
0013565,0001063,0002795,0001110,0009347,0010530,0021731,001024,004,002,0256
