lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0012403,0000210,0000050,0001009,0032101,0011893,0031680,001024,001,000,0256
0019086,0001079,0002485,0001086,0043933,0018565,0043792,001024,001,000,0256
0007303,0000191,0000040,0001005,0013916,0005891,0013866,001024,002,000,0256
0011772,0001050,0002435,0001094,0020259,0009147,0020028,001024,002,000,0256
0010891,0000210,0000050,0001009,0029515,0010399,0028844,001024,003,000,0256
0018746,0001078,0002334,0001089,0043602,0018205,0043442,001024,003,000,0256
0007384,0000241,0000060,0001005,0014107,0005932,0014047,001024,004,000,0256
0013495,0001049,0002655,0001096,0022883,0010519,0022552,001024,004,000,0256
0012183,0000210,0000050,0001009,0032051,0011672,0031630,001024,001,001,0256
0019076,0001081,0002455,0001091,0044214,0018515,0044043,001024,001,001,0256
0007173,0000200,0000040,0001005,0013836,0005921,0013786,001024,002,001,0256
0011682,0001051,0002425,0001097,0020248,0009368,0019998,001024,002,001,0256
0012173,0000210,0000050,0001009,0032081,0011672,0031660,001024,003,001,0256
0018836,0001081,0002454,0001092,0044143,0018324,0043983,001024,003,001,0256
0007414,0000241,0000060,0001005,0014156,0005961,0014096,001024,004,001,0256
0013465,0001050,0002635,0001097,0022673,0010410,0022402,001024,004,001,0256
0012524,0000210,0000050,0001009,0032200,0012022,0031780,001024,001,002,0256
0019267,0001079,0002565,0001087,0044314,0018745,0044133,001024,001,002,0256
0011341,0000210,0000050,0001009,0030277,0010841,0029696,001024,002,002,0256
0019087,0001079,0002425,0001090,0044083,0018545,0043902,001024,002,002,0256
0007274,0000200,0000040,0001005,0013887,0005871,0013846,001024,003,002,0256
0012523,0001046,0002285,0001095,0020880,0009889,0020599,001024,003,002,0256
0007374,0000241,0000050,0001005,0014107,0005931,0014047,001024,004,002,0256
0014056,0001049,0002675,0001096,0023144,0011272,0022802,001024,004,002,0256
