tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00099306,00099306,010,00249525,001024,001,000,0256
001,00099568,00099568,010,00250192,001024,001,000,0256
002,00098555,00098555,010,00246829,001024,001,000,0256
003,00099474,00099474,010,00248963,001024,001,000,0256
004,00098614,00098614,010,00247410,001024,001,000,0256
005,00097699,00097699,010,00244723,001024,001,000,0256
006,00097408,00097408,010,00243993,001024,001,000,0256
007,00098472,00098472,010,00246456,001024,001,000,0256
008,00098344,00098344,010,00246778,001024,001,000,0256
009,00097913,00097913,010,00245241,001024,001,000,0256
010,00097843,00097843,010,00245079,001024,001,000,0256
011,00096629,00096629,010,00241333,001024,001,000,0256
012,00097111,00097111,010,00242428,001024,001,000,0256
013,00096955,00096955,010,00242231,001024,001,000,0256
014,00096459,00096459,010,00241622,001024,001,000,0256
015,00097228,00097228,010,00243015,001024,001,000,0256
016,00097013,00097013,010,00242089,001024,001,000,0256
017,00096905,00096905,010,00242225,001024,001,000,0256
018,00096608,00096608,010,00241651,001024,001,000,0256
019,00096193,00096193,010,00240806,001024,001,000,0256
020,00095694,00095694,010,00239339,001024,001,000,0256
021,00096240,00096240,010,00240251,001024,001,000,0256
022,00095836,00095836,010,00240289,001024,001,000,0256
023,00096002,00096002,010,00239701,001024,001,000,0256
024,00095717,00095717,010,00238901,001024,001,000,0256
025,00095731,00095731,010,00238980,001024,001,000,0256
026,00095614,00095614,010,00238541,001024,001,000,0256
027,00095318,00095318,010,00238288,001024,001,000,0256
028,00095120,00095120,010,00237009,001024,001,000,0256
029,00095080,00095080,010,00236849,001024,001,000,0256
030,00095149,00095149,010,00237575,001024,001,000,0256
031,00094826,00094826,010,00237289,001024,001,000,0256
000,00104189,00104189,010,00260896,001024,002,000,0256
001,00103693,00103693,010,00259498,001024,002,000,0256
002,00103733,00103733,010,00259289,001024,002,000,0256
003,00102064,00102064,010,00255207,001024,002,000,0256
004,00103447,00103447,010,00258903,001024,002,000,0256
005,00102499,00102499,010,00256356,001024,002,000,0256
006,00102034,00102034,010,00254339,001024,002,000,0256
007,00102002,00102002,010,00255300,001024,002,000,0256
008,00102605,00102605,010,00256247,001024,002,000,0256
009,00101671,00101671,010,00253778,001024,002,000,0256
010,00102276,00102276,010,00255648,001024,002,000,0256
011,00102050,00102050,010,00254797,001024,002,000,0256
012,00101845,00101845,010,00253772,001024,002,000,0256
013,00101603,00101603,010,00254130,001024,002,000,0256
014,00101192,00101192,010,00252845,001024,002,000,0256
015,00100785,00100785,010,00252033,001024,002,000,0256
016,00100982,00100982,010,00251998,001024,002,000,0256
017,00100956,00100956,010,00251792,001024,002,000,0256
018,00100722,00100722,010,00251639,001024,002,000,0256
019,00099968,00099968,010,00249418,001024,002,000,0256
020,00100387,00100387,010,00250480,001024,002,000,0256
021,00100244,00100244,010,00250661,001024,002,000,0256
022,00100300,00100300,010,00249899,001024,002,000,0256
023,00099819,00099819,010,00249021,001024,002,000,0256
024,00099275,00099275,010,00246959,001024,002,000,0256
025,00099021,00099021,010,00246619,001024,002,000,0256
026,00099066,00099066,010,00246429,001024,002,000,0256
027,00098992,00098992,010,00246853,001024,002,000,0256
028,00099367,00099367,010,00248008,001024,002,000,0256
029,00099368,00099368,010,00247283,001024,002,000,0256
030,00099197,00099197,010,00246700,001024,002,000,0256
031,00098752,00098752,010,00245661,001024,002,000,0256
000,00106114,00106114,010,00255485,001024,003,000,0256
001,00106075,00106075,010,00255169,001024,003,000,0256
002,00105949,00105949,010,00254435,001024,003,000,0256
003,00105848,00105848,010,00253868,001024,003,000,0256
004,00105326,00105326,010,00252906,001024,003,000,0256
005,00105137,00105137,010,00252474,001024,003,000,0256
006,00105030,00105030,010,00252361,001024,003,000,0256
007,00104265,00104265,010,00249985,001024,003,000,0256
008,00104372,00104372,010,00250629,001024,003,000,0256
009,00103901,00103901,010,00249954,001024,003,000,0256
010,00103474,00103474,010,00248230,001024,003,000,0256
011,00103979,00103979,010,00248849,001024,003,000,0256
012,00103484,00103484,010,00247858,001024,003,000,0256
013,00103226,00103226,010,00247299,001024,003,000,0256
014,00102762,00102762,010,00246110,001024,003,000,0256
015,00102845,00102845,010,00246540,001024,003,000,0256
016,00103023,00103023,010,00246685,001024,003,000,0256
017,00101930,00101930,010,00244084,001024,003,000,0256
018,00102344,00102344,010,00245036,001024,003,000,0256
019,00102202,00102202,010,00244341,001024,003,000,0256
020,00100897,00100897,010,00241318,001024,003,000,0256
021,00101946,00101946,010,00244104,001024,003,000,0256
022,00100802,00100802,010,00241732,001024,003,000,0256
023,00100947,00100947,010,00241790,001024,003,000,0256
024,00101301,00101301,010,00242855,001024,003,000,0256
025,00101153,00101153,010,00242509,001024,003,000,0256
026,00100855,00100855,010,00241685,001024,003,000,0256
027,00100288,00100288,010,00240064,001024,003,000,0256
028,00100766,00100766,010,00241231,001024,003,000,0256
029,00100495,00100495,010,00240525,001024,003,000,0256
030,00100546,00100546,010,00240159,001024,003,000,0256
031,00100608,00100608,010,00240171,001024,003,000,0256
000,00100064,00100064,010,00250256,001024,004,000,0256
001,00100537,00100537,010,00251411,001024,004,000,0256
002,00100907,00100907,010,00252873,001024,004,000,0256
003,00100238,00100238,010,00251322,001024,004,000,0256
004,00100515,00100515,010,00251523,001024,004,000,0256
005,00099472,00099472,010,00249113,001024,004,000,0256
006,00099594,00099594,010,00248875,001024,004,000,0256
007,00099820,00099820,010,00250088,001024,004,000,0256
008,00098911,00098911,010,00247466,001024,004,000,0256
009,00098779,00098779,010,00247136,001024,004,000,0256
010,00098417,00098417,010,00246120,001024,004,000,0256
011,00098646,00098646,010,00246479,001024,004,000,0256
012,00098659,00098659,010,00246370,001024,004,000,0256
013,00098584,00098584,010,00246480,001024,004,000,0256
014,00098194,00098194,010,00245655,001024,004,000,0256
015,00098522,00098522,010,00245619,001024,004,000,0256
016,00098093,00098093,010,00244929,001024,004,000,0256
017,00097911,00097911,010,00243678,001024,004,000,0256
018,00097811,00097811,010,00244418,001024,004,000,0256
019,00097195,00097195,010,00242769,001024,004,000,0256
020,00096823,00096823,010,00241721,001024,004,000,0256
021,00097321,00097321,010,00242709,001024,004,000,0256
022,00096975,00096975,010,00242457,001024,004,000,0256
023,00095762,00095762,010,00238884,001024,004,000,0256
024,00096700,00096700,010,00240832,001024,004,000,0256
025,00096525,00096525,010,00240717,001024,004,000,0256
026,00096002,00096002,010,00239676,001024,004,000,0256
027,00096673,00096673,010,00241508,001024,004,000,0256
028,00096509,00096509,010,00241088,001024,004,000,0256
029,00096017,00096017,010,00238710,001024,004,000,0256
030,00096138,00096138,010,00240247,001024,004,000,0256
031,00096004,00096004,010,00238975,001024,004,000,0256
000,00102459,00102459,010,00256251,001024,001,001,0256
001,00101513,00101513,010,00253692,001024,001,001,0256
002,00102113,00102113,010,00255000,001024,001,001,0256
003,00101119,00101119,010,00252418,001024,001,001,0256
004,00101163,00101163,010,00252979,001024,001,001,0256
005,00099415,00099415,010,00248816,001024,001,001,0256
006,00100268,00100268,010,00250648,001024,001,001,0256
007,00100380,00100380,010,00250646,001024,001,001,0256
008,00099803,00099803,010,00248778,001024,001,001,0256
009,00099798,00099798,010,00249357,001024,001,001,0256
010,00099991,00099991,010,00249455,001024,001,001,0256
011,00099215,00099215,010,00247453,001024,001,001,0256
012,00099463,00099463,010,00248133,001024,001,001,0256
013,00099187,00099187,010,00246986,001024,001,001,0256
014,00098513,00098513,010,00245616,001024,001,001,0256
015,00098801,00098801,010,00246118,001024,001,001,0256
016,00097985,00097985,010,00243799,001024,001,001,0256
017,00098200,00098200,010,00244474,001024,001,001,0256
018,00098771,00098771,010,00245635,001024,001,001,0256
019,00097792,00097792,010,00243668,001024,001,001,0256
020,00098328,00098328,010,00245074,001024,001,001,0256
021,00098183,00098183,010,00244329,001024,001,001,0256
022,00098270,00098270,010,00244860,001024,001,001,0256
023,00097800,00097800,010,00243488,001024,001,001,0256
024,00097842,00097842,010,00243967,001024,001,001,0256
025,00097627,00097627,010,00243102,001024,001,001,0256
026,00097714,00097714,010,00243087,001024,001,001,0256
027,00097447,00097447,010,00242001,001024,001,001,0256
028,00097012,00097012,010,00241801,001024,001,001,0256
029,00096326,00096326,010,00239603,001024,001,001,0256
030,00101312,00101312,010,00252856,001024,001,001,0256
031,00101332,00101332,010,00252973,001024,001,001,0256
000,00100171,00100171,010,00251693,001024,002,001,0256
001,00099550,00099550,010,00249243,001024,002,001,0256
002,00098806,00098806,010,00247336,001024,002,001,0256
003,00098916,00098916,010,00247900,001024,002,001,0256
004,00098703,00098703,010,00247448,001024,002,001,0256
005,00098539,00098539,010,00247096,001024,002,001,0256
006,00098101,00098101,010,00245580,001024,002,001,0256
007,00097381,00097381,010,00244217,001024,002,001,0256
008,00097782,00097782,010,00244759,001024,002,001,0256
009,00097842,00097842,010,00245090,001024,002,001,0256
010,00097455,00097455,010,00243715,001024,002,001,0256
011,00097280,00097280,010,00242990,001024,002,001,0256
012,00097338,00097338,010,00243637,001024,002,001,0256
013,00096764,00096764,010,00242005,001024,002,001,0256
014,00097025,00097025,010,00242200,001024,002,001,0256
015,00096325,00096325,010,00240281,001024,002,001,0256
016,00096125,00096125,010,00240083,001024,002,001,0256
017,00096591,00096591,010,00241573,001024,002,001,0256
018,00096188,00096188,010,00241085,001024,002,001,0256
019,00096378,00096378,010,00240803,001024,002,001,0256
020,00096275,00096275,010,00240299,001024,002,001,0256
021,00096346,00096346,010,00240127,001024,002,001,0256
022,00095283,00095283,010,00237262,001024,002,001,0256
023,00095837,00095837,010,00239458,001024,002,001,0256
024,00095544,00095544,010,00238307,001024,002,001,0256
025,00095395,00095395,010,00238258,001024,002,001,0256
026,00094603,00094603,010,00235665,001024,002,001,0256
027,00095280,00095280,010,00237514,001024,002,001,0256
028,00094802,00094802,010,00235916,001024,002,001,0256
029,00094590,00094590,010,00235976,001024,002,001,0256
030,00099395,00099395,010,00249082,001024,002,001,0256
031,00098837,00098837,010,00248021,001024,002,001,0256
000,00106323,00106323,010,00254570,001024,003,001,0256
001,00106021,00106021,010,00253981,001024,003,001,0256
002,00105054,00105054,010,00252232,001024,003,001,0256
003,00104811,00104811,010,00250610,001024,003,001,0256
004,00103837,00103837,010,00248114,001024,003,001,0256
005,00104018,00104018,010,00249532,001024,003,001,0256
006,00104098,00104098,010,00248744,001024,003,001,0256
007,00104240,00104240,010,00249515,001024,003,001,0256
008,00103816,00103816,010,00248415,001024,003,001,0256
009,00102868,00102868,010,00245937,001024,003,001,0256
010,00103750,00103750,010,00247645,001024,003,001,0256
011,00103011,00103011,010,00246326,001024,003,001,0256
012,00103214,00103214,010,00246733,001024,003,001,0256
013,00102808,00102808,010,00245398,001024,003,001,0256
014,00102231,00102231,010,00244202,001024,003,001,0256
015,00102675,00102675,010,00245419,001024,003,001,0256
016,00101331,00101331,010,00242014,001024,003,001,0256
017,00102038,00102038,010,00243143,001024,003,001,0256
018,00102699,00102699,010,00244884,001024,003,001,0256
019,00101969,00101969,010,00243779,001024,003,001,0256
020,00102012,00102012,010,00243915,001024,003,001,0256
021,00101690,00101690,010,00242563,001024,003,001,0256
022,00101041,00101041,010,00241229,001024,003,001,0256
023,00101640,00101640,010,00242072,001024,003,001,0256
024,00101022,00101022,010,00240515,001024,003,001,0256
025,00101523,00101523,010,00242139,001024,003,001,0256
026,00101319,00101319,010,00241582,001024,003,001,0256
027,00100335,00100335,010,00238956,001024,003,001,0256
028,00100574,00100574,010,00240255,001024,003,001,0256
029,00105361,00105361,010,00252307,001024,003,001,0256
030,00104784,00104784,010,00250685,001024,003,001,0256
031,00104994,00104994,010,00251309,001024,003,001,0256
000,00097830,00097830,010,00245133,001024,004,001,0256
001,00097142,00097142,010,00243610,001024,004,001,0256
002,00096254,00096254,010,00240958,001024,004,001,0256
003,00097092,00097092,010,00243278,001024,004,001,0256
004,00097164,00097164,010,00243823,001024,004,001,0256
005,00096814,00096814,010,00242776,001024,004,001,0256
006,00096436,00096436,010,00240641,001024,004,001,0256
007,00096439,00096439,010,00241525,001024,004,001,0256
008,00095866,00095866,010,00239681,001024,004,001,0256
009,00096485,00096485,010,00241103,001024,004,001,0256
010,00095773,00095773,010,00239898,001024,004,001,0256
011,00095856,00095856,010,00239621,001024,004,001,0256
012,00095804,00095804,010,00239248,001024,004,001,0256
013,00095296,00095296,010,00238121,001024,004,001,0256
014,00095204,00095204,010,00238245,001024,004,001,0256
015,00094939,00094939,010,00237873,001024,004,001,0256
016,00095092,00095092,010,00238079,001024,004,001,0256
017,00094245,00094245,010,00235511,001024,004,001,0256
018,00094952,00094952,010,00237504,001024,004,001,0256
019,00094239,00094239,010,00234779,001024,004,001,0256
020,00094420,00094420,010,00236292,001024,004,001,0256
021,00094547,00094547,010,00236278,001024,004,001,0256
022,00094524,00094524,010,00235800,001024,004,001,0256
023,00094227,00094227,010,00235834,001024,004,001,0256
024,00093883,00093883,010,00235119,001024,004,001,0256
025,00093753,00093753,010,00233798,001024,004,001,0256
026,00093994,00093994,010,00234674,001024,004,001,0256
027,00093656,00093656,010,00233593,001024,004,001,0256
028,00093565,00093565,010,00234007,001024,004,001,0256
029,00098335,00098335,010,00246520,001024,004,001,0256
030,00096163,00096163,010,00240843,001024,004,001,0256
031,00096753,00096753,010,00242860,001024,004,001,0256
000,00078200,00078200,010,00225592,001024,001,002,0256
001,00077400,00077400,010,00224162,001024,001,002,0256
002,00077100,00077100,010,00224080,001024,001,002,0256
003,00077800,00077800,010,00224436,001024,001,002,0256
004,00078000,00078000,010,00226309,001024,001,002,0256
005,00077500,00077500,010,00224479,001024,001,002,0256
006,00076600,00076600,010,00221002,001024,001,002,0256
007,00077831,00077831,010,00225055,001024,001,002,0256
008,00077400,00077400,010,00222904,001024,001,002,0256
009,00076800,00076800,010,00222138,001024,001,002,0256
010,00077200,00077200,010,00223073,001024,001,002,0256
011,00078100,00078100,010,00226479,001024,001,002,0256
012,00077200,00077200,010,00223641,001024,001,002,0256
013,00077741,00077741,010,00224132,001024,001,002,0256
014,00076949,00076949,010,00221882,001024,001,002,0256
015,00077900,00077900,010,00225177,001024,001,002,0256
016,00079071,00079071,010,00229212,001024,001,002,0256
017,00077532,00077532,010,00222997,001024,001,002,0256
018,00078400,00078400,010,00227834,001024,001,002,0256
019,00078400,00078400,010,00225141,001024,001,002,0256
020,00077500,00077500,010,00224521,001024,001,002,0256
021,00077200,00077200,010,00224209,001024,001,002,0256
022,00078600,00078600,010,00226991,001024,001,002,0256
023,00076700,00076700,010,00221208,001024,001,002,0256
024,00077200,00077200,010,00223561,001024,001,002,0256
025,00078000,00078000,010,00225379,001024,001,002,0256
026,00077100,00077100,010,00222905,001024,001,002,0256
027,00077800,00077800,010,00223623,001024,001,002,0256
028,00077400,00077400,010,00224032,001024,001,002,0256
029,00078100,00078100,010,00225103,001024,001,002,0256
030,00077900,00077900,010,00225359,001024,001,002,0256
031,00077057,00077057,010,00223005,001024,001,002,0256
000,00173727,00173727,010,00414816,001024,002,002,0256
001,00174003,00174003,010,00415201,001024,002,002,0256
002,00173725,00173725,010,00414401,001024,002,002,0256
003,00173532,00173532,010,00415313,001024,002,002,0256
004,00173301,00173301,010,00413681,001024,002,002,0256
005,00173610,00173610,010,00414060,001024,002,002,0256
006,00173498,00173498,010,00414632,001024,002,002,0256
007,00173746,00173746,010,00414995,001024,002,002,0256
008,00173446,00173446,010,00414181,001024,002,002,0256
009,00173782,00173782,010,00414153,001024,002,002,0256
010,00172973,00172973,010,00413123,001024,002,002,0256
011,00173459,00173459,010,00414531,001024,002,002,0256
012,00173116,00173116,010,00414027,001024,002,002,0256
013,00173447,00173447,010,00414267,001024,002,002,0256
014,00172933,00172933,010,00413177,001024,002,002,0256
015,00173226,00173226,010,00413745,001024,002,002,0256
016,00173082,00173082,010,00413755,001024,002,002,0256
017,00172665,00172665,010,00412305,001024,002,002,0256
018,00173080,00173080,010,00413841,001024,002,002,0256
019,00172931,00172931,010,00412679,001024,002,002,0256
020,00173073,00173073,010,00413352,001024,002,002,0256
021,00172749,00172749,010,00412499,001024,002,002,0256
022,00173268,00173268,010,00413567,001024,002,002,0256
023,00172597,00172597,010,00412501,001024,002,002,0256
024,00173217,00173217,010,00412606,001024,002,002,0256
025,00172591,00172591,010,00411985,001024,002,002,0256
026,00173023,00173023,010,00413346,001024,002,002,0256
027,00172373,00172373,010,00412460,001024,002,002,0256
028,00172312,00172312,010,00411868,001024,002,002,0256
029,00172329,00172329,010,00411974,001024,002,002,0256
030,00172726,00172726,010,00411973,001024,002,002,0256
031,00172363,00172363,010,00412117,001024,002,002,0256
000,00173233,00173233,010,00414314,001024,003,002,0256
001,00173822,00173822,010,00415517,001024,003,002,0256
002,00173331,00173331,010,00413935,001024,003,002,0256
003,00173500,00173500,010,00415379,001024,003,002,0256
004,00173700,00173700,010,00415004,001024,003,002,0256
005,00173400,00173400,010,00414569,001024,003,002,0256
006,00173228,00173228,010,00414780,001024,003,002,0256
007,00173400,00173400,010,00415201,001024,003,002,0256
008,00173083,00173083,010,00413087,001024,003,002,0256
009,00173300,00173300,010,00414707,001024,003,002,0256
010,00173024,00173024,010,00413064,001024,003,002,0256
011,00173206,00173206,010,00414242,001024,003,002,0256
012,00173392,00173392,010,00414063,001024,003,002,0256
013,00173318,00173318,010,00414927,001024,003,002,0256
014,00172600,00172600,010,00412904,001024,003,002,0256
015,00172900,00172900,010,00413197,001024,003,002,0256
016,00172700,00172700,010,00413254,001024,003,002,0256
017,00172419,00172419,010,00411767,001024,003,002,0256
018,00173160,00173160,010,00414586,001024,003,002,0256
019,00172365,00172365,010,00412579,001024,003,002,0256
020,00172900,00172900,010,00413882,001024,003,002,0256
021,00172600,00172600,010,00412004,001024,003,002,0256
022,00172503,00172503,010,00412325,001024,003,002,0256
023,00172207,00172207,010,00411303,001024,003,002,0256
024,00173101,00173101,010,00413585,001024,003,002,0256
025,00172653,00172653,010,00412382,001024,003,002,0256
026,00172572,00172572,010,00412287,001024,003,002,0256
027,00172406,00172406,010,00412829,001024,003,002,0256
028,00172300,00172300,010,00412659,001024,003,002,0256
029,00172541,00172541,010,00411955,001024,003,002,0256
030,00172365,00172365,010,00412080,001024,003,002,0256
031,00172256,00172256,010,00410858,001024,003,002,0256
000,00103900,00103900,010,00297010,001024,004,002,0256
001,00103800,00103800,010,00295241,001024,004,002,0256
002,00103289,00103289,010,00294890,001024,004,002,0256
003,00101210,00101210,010,00289520,001024,004,002,0256
004,00102342,00102342,010,00291391,001024,004,002,0256
005,00101582,00101582,010,00289563,001024,004,002,0256
006,00103218,00103218,010,00294442,001024,004,002,0256
007,00102200,00102200,010,00291084,001024,004,002,0256
008,00103200,00103200,010,00293539,001024,004,002,0256
009,00102963,00102963,010,00293696,001024,004,002,0256
010,00101700,00101700,010,00290044,001024,004,002,0256
011,00103100,00103100,010,00293153,001024,004,002,0256
012,00103400,00103400,010,00293295,001024,004,002,0256
