tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00104700,00104700,010,00303225,001024,001,000,0256
001,00106316,00106316,010,00306715,001024,001,000,0256
002,00104618,00104618,010,00301002,001024,001,000,0256
003,00104672,00104672,010,00301039,001024,001,000,0256
004,00105900,00105900,010,00305922,001024,001,000,0256
005,00105273,00105273,010,00302746,001024,001,000,0256
006,00104900,00104900,010,00300296,001024,001,000,0256
007,00104700,00104700,010,00299603,001024,001,000,0256
008,00105100,00105100,010,00302894,001024,001,000,0256
009,00104300,00104300,010,00300013,001024,001,000,0256
010,00092220,00092220,010,00265075,001024,001,000,0256
011,00105300,00105300,010,00302343,001024,001,000,0256
012,00104117,00104117,010,00298610,001024,001,000,0256
013,00105174,00105174,010,00302674,001024,001,000,0256
014,00105100,00105100,010,00302796,001024,001,000,0256
015,00104600,00104600,010,00300501,001024,001,000,0256
016,00106400,00106400,010,00306170,001024,001,000,0256
017,00103500,00103500,010,00297431,001024,001,000,0256
018,00104000,00104000,010,00300092,001024,001,000,0256
019,00102900,00102900,010,00295338,001024,001,000,0256
020,00105600,00105600,010,00304450,001024,001,000,0256
021,00104817,00104817,010,00300991,001024,001,000,0256
022,00103900,00103900,010,00297780,001024,001,000,0256
023,00102400,00102400,010,00294659,001024,001,000,0256
024,00105100,00105100,010,00301505,001024,001,000,0256
025,00105800,00105800,010,00306899,001024,001,000,0256
026,00104075,00104075,010,00300148,001024,001,000,0256
027,00102953,00102953,010,00295241,001024,001,000,0256
028,00104500,00104500,010,00300325,001024,001,000,0256
029,00104800,00104800,010,00301660,001024,001,000,0256
030,00103900,00103900,010,00300581,001024,001,000,0256
031,00104100,00104100,010,00297179,001024,001,000,0256
000,00175089,00175089,010,00416687,001024,002,000,0256
001,00175028,00175028,010,00416750,001024,002,000,0256
002,00175602,00175602,010,00417342,001024,002,000,0256
003,00174991,00174991,010,00416306,001024,002,000,0256
004,00174931,00174931,010,00415776,001024,002,000,0256
005,00174786,00174786,010,00417267,001024,002,000,0256
006,00174701,00174701,010,00415142,001024,002,000,0256
007,00175066,00175066,010,00416256,001024,002,000,0256
008,00174742,00174742,010,00415785,001024,002,000,0256
009,00175185,00175185,010,00416282,001024,002,000,0256
010,00174586,00174586,010,00416001,001024,002,000,0256
011,00174504,00174504,010,00415512,001024,002,000,0256
012,00175035,00175035,010,00416558,001024,002,000,0256
013,00174823,00174823,010,00416033,001024,002,000,0256
014,00174608,00174608,010,00415175,001024,002,000,0256
015,00174937,00174937,010,00416190,001024,002,000,0256
016,00174798,00174798,010,00414974,001024,002,000,0256
017,00174796,00174796,010,00414970,001024,002,000,0256
018,00174841,00174841,010,00416018,001024,002,000,0256
019,00174876,00174876,010,00415092,001024,002,000,0256
020,00174096,00174096,010,00415317,001024,002,000,0256
021,00174022,00174022,010,00414982,001024,002,000,0256
022,00173895,00173895,010,00413037,001024,002,000,0256
023,00174241,00174241,010,00413875,001024,002,000,0256
024,00174465,00174465,010,00415078,001024,002,000,0256
025,00174114,00174114,010,00414895,001024,002,000,0256
026,00174028,00174028,010,00413483,001024,002,000,0256
027,00174121,00174121,010,00413600,001024,002,000,0256
028,00174127,00174127,010,00415067,001024,002,000,0256
029,00174230,00174230,010,00414686,001024,002,000,0256
030,00174155,00174155,010,00414035,001024,002,000,0256
031,00173521,00173521,010,00411827,001024,002,000,0256
000,00173838,00173838,010,00415591,001024,003,000,0256
001,00174310,00174310,010,00415394,001024,003,000,0256
002,00174341,00174341,010,00416211,001024,003,000,0256
003,00174455,00174455,010,00417277,001024,003,000,0256
004,00174202,00174202,010,00415728,001024,003,000,0256
005,00174409,00174409,010,00415694,001024,003,000,0256
006,00173887,00173887,010,00414761,001024,003,000,0256
007,00174362,00174362,010,00416132,001024,003,000,0256
008,00173538,00173538,010,00416028,001024,003,000,0256
009,00173977,00173977,010,00415877,001024,003,000,0256
010,00173498,00173498,010,00414748,001024,003,000,0256
011,00174058,00174058,010,00415788,001024,003,000,0256
012,00173297,00173297,010,00413773,001024,003,000,0256
013,00173889,00173889,010,00414951,001024,003,000,0256
014,00173410,00173410,010,00415000,001024,003,000,0256
015,00173928,00173928,010,00415526,001024,003,000,0256
016,00173358,00173358,010,00413601,001024,003,000,0256
017,00173588,00173588,010,00414138,001024,003,000,0256
018,00173545,00173545,010,00413602,001024,003,000,0256
019,00173149,00173149,010,00413103,001024,003,000,0256
020,00173685,00173685,010,00414821,001024,003,000,0256
021,00173862,00173862,010,00414887,001024,003,000,0256
022,00173276,00173276,010,00413276,001024,003,000,0256
023,00173538,00173538,010,00413987,001024,003,000,0256
024,00173472,00173472,010,00413903,001024,003,000,0256
025,00172785,00172785,010,00413266,001024,003,000,0256
026,00173765,00173765,010,00415665,001024,003,000,0256
027,00173322,00173322,010,00414244,001024,003,000,0256
028,00173207,00173207,010,00414050,001024,003,000,0256
029,00173373,00173373,010,00412730,001024,003,000,0256
030,00173289,00173289,010,00413739,001024,003,000,0256
031,00173241,00173241,010,00412227,001024,003,000,0256
000,00072000,00072000,010,00207949,001024,004,000,0256
001,00073200,00073200,010,00212168,001024,004,000,0256
002,00068800,00068800,010,00198942,001024,004,000,0256
003,00075500,00075500,010,00218143,001024,004,000,0256
004,00074100,00074100,010,00214700,001024,004,000,0256
005,00075005,00075005,010,00217070,001024,004,000,0256
006,00073000,00073000,010,00210137,001024,004,000,0256
007,00071800,00071800,010,00208004,001024,004,000,0256
008,00068826,00068826,010,00198257,001024,004,000,0256
009,00073100,00073100,010,00211053,001024,004,000,0256
010,00074186,00074186,010,00214127,001024,004,000,0256
011,00074000,00074000,010,00213338,001024,004,000,0256
012,00073964,00073964,010,00213504,001024,004,000,0256
013,00073395,00073395,010,00212559,001024,004,000,0256
014,00073592,00073592,010,00213536,001024,004,000,0256
015,00073700,00073700,010,00212298,001024,004,000,0256
016,00073900,00073900,010,00214086,001024,004,000,0256
017,00074950,00074950,010,00217159,001024,004,000,0256
018,00075200,00075200,010,00218025,001024,004,000,0256
019,00074301,00074301,010,00214258,001024,004,000,0256
020,00074200,00074200,010,00214106,001024,004,000,0256
021,00074746,00074746,010,00216037,001024,004,000,0256
022,00072900,00072900,010,00209648,001024,004,000,0256
023,00072272,00072272,010,00208893,001024,004,000,0256
024,00076500,00076500,010,00221717,001024,004,000,0256
025,00075500,00075500,010,00217600,001024,004,000,0256
026,00073700,00073700,010,00212203,001024,004,000,0256
027,00074300,00074300,010,00215125,001024,004,000,0256
028,00068900,00068900,010,00198741,001024,004,000,0256
029,00075400,00075400,010,00217465,001024,004,000,0256
030,00075500,00075500,010,00218186,001024,004,000,0256
031,00068700,00068700,010,00197065,001024,004,000,0256
000,00104405,00104405,010,00259985,001024,001,001,0256
001,00105001,00105001,010,00261958,001024,001,001,0256
002,00103806,00103806,010,00258672,001024,001,001,0256
003,00103977,00103977,010,00258883,001024,001,001,0256
004,00103593,00103593,010,00258064,001024,001,001,0256
005,00103148,00103148,010,00256208,001024,001,001,0256
006,00102422,00102422,010,00255011,001024,001,001,0256
007,00102742,00102742,010,00255910,001024,001,001,0256
008,00103129,00103129,010,00256008,001024,001,001,0256
009,00101821,00101821,010,00253147,001024,001,001,0256
010,00102246,00102246,010,00254102,001024,001,001,0256
011,00101713,00101713,010,00252359,001024,001,001,0256
012,00100881,00100881,010,00250130,001024,001,001,0256
013,00101604,00101604,010,00252388,001024,001,001,0256
014,00100719,00100719,010,00250175,001024,001,001,0256
015,00101341,00101341,010,00252007,001024,001,001,0256
016,00100600,00100600,010,00250469,001024,001,001,0256
017,00100394,00100394,010,00249453,001024,001,001,0256
018,00100500,00100500,010,00249779,001024,001,001,0256
019,00100470,00100470,010,00249295,001024,001,001,0256
020,00101102,00101102,010,00250839,001024,001,001,0256
021,00098610,00098610,010,00244894,001024,001,001,0256
022,00101285,00101285,010,00251476,001024,001,001,0256
023,00100577,00100577,010,00249486,001024,001,001,0256
024,00101865,00101865,010,00253648,001024,001,001,0256
025,00103737,00103737,010,00257921,001024,001,001,0256
026,00103505,00103505,010,00257412,001024,001,001,0256
027,00102386,00102386,010,00254636,001024,001,001,0256
028,00102841,00102841,010,00256390,001024,001,001,0256
029,00102320,00102320,010,00254798,001024,001,001,0256
030,00102128,00102128,010,00253891,001024,001,001,0256
031,00099375,00099375,010,00247178,001024,001,001,0256
000,00097200,00097200,010,00243073,001024,002,001,0256
001,00095696,00095696,010,00239352,001024,002,001,0256
002,00096794,00096794,010,00241743,001024,002,001,0256
003,00096087,00096087,010,00239864,001024,002,001,0256
004,00095999,00095999,010,00239351,001024,002,001,0256
005,00094500,00094500,010,00236068,001024,002,001,0256
006,00095600,00095600,010,00238139,001024,002,001,0256
007,00094527,00094527,010,00236126,001024,002,001,0256
008,00094757,00094757,010,00235629,001024,002,001,0256
009,00095153,00095153,010,00237291,001024,002,001,0256
010,00094802,00094802,010,00236042,001024,002,001,0256
011,00094383,00094383,010,00234883,001024,002,001,0256
012,00094333,00094333,010,00234881,001024,002,001,0256
013,00094200,00094200,010,00234740,001024,002,001,0256
