tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00008181,00008181,010,00078228,00001555,001024,001,000,0512
001,00006649,00006649,010,00053443,00001263,001024,001,000,0512
002,00008925,00008925,010,00084823,00001682,001024,001,000,0512
003,00007132,00007132,010,00063709,00001369,001024,001,000,0512
004,00007788,00007788,010,00064285,00001448,001024,001,000,0512
005,00007483,00007483,010,00071978,00001450,001024,001,000,0512
006,00006068,00006068,010,00052771,00001143,001024,001,000,0512
007,00005934,00005934,010,00055275,00001119,001024,001,000,0512
008,00006802,00006802,010,00060119,00001287,001024,001,000,0512
009,00005742,00005742,010,00046916,00001071,001024,001,000,0512
010,00005516,00005516,010,00049399,00001087,001024,001,000,0512
011,00004647,00004647,010,00036139,00000884,001024,001,000,0512
012,00005404,00005404,010,00045637,00001016,001024,001,000,0512
013,00006788,00006788,010,00057029,00001277,001024,001,000,0512
014,00005076,00005076,010,00043922,00000950,001024,001,000,0512
015,00004839,00004839,010,00035453,00000912,001024,001,000,0512
016,00006640,00006640,010,00048294,00001208,001024,001,000,0512
017,00006841,00006841,010,00050794,00001283,001024,001,000,0512
018,00006258,00006258,010,00048181,00001159,001024,001,000,0512
019,00006345,00006345,010,00049002,00001201,001024,001,000,0512
020,00006334,00006334,010,00052015,00001184,001024,001,000,0512
021,00007582,00007582,010,00063433,00001420,001024,001,000,0512
022,00008052,00008052,010,00071541,00001482,001024,001,000,0512
023,00008719,00008719,010,00086986,00001637,001024,001,000,0512
024,00006529,00006529,010,00057016,00001208,001024,001,000,0512
025,00006084,00006084,010,00055423,00001162,001024,001,000,0512
026,00006862,00006862,010,00056563,00001369,001024,001,000,0512
027,00004918,00004918,010,00041318,00000943,001024,001,000,0512
028,00005187,00005187,010,00033575,00000961,001024,001,000,0512
029,00005501,00005501,010,00040081,00001039,001024,001,000,0512
030,00007210,00007210,010,00061322,00001405,001024,001,000,0512
031,00007195,00007195,010,00053488,00001316,001024,001,000,0512
000,00008448,00008448,010,00062350,00001628,001024,002,000,0512
001,00008860,00008860,010,00054467,00001653,001024,002,000,0512
002,00006325,00006325,010,00045407,00001140,001024,002,000,0512
003,00008074,00008074,010,00058017,00001526,001024,002,000,0512
004,00006540,00006540,010,00055961,00001174,001024,002,000,0512
005,00006223,00006223,010,00041782,00001172,001024,002,000,0512
006,00005984,00005984,010,00041259,00001151,001024,002,000,0512
007,00005700,00005700,010,00036253,00001040,001024,002,000,0512
008,00007266,00007266,010,00063524,00001351,001024,002,000,0512
009,00007001,00007001,010,00047952,00001334,001024,002,000,0512
010,00008038,00008038,010,00063542,00001492,001024,002,000,0512
011,00007921,00007921,010,00048668,00001455,001024,002,000,0512
012,00009373,00009373,010,00070945,00001733,001024,002,000,0512
013,00007216,00007216,010,00052635,00001364,001024,002,000,0512
014,00008039,00008039,010,00052319,00001551,001024,002,000,0512
015,00007898,00007898,010,00049637,00001504,001024,002,000,0512
016,00007083,00007083,010,00043411,00001390,001024,002,000,0512
017,00006078,00006078,010,00046972,00001123,001024,002,000,0512
018,00006946,00006946,010,00045650,00001324,001024,002,000,0512
019,00008800,00008800,010,00065327,00001652,001024,002,000,0512
020,00007326,00007326,010,00056189,00001405,001024,002,000,0512
021,00010681,00010681,010,00084864,00002012,001024,002,000,0512
022,00006512,00006512,010,00043072,00001259,001024,002,000,0512
023,00008047,00008047,010,00057661,00001509,001024,002,000,0512
024,00007054,00007054,010,00051625,00001309,001024,002,000,0512
025,00007397,00007397,010,00057258,00001409,001024,002,000,0512
026,00009875,00009875,010,00096124,00001883,001024,002,000,0512
027,00008181,00008181,010,00069241,00001568,001024,002,000,0512
028,00005994,00005994,010,00040553,00001100,001024,002,000,0512
029,00007734,00007734,010,00056538,00001492,001024,002,000,0512
030,00006779,00006779,010,00051451,00001330,001024,002,000,0512
031,00007287,00007287,010,00051403,00001321,001024,002,000,0512
000,00005935,00005935,010,00073092,00001093,001024,003,000,0512
001,00004844,00004844,010,00047158,00000943,001024,003,000,0512
002,00005011,00005011,010,00057530,00000885,001024,003,000,0512
003,00004340,00004340,010,00050166,00000818,001024,003,000,0512
004,00005822,00005822,010,00062634,00001108,001024,003,000,0512
005,00003887,00003887,010,00040148,00000747,001024,003,000,0512
006,00004966,00004966,010,00064597,00000895,001024,003,000,0512
007,00006353,00006353,010,00077071,00001173,001024,003,000,0512
008,00004319,00004319,010,00045657,00000792,001024,003,000,0512
009,00005284,00005284,010,00059580,00000979,001024,003,000,0512
010,00005800,00005800,010,00063028,00001095,001024,003,000,0512
011,00003706,00003706,010,00041424,00000667,001024,003,000,0512
012,00005108,00005108,010,00061639,00000989,001024,003,000,0512
013,00004813,00004813,010,00056537,00000886,001024,003,000,0512
014,00004399,00004399,010,00046428,00000840,001024,003,000,0512
015,00004566,00004566,010,00046665,00000805,001024,003,000,0512
016,00004107,00004107,010,00052905,00000782,001024,003,000,0512
017,00004829,00004829,010,00049681,00000940,001024,003,000,0512
018,00004054,00004054,010,00047636,00000800,001024,003,000,0512
019,00005764,00005764,010,00074084,00001064,001024,003,000,0512
020,00004981,00004981,010,00058043,00000958,001024,003,000,0512
021,00005051,00005051,010,00053257,00000930,001024,003,000,0512
022,00006121,00006121,010,00070322,00001151,001024,003,000,0512
