tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00074461,00074461,010,00114192,00017365,001024,001,000,0512
001,00074832,00074832,010,00114010,00017827,001024,001,000,0512
002,00075090,00075090,010,00114940,00017620,001024,001,000,0512
003,00074574,00074574,010,00113840,00017654,001024,001,000,0512
004,00074100,00074100,010,00113044,00017578,001024,001,000,0512
005,00073969,00073969,010,00112592,00017673,001024,001,000,0512
006,00073548,00073548,010,00112410,00017343,001024,001,000,0512
007,00074114,00074114,010,00113412,00017408,001024,001,000,0512
008,00073739,00073739,010,00112686,00017396,001024,001,000,0512
009,00075599,00075599,010,00115916,00017641,001024,001,000,0512
010,00073075,00073075,010,00111644,00017253,001024,001,000,0512
011,00074572,00074572,010,00113826,00017659,001024,001,000,0512
012,00073763,00073763,010,00112698,00017414,001024,001,000,0512
013,00073879,00073879,010,00113016,00017371,001024,001,000,0512
014,00074706,00074706,010,00113932,00017740,001024,001,000,0512
015,00074687,00074687,010,00114400,00017487,001024,001,000,0512
016,00074490,00074490,010,00114196,00017392,001024,001,000,0512
017,00074639,00074639,010,00114216,00017531,001024,001,000,0512
018,00073808,00073808,010,00112750,00017433,001024,001,000,0512
019,00075643,00075643,010,00115638,00017824,001024,001,000,0512
020,00074804,00074804,010,00114500,00017554,001024,001,000,0512
021,00075135,00075135,010,00114974,00017648,001024,001,000,0512
022,00074285,00074285,010,00113622,00017474,001024,001,000,0512
023,00074679,00074679,010,00113984,00017687,001024,001,000,0512
024,00074496,00074496,010,00113728,00017632,001024,001,000,0512
025,00075824,00075824,010,00116048,00017800,001024,001,000,0512
026,00074327,00074327,010,00113570,00017542,001024,001,000,0512
027,00074988,00074988,010,00114740,00017618,001024,001,000,0512
028,00074933,00074933,010,00114998,00017434,001024,001,000,0512
029,00074317,00074317,010,00113366,00017634,001024,001,000,0512
030,00075340,00075340,010,00115288,00017696,001024,001,000,0512
031,00074838,00074838,010,00114484,00017596,001024,001,000,0512
000,00076631,00076631,010,00117370,00017946,001024,001,001,0512
001,00074952,00074952,010,00114208,00017848,001024,001,001,0512
002,00076157,00076157,010,00116102,00018106,001024,001,001,0512
003,00076775,00076775,010,00117202,00018174,001024,001,001,0512
004,00073683,00073683,010,00112304,00017531,001024,001,001,0512
005,00074821,00074821,010,00114196,00017723,001024,001,001,0512
006,00075180,00075180,010,00114864,00017748,001024,001,001,0512
007,00074385,00074385,010,00113582,00017594,001024,001,001,0512
008,00074695,00074695,010,00113812,00017789,001024,001,001,0512
009,00075824,00075824,010,00116242,00017703,001024,001,001,0512
010,00074485,00074485,010,00113712,00017629,001024,001,001,0512
011,00074769,00074769,010,00114016,00017761,001024,001,001,0512
012,00076089,00076089,010,00116358,00017910,001024,001,001,0512
013,00073985,00073985,010,00112862,00017554,001024,001,001,0512
014,00075142,00075142,010,00114640,00017822,001024,001,001,0512
015,00074435,00074435,010,00113484,00017693,001024,001,001,0512
016,00075608,00075608,010,00115674,00017771,001024,001,001,0512
017,00075515,00075515,010,00115456,00017787,001024,001,001,0512
018,00074008,00074008,010,00113104,00017456,001024,001,001,0512
019,00076028,00076028,010,00116218,00017919,001024,001,001,0512
020,00075590,00075590,010,00115924,00017628,001024,001,001,0512
021,00075591,00075591,010,00115648,00017767,001024,001,001,0512
022,00074461,00074461,010,00113738,00017592,001024,001,001,0512
023,00074824,00074824,010,00114350,00017649,001024,001,001,0512
024,00073650,00073650,010,00112514,00017393,001024,001,001,0512
025,00074553,00074553,010,00114110,00017498,001024,001,001,0512
026,00074853,00074853,010,00114266,00017720,001024,001,001,0512
027,00076212,00076212,010,00116252,00018086,001024,001,001,0512
028,00074490,00074490,010,00113824,00017578,001024,001,001,0512
029,00074623,00074623,010,00113706,00017770,001024,001,001,0512
030,00075107,00075107,010,00114650,00017782,001024,001,001,0512
031,00074574,00074574,010,00113896,00017626,001024,001,001,0512
000,00073826,00073826,010,00113384,00017134,001024,001,002,0512
001,00072918,00072918,010,00111676,00017080,001024,001,002,0512
002,00073108,00073108,010,00112148,00017034,001024,001,002,0512
003,00073438,00073438,010,00112262,00017307,001024,001,002,0512
004,00072270,00072270,010,00110338,00017101,001024,001,002,0512
005,00070365,00070365,010,00107538,00016596,001024,001,002,0512
006,00072481,00072481,010,00111064,00016949,001024,001,002,0512
007,00073018,00073018,010,00112098,00016969,001024,001,002,0512
008,00071499,00071499,010,00109392,00016803,001024,001,002,0512
009,00073327,00073327,010,00112676,00016989,001024,001,002,0512
010,00071126,00071126,010,00108878,00016687,001024,001,002,0512
011,00071655,00071655,010,00109762,00016774,001024,001,002,0512
012,00072874,00072874,010,00111976,00016886,001024,001,002,0512
013,00071912,00071912,010,00110012,00016906,001024,001,002,0512
014,00071834,00071834,010,00109660,00017004,001024,001,002,0512
015,00070968,00070968,010,00108488,00016724,001024,001,002,0512
016,00072450,00072450,010,00111260,00016820,001024,001,002,0512
017,00070470,00070470,010,00107846,00016547,001024,001,002,0512
018,00071417,00071417,010,00109320,00016757,001024,001,002,0512
019,00072170,00072170,010,00110796,00016772,001024,001,002,0512
020,00072501,00072501,010,00111208,00016897,001024,001,002,0512
021,00072417,00072417,010,00110876,00016979,001024,001,002,0512
022,00072006,00072006,010,00110364,00016824,001024,001,002,0512
023,00072292,00072292,010,00110458,00017063,001024,001,002,0512
024,00071729,00071729,010,00109720,00016869,001024,001,002,0512
025,00071394,00071394,010,00109248,00016770,001024,001,002,0512
026,00071057,00071057,010,00108694,00016710,001024,001,002,0512
027,00071036,00071036,010,00108974,00016549,001024,001,002,0512
028,00071912,00071912,010,00110320,00016752,001024,001,002,0512
029,00071374,00071374,010,00109192,00016778,001024,001,002,0512
030,00073090,00073090,010,00111858,00017161,001024,001,002,0512
031,00071625,00071625,010,00109922,00016664,001024,001,002,0512
