tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00179437,00179437,010,00406056,001024,001,000,0256
001,00179422,00179422,010,00405689,001024,001,000,0256
002,00179512,00179512,010,00405180,001024,001,000,0256
003,00179385,00179385,010,00405406,001024,001,000,0256
004,00179317,00179317,010,00405273,001024,001,000,0256
005,00178197,00178197,010,00402887,001024,001,000,0256
006,00179115,00179115,010,00405394,001024,001,000,0256
007,00178592,00178592,010,00404226,001024,001,000,0256
008,00178623,00178623,010,00404534,001024,001,000,0256
009,00178569,00178569,010,00403603,001024,001,000,0256
010,00178668,00178668,010,00404272,001024,001,000,0256
011,00179270,00179270,010,00406196,001024,001,000,0256
012,00178741,00178741,010,00404275,001024,001,000,0256
013,00179360,00179360,010,00404997,001024,001,000,0256
014,00178675,00178675,010,00403338,001024,001,000,0256
015,00178441,00178441,010,00403653,001024,001,000,0256
016,00178441,00178441,010,00403322,001024,001,000,0256
017,00178703,00178703,010,00403697,001024,001,000,0256
018,00178667,00178667,010,00403169,001024,001,000,0256
019,00178480,00178480,010,00403478,001024,001,000,0256
020,00178823,00178823,010,00404182,001024,001,000,0256
021,00179317,00179317,010,00405669,001024,001,000,0256
022,00178610,00178610,010,00403783,001024,001,000,0256
023,00178607,00178607,010,00403310,001024,001,000,0256
024,00178484,00178484,010,00404037,001024,001,000,0256
025,00178206,00178206,010,00402583,001024,001,000,0256
026,00178785,00178785,010,00403816,001024,001,000,0256
027,00178340,00178340,010,00403040,001024,001,000,0256
028,00178594,00178594,010,00403383,001024,001,000,0256
029,00178176,00178176,010,00403036,001024,001,000,0256
030,00178381,00178381,010,00403995,001024,001,000,0256
031,00178111,00178111,010,00402984,001024,001,000,0256
000,00181534,00181534,010,00405209,001024,002,000,0256
001,00181358,00181358,010,00405065,001024,002,000,0256
002,00181286,00181286,010,00405014,001024,002,000,0256
003,00181034,00181034,010,00404422,001024,002,000,0256
004,00181595,00181595,010,00404989,001024,002,000,0256
005,00181232,00181232,010,00404160,001024,002,000,0256
006,00181006,00181006,010,00404246,001024,002,000,0256
007,00180772,00180772,010,00403851,001024,002,000,0256
008,00180941,00180941,010,00404780,001024,002,000,0256
009,00181517,00181517,010,00404915,001024,002,000,0256
010,00181136,00181136,010,00405324,001024,002,000,0256
011,00180939,00180939,010,00403983,001024,002,000,0256
012,00180996,00180996,010,00404437,001024,002,000,0256
013,00180568,00180568,010,00404355,001024,002,000,0256
014,00181117,00181117,010,00405076,001024,002,000,0256
015,00180561,00180561,010,00403385,001024,002,000,0256
016,00181017,00181017,010,00404482,001024,002,000,0256
017,00180565,00180565,010,00403048,001024,002,000,0256
018,00180952,00180952,010,00404126,001024,002,000,0256
019,00181167,00181167,010,00404795,001024,002,000,0256
020,00181157,00181157,010,00404144,001024,002,000,0256
021,00180074,00180074,010,00402285,001024,002,000,0256
022,00180559,00180559,010,00402878,001024,002,000,0256
023,00180421,00180421,010,00402234,001024,002,000,0256
024,00180611,00180611,010,00403889,001024,002,000,0256
