tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00027493,00027493,010,00091200,00005877,001024,001,000,0512
001,00027055,00027055,010,00096664,00005765,001024,001,000,0512
002,00027489,00027489,010,00093434,00005872,001024,001,000,0512
003,00027224,00027224,010,00091975,00005847,001024,001,000,0512
004,00027381,00027381,010,00093945,00005904,001024,001,000,0512
005,00026995,00026995,010,00090798,00005883,001024,001,000,0512
006,00026679,00026679,010,00088158,00005863,001024,001,000,0512
007,00027446,00027446,010,00097336,00005809,001024,001,000,0512
008,00027372,00027372,010,00096463,00005842,001024,001,000,0512
009,00027414,00027414,010,00101905,00005769,001024,001,000,0512
010,00027369,00027369,010,00091597,00005864,001024,001,000,0512
011,00027263,00027263,010,00094934,00005847,001024,001,000,0512
012,00027548,00027548,010,00092292,00005834,001024,001,000,0512
013,00027371,00027371,010,00094542,00005825,001024,001,000,0512
014,00027349,00027349,010,00095280,00005850,001024,001,000,0512
015,00027375,00027375,010,00094810,00005871,001024,001,000,0512
016,00027950,00027950,010,00097458,00005806,001024,001,000,0512
017,00027578,00027578,010,00095495,00005837,001024,001,000,0512
018,00027731,00027731,010,00087251,00005946,001024,001,000,0512
019,00027785,00027785,010,00090766,00005919,001024,001,000,0512
020,00027994,00027994,010,00098406,00005839,001024,001,000,0512
021,00027204,00027204,010,00090566,00005882,001024,001,000,0512
022,00027176,00027176,010,00090784,00005817,001024,001,000,0512
023,00027808,00027808,010,00092810,00005831,001024,001,000,0512
024,00027229,00027229,010,00090682,00005850,001024,001,000,0512
025,00027441,00027441,010,00086422,00005890,001024,001,000,0512
026,00027231,00027231,010,00096109,00005739,001024,001,000,0512
027,00027561,00027561,010,00086107,00005959,001024,001,000,0512
028,00027793,00027793,010,00092043,00005873,001024,001,000,0512
029,00027342,00027342,010,00095190,00005752,001024,001,000,0512
030,00027274,00027274,010,00092247,00005816,001024,001,000,0512
031,00027351,00027351,010,00090646,00005835,001024,001,000,0512
000,00028388,00028388,010,00094901,00006009,001024,002,000,0512
001,00028836,00028836,010,00096709,00006040,001024,002,000,0512
002,00028848,00028848,010,00095939,00006064,001024,002,000,0512
003,00029040,00029040,010,00093358,00006138,001024,002,000,0512
004,00028785,00028785,010,00092335,00006078,001024,002,000,0512
005,00028734,00028734,010,00096371,00006092,001024,002,000,0512
006,00028891,00028891,010,00091494,00006073,001024,002,000,0512
007,00028591,00028591,010,00096696,00006028,001024,002,000,0512
008,00028600,00028600,010,00090577,00006134,001024,002,000,0512
009,00028357,00028357,010,00088279,00006144,001024,002,000,0512
010,00028460,00028460,010,00089493,00006129,001024,002,000,0512
011,00028822,00028822,010,00097944,00006072,001024,002,000,0512
012,00028842,00028842,010,00092028,00006088,001024,002,000,0512
013,00028473,00028473,010,00100956,00005982,001024,002,000,0512
014,00028797,00028797,010,00095644,00006116,001024,002,000,0512
015,00028720,00028720,010,00095862,00006041,001024,002,000,0512
016,00028260,00028260,010,00089525,00006097,001024,002,000,0512
017,00028798,00028798,010,00091806,00006085,001024,002,000,0512
018,00028491,00028491,010,00092990,00006060,001024,002,000,0512
019,00028467,00028467,010,00096240,00005998,001024,002,000,0512
020,00028562,00028562,010,00092068,00006152,001024,002,000,0512
021,00028517,00028517,010,00095266,00006036,001024,002,000,0512
022,00028418,00028418,010,00095296,00006059,001024,002,000,0512
023,00028609,00028609,010,00095683,00006063,001024,002,000,0512
024,00028900,00028900,010,00093778,00006065,001024,002,000,0512
025,00028622,00028622,010,00090891,00006132,001024,002,000,0512
026,00028698,00028698,010,00100212,00005995,001024,002,000,0512
027,00028498,00028498,010,00094414,00006032,001024,002,000,0512
028,00028234,00028234,010,00091803,00006055,001024,002,000,0512
029,00028528,00028528,010,00099174,00005976,001024,002,000,0512
030,00028213,00028213,010,00091135,00006123,001024,002,000,0512
031,00028711,00028711,010,00097508,00006099,001024,002,000,0512
000,00028618,00028618,010,00091018,00006138,001024,003,000,0512
001,00028756,00028756,010,00093640,00006107,001024,003,000,0512
002,00028560,00028560,010,00093002,00006149,001024,003,000,0512
003,00028693,00028693,010,00090327,00006107,001024,003,000,0512
004,00028704,00028704,010,00088245,00006144,001024,003,000,0512
005,00028704,00028704,010,00093151,00006079,001024,003,000,0512
006,00028892,00028892,010,00093036,00006116,001024,003,000,0512
007,00028714,00028714,010,00095305,00006081,001024,003,000,0512
008,00029047,00029047,010,00093167,00006084,001024,003,000,0512
009,00029023,00029023,010,00097960,00006090,001024,003,000,0512
010,00028622,00028622,010,00092089,00006200,001024,003,000,0512
011,00028925,00028925,010,00091824,00006158,001024,003,000,0512
012,00028255,00028255,010,00094710,00006043,001024,003,000,0512
013,00028842,00028842,010,00092613,00006144,001024,003,000,0512
014,00028343,00028343,010,00093660,00006124,001024,003,000,0512
015,00028618,00028618,010,00093547,00006083,001024,003,000,0512
016,00028364,00028364,010,00092491,00006089,001024,003,000,0512
017,00028489,00028489,010,00091023,00006063,001024,003,000,0512
018,00028660,00028660,010,00093288,00006091,001024,003,000,0512
019,00028703,00028703,010,00090862,00006152,001024,003,000,0512
020,00028521,00028521,010,00094329,00006064,001024,003,000,0512
021,00029170,00029170,010,00097748,00006083,001024,003,000,0512
022,00028785,00028785,010,00095630,00006029,001024,003,000,0512
023,00029108,00029108,010,00096611,00006107,001024,003,000,0512
024,00028462,00028462,010,00092960,00006127,001024,003,000,0512
025,00028336,00028336,010,00087806,00006191,001024,003,000,0512
026,00028523,00028523,010,00094344,00006082,001024,003,000,0512
027,00028740,00028740,010,00091720,00006080,001024,003,000,0512
028,00028832,00028832,010,00092405,00006152,001024,003,000,0512
029,00028600,00028600,010,00095927,00006080,001024,003,000,0512
030,00028627,00028627,010,00091223,00006109,001024,003,000,0512
031,00029265,00029265,010,00096934,00006093,001024,003,000,0512
000,00026543,00026543,010,00088401,00005644,001024,004,000,0512
001,00025989,00025989,010,00093632,00005542,001024,004,000,0512
002,00026490,00026490,010,00089274,00005614,001024,004,000,0512
003,00026684,00026684,010,00087539,00005691,001024,004,000,0512
004,00026020,00026020,010,00098722,00005512,001024,004,000,0512
005,00026536,00026536,010,00095174,00005579,001024,004,000,0512
006,00026393,00026393,010,00097959,00005489,001024,004,000,0512
007,00026637,00026637,010,00089703,00005668,001024,004,000,0512
008,00026618,00026618,010,00090714,00005623,001024,004,000,0512
009,00026413,00026413,010,00097963,00005592,001024,004,000,0512
010,00026226,00026226,010,00095771,00005563,001024,004,000,0512
011,00026906,00026906,010,00084415,00005736,001024,004,000,0512
012,00026135,00026135,010,00092471,00005574,001024,004,000,0512
013,00026448,00026448,010,00089476,00005651,001024,004,000,0512
014,00026560,00026560,010,00090715,00005628,001024,004,000,0512
015,00026653,00026653,010,00093294,00005577,001024,004,000,0512
016,00026761,00026761,010,00088152,00005664,001024,004,000,0512
017,00026357,00026357,010,00092519,00005632,001024,004,000,0512
018,00025877,00025877,010,00091978,00005607,001024,004,000,0512
019,00026603,00026603,010,00090707,00005636,001024,004,000,0512
020,00026556,00026556,010,00089980,00005644,001024,004,000,0512
021,00026144,00026144,010,00091948,00005563,001024,004,000,0512
022,00026804,00026804,010,00092899,00005643,001024,004,000,0512
023,00026218,00026218,010,00092283,00005530,001024,004,000,0512
024,00026276,00026276,010,00086598,00005626,001024,004,000,0512
025,00026369,00026369,010,00091286,00005578,001024,004,000,0512
026,00026723,00026723,010,00094345,00005597,001024,004,000,0512
027,00025977,00025977,010,00092708,00005490,001024,004,000,0512
028,00025981,00025981,010,00091507,00005606,001024,004,000,0512
029,00026425,00026425,010,00092389,00005595,001024,004,000,0512
030,00026823,00026823,010,00091966,00005671,001024,004,000,0512
031,00026475,00026475,010,00091363,00005600,001024,004,000,0512
000,00027533,00027533,010,00091497,00005861,001024,001,001,0512
001,00027135,00027135,010,00095265,00005827,001024,001,001,0512
002,00027538,00027538,010,00096955,00005790,001024,001,001,0512
003,00027292,00027292,010,00097269,00005784,001024,001,001,0512
004,00027557,00027557,010,00092196,00005844,001024,001,001,0512
005,00027014,00027014,010,00092040,00005809,001024,001,001,0512
006,00026765,00026765,010,00093590,00005831,001024,001,001,0512
007,00027451,00027451,010,00092575,00005807,001024,001,001,0512
008,00027380,00027380,010,00096512,00005781,001024,001,001,0512
009,00027582,00027582,010,00094022,00005887,001024,001,001,0512
010,00027485,00027485,010,00093272,00005810,001024,001,001,0512
011,00027278,00027278,010,00090571,00005906,001024,001,001,0512
012,00027548,00027548,010,00096500,00005802,001024,001,001,0512
013,00027474,00027474,010,00089100,00005927,001024,001,001,0512
014,00027357,00027357,010,00088317,00005898,001024,001,001,0512
015,00027404,00027404,010,00091993,00005826,001024,001,001,0512
016,00028093,00028093,010,00093147,00005890,001024,001,001,0512
017,00027604,00027604,010,00095619,00005838,001024,001,001,0512
018,00027801,00027801,010,00092092,00005882,001024,001,001,0512
019,00027837,00027837,010,00090139,00005940,001024,001,001,0512
020,00028019,00028019,010,00095421,00005830,001024,001,001,0512
021,00027263,00027263,010,00097356,00005759,001024,001,001,0512
022,00027284,00027284,010,00089568,00005876,001024,001,001,0512
023,00027921,00027921,010,00088977,00005995,001024,001,001,0512
024,00027237,00027237,010,00089971,00005861,001024,001,001,0512
025,00027508,00027508,010,00094027,00005817,001024,001,001,0512
026,00027234,00027234,010,00096924,00005756,001024,001,001,0512
027,00027541,00027541,010,00091119,00005916,001024,001,001,0512
028,00027918,00027918,010,00092232,00005880,001024,001,001,0512
029,00027431,00027431,010,00095603,00005783,001024,001,001,0512
030,00027241,00027241,010,00094892,00005791,001024,001,001,0512
031,00027385,00027385,010,00091521,00005792,001024,001,001,0512
000,00028498,00028498,010,00090413,00006178,001024,002,001,0512
001,00028898,00028898,010,00090148,00006165,001024,002,001,0512
002,00028854,00028854,010,00095143,00006073,001024,002,001,0512
003,00028958,00028958,010,00095521,00006070,001024,002,001,0512
004,00028916,00028916,010,00095774,00006056,001024,002,001,0512
005,00028898,00028898,010,00091660,00006100,001024,002,001,0512
006,00028871,00028871,010,00096382,00006058,001024,002,001,0512
007,00028685,00028685,010,00099227,00006054,001024,002,001,0512
008,00028668,00028668,010,00092086,00006076,001024,002,001,0512
009,00028348,00028348,010,00093628,00006036,001024,002,001,0512
010,00028453,00028453,010,00093771,00006069,001024,002,001,0512
011,00028870,00028870,010,00090509,00006198,001024,002,001,0512
012,00028842,00028842,010,00093362,00006100,001024,002,001,0512
013,00028704,00028704,010,00090256,00006117,001024,002,001,0512
014,00028772,00028772,010,00098483,00006046,001024,002,001,0512
015,00028777,00028777,010,00099225,00005992,001024,002,001,0512
016,00028252,00028252,010,00095271,00005987,001024,002,001,0512
017,00028937,00028937,010,00092956,00006101,001024,002,001,0512
018,00028580,00028580,010,00097671,00005999,001024,002,001,0512
019,00028560,00028560,010,00093543,00006043,001024,002,001,0512
020,00028596,00028596,010,00096189,00005984,001024,002,001,0512
021,00028633,00028633,010,00097434,00006107,001024,002,001,0512
022,00028474,00028474,010,00093727,00006105,001024,002,001,0512
023,00028609,00028609,010,00096832,00006088,001024,002,001,0512
024,00028983,00028983,010,00098222,00006104,001024,002,001,0512
025,00028714,00028714,010,00089304,00006176,001024,002,001,0512
026,00028752,00028752,010,00095554,00006119,001024,002,001,0512
027,00028596,00028596,010,00090686,00006150,001024,002,001,0512
028,00028303,00028303,010,00094860,00006135,001024,002,001,0512
029,00028598,00028598,010,00091815,00006066,001024,002,001,0512
030,00028355,00028355,010,00094906,00006067,001024,002,001,0512
031,00028686,00028686,010,00092935,00006110,001024,002,001,0512
000,00028900,00028900,010,00089272,00006221,001024,003,001,0512
001,00028890,00028890,010,00095116,00006119,001024,003,001,0512
002,00028781,00028781,010,00091552,00006180,001024,003,001,0512
003,00028899,00028899,010,00092159,00006105,001024,003,001,0512
004,00028983,00028983,010,00093020,00006211,001024,003,001,0512
005,00028893,00028893,010,00097449,00006047,001024,003,001,0512
006,00029277,00029277,010,00093727,00006158,001024,003,001,0512
007,00029024,00029024,010,00092721,00006186,001024,003,001,0512
008,00029179,00029179,010,00093950,00006171,001024,003,001,0512
009,00029177,00029177,010,00099858,00006096,001024,003,001,0512
010,00028810,00028810,010,00097173,00006167,001024,003,001,0512
011,00029228,00029228,010,00092874,00006179,001024,003,001,0512
012,00028403,00028403,010,00091438,00006082,001024,003,001,0512
013,00029005,00029005,010,00094676,00006160,001024,003,001,0512
014,00028603,00028603,010,00090248,00006113,001024,003,001,0512
015,00028863,00028863,010,00092669,00006142,001024,003,001,0512
016,00028548,00028548,010,00095300,00006089,001024,003,001,0512
017,00028751,00028751,010,00090823,00006213,001024,003,001,0512
018,00028841,00028841,010,00095600,00006131,001024,003,001,0512
019,00028883,00028883,010,00090933,00006224,001024,003,001,0512
020,00028798,00028798,010,00096885,00006082,001024,003,001,0512
021,00029458,00029458,010,00088806,00006292,001024,003,001,0512
022,00029051,00029051,010,00095867,00006121,001024,003,001,0512
023,00029411,00029411,010,00091117,00006212,001024,003,001,0512
024,00028750,00028750,010,00096335,00006105,001024,003,001,0512
025,00028570,00028570,010,00095361,00006150,001024,003,001,0512
026,00028652,00028652,010,00099232,00006042,001024,003,001,0512
027,00029083,00029083,010,00089805,00006186,001024,003,001,0512
028,00029116,00029116,010,00093834,00006220,001024,003,001,0512
029,00028793,00028793,010,00093751,00006164,001024,003,001,0512
030,00028902,00028902,010,00090345,00006216,001024,003,001,0512
031,00029630,00029630,010,00089319,00006261,001024,003,001,0512
000,00026486,00026486,010,00098062,00005561,001024,004,001,0512
001,00025982,00025982,010,00090723,00005606,001024,004,001,0512
002,00026330,00026330,010,00088364,00005604,001024,004,001,0512
003,00026542,00026542,010,00088178,00005567,001024,004,001,0512
004,00025962,00025962,010,00099442,00005515,001024,004,001,0512
005,00026393,00026393,010,00086735,00005619,001024,004,001,0512
006,00026310,00026310,010,00097628,00005492,001024,004,001,0512
007,00026543,00026543,010,00090357,00005614,001024,004,001,0512
008,00026531,00026531,010,00100622,00005450,001024,004,001,0512
009,00026259,00026259,010,00092328,00005549,001024,004,001,0512
010,00026206,00026206,010,00091451,00005549,001024,004,001,0512
011,00026806,00026806,010,00096061,00005598,001024,004,001,0512
012,00026076,00026076,010,00093571,00005549,001024,004,001,0512
013,00026291,00026291,010,00085593,00005606,001024,004,001,0512
014,00026345,00026345,010,00088446,00005604,001024,004,001,0512
015,00026677,00026677,010,00095032,00005541,001024,004,001,0512
016,00026687,00026687,010,00091345,00005624,001024,004,001,0512
017,00026278,00026278,010,00093114,00005541,001024,004,001,0512
018,00025751,00025751,010,00094765,00005583,001024,004,001,0512
019,00026492,00026492,010,00092065,00005640,001024,004,001,0512
020,00026422,00026422,010,00092598,00005644,001024,004,001,0512
021,00026090,00026090,010,00092718,00005587,001024,004,001,0512
022,00026705,00026705,010,00093070,00005594,001024,004,001,0512
023,00026169,00026169,010,00092977,00005534,001024,004,001,0512
024,00026232,00026232,010,00089566,00005655,001024,004,001,0512
025,00026315,00026315,010,00090926,00005585,001024,004,001,0512
026,00026686,00026686,010,00085352,00005617,001024,004,001,0512
027,00025960,00025960,010,00090663,00005496,001024,004,001,0512
028,00025999,00025999,010,00087657,00005656,001024,004,001,0512
029,00026434,00026434,010,00090211,00005607,001024,004,001,0512
030,00026775,00026775,010,00090521,00005611,001024,004,001,0512
031,00026445,00026445,010,00088399,00005624,001024,004,001,0512
000,00027536,00027536,010,00094109,00005834,001024,001,002,0512
001,00027100,00027100,010,00097129,00005828,001024,001,002,0512
002,00027482,00027482,010,00087172,00005873,001024,001,002,0512
003,00027248,00027248,010,00094503,00005815,001024,001,002,0512
004,00027483,00027483,010,00091295,00005878,001024,001,002,0512
005,00027037,00027037,010,00088197,00005879,001024,001,002,0512
006,00026706,00026706,010,00091898,00005856,001024,001,002,0512
007,00027418,00027418,010,00086813,00005899,001024,001,002,0512
008,00027372,00027372,010,00095283,00005806,001024,001,002,0512
009,00027549,00027549,010,00096356,00005837,001024,001,002,0512
010,00027452,00027452,010,00093038,00005868,001024,001,002,0512
011,00027314,00027314,010,00090226,00005863,001024,001,002,0512
012,00027487,00027487,010,00096777,00005777,001024,001,002,0512
013,00027356,00027356,010,00095165,00005806,001024,001,002,0512
014,00027278,00027278,010,00097580,00005735,001024,001,002,0512
015,00027371,00027371,010,00092436,00005829,001024,001,002,0512
016,00027975,00027975,010,00092315,00005836,001024,001,002,0512
017,00027555,00027555,010,00091863,00005917,001024,001,002,0512
018,00027801,00027801,010,00089982,00005866,001024,001,002,0512
019,00027729,00027729,010,00097107,00005862,001024,001,002,0512
020,00028066,00028066,010,00095109,00005838,001024,001,002,0512
021,00027195,00027195,010,00101858,00005724,001024,001,002,0512
022,00027156,00027156,010,00095242,00005822,001024,001,002,0512
023,00027807,00027807,010,00098716,00005784,001024,001,002,0512
024,00027183,00027183,010,00092587,00005820,001024,001,002,0512
025,00027378,00027378,010,00089291,00005923,001024,001,002,0512
026,00027263,00027263,010,00089507,00005875,001024,001,002,0512
027,00027623,00027623,010,00090554,00005819,001024,001,002,0512
028,00027834,00027834,010,00092682,00005870,001024,001,002,0512
029,00027450,00027450,010,00089170,00005908,001024,001,002,0512
030,00027271,00027271,010,00094461,00005841,001024,001,002,0512
031,00027368,00027368,010,00091310,00005800,001024,001,002,0512
000,00028588,00028588,010,00093642,00006120,001024,002,002,0512
001,00028906,00028906,010,00098991,00006076,001024,002,002,0512
002,00028945,00028945,010,00095373,00006091,001024,002,002,0512
003,00029200,00029200,010,00096574,00006178,001024,002,002,0512
004,00029040,00029040,010,00091708,00006159,001024,002,002,0512
005,00028868,00028868,010,00098436,00006056,001024,002,002,0512
006,00028990,00028990,010,00093555,00006072,001024,002,002,0512
007,00028826,00028826,010,00094468,00006099,001024,002,002,0512
008,00028765,00028765,010,00088710,00006091,001024,002,002,0512
009,00028420,00028420,010,00095117,00006070,001024,002,002,0512
010,00028518,00028518,010,00094069,00006057,001024,002,002,0512
011,00029043,00029043,010,00088224,00006164,001024,002,002,0512
012,00028937,00028937,010,00098520,00006103,001024,002,002,0512
013,00028642,00028642,010,00095559,00006094,001024,002,002,0512
014,00028907,00028907,010,00088087,00006215,001024,002,002,0512
015,00028811,00028811,010,00098685,00006074,001024,002,002,0512
016,00028312,00028312,010,00091182,00006121,001024,002,002,0512
017,00029037,00029037,010,00094890,00006137,001024,002,002,0512
018,00028659,00028659,010,00092647,00006097,001024,002,002,0512
019,00028758,00028758,010,00092049,00006104,001024,002,002,0512
020,00028774,00028774,010,00091831,00006203,001024,002,002,0512
021,00028647,00028647,010,00094938,00006024,001024,002,002,0512
022,00028502,00028502,010,00097625,00006010,001024,002,002,0512
023,00028734,00028734,010,00095556,00006079,001024,002,002,0512
024,00028992,00028992,010,00096558,00006019,001024,002,002,0512
025,00028671,00028671,010,00092332,00006117,001024,002,002,0512
026,00028893,00028893,010,00093091,00006073,001024,002,002,0512
027,00028628,00028628,010,00096700,00006076,001024,002,002,0512
028,00028370,00028370,010,00095730,00006082,001024,002,002,0512
029,00028702,00028702,010,00092166,00006067,001024,002,002,0512
030,00028331,00028331,010,00099126,00006009,001024,002,002,0512
031,00028821,00028821,010,00092499,00006142,001024,002,002,0512
000,00028849,00028849,010,00095728,00006123,001024,003,002,0512
001,00029058,00029058,010,00094561,00006203,001024,003,002,0512
002,00028811,00028811,010,00095066,00006172,001024,003,002,0512
003,00029115,00029115,010,00088400,00006275,001024,003,002,0512
004,00028993,00028993,010,00091290,00006141,001024,003,002,0512
005,00029026,00029026,010,00096568,00006126,001024,003,002,0512
006,00029267,00029267,010,00096014,00006149,001024,003,002,0512
007,00028907,00028907,010,00097631,00006090,001024,003,002,0512
008,00029348,00029348,010,00091817,00006228,001024,003,002,0512
009,00029314,00029314,010,00089889,00006204,001024,003,002,0512
010,00028945,00028945,010,00094585,00006180,001024,003,002,0512
011,00029175,00029175,010,00091398,00006241,001024,003,002,0512
012,00028463,00028463,010,00098132,00006135,001024,003,002,0512
013,00029105,00029105,010,00091872,00006145,001024,003,002,0512
014,00028581,00028581,010,00098512,00006043,001024,003,002,0512
015,00028938,00028938,010,00091824,00006230,001024,003,002,0512
016,00028626,00028626,010,00095623,00006081,001024,003,002,0512
017,00028701,00028701,010,00090043,00006246,001024,003,002,0512
018,00028937,00028937,010,00095109,00006130,001024,003,002,0512
019,00029032,00029032,010,00090087,00006221,001024,003,002,0512
020,00028786,00028786,010,00093968,00006101,001024,003,002,0512
021,00029493,00029493,010,00095288,00006250,001024,003,002,0512
022,00029078,00029078,010,00094893,00006156,001024,003,002,0512
023,00029391,00029391,010,00092434,00006185,001024,003,002,0512
024,00028883,00028883,010,00088518,00006247,001024,003,002,0512
