tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00000000,00185771,010,00088992,00004477,001024,000,000,00016384
001,00000000,00185894,010,00088798,00004481,001024,000,000,00016384
002,00000000,00186163,010,00088719,00004480,001024,000,000,00016384
003,00000000,00184735,010,00088508,00004696,001024,000,000,00016384
004,00000000,00185804,010,00088772,00004489,001024,000,000,00016384
005,00000000,00186213,010,00088225,00004655,001024,000,000,00016384
006,00000000,00185871,010,00088664,00004575,001024,000,000,00016384
007,00000000,00185733,010,00088542,00004495,001024,000,000,00016384
008,00000000,00185539,010,00088471,00004630,001024,000,000,00016384
009,00000000,00186051,010,00088127,00004675,001024,000,000,00016384
010,00000000,00185540,010,00088173,00004700,001024,000,000,00016384
011,00000000,00185852,010,00088278,00004602,001024,000,000,00016384
012,00000000,00185143,010,00088480,00004539,001024,000,000,00016384
013,00000000,00185864,010,00088321,00004552,001024,000,000,00016384
014,00000000,00185315,010,00088136,00004604,001024,000,000,00016384
015,00000000,00185134,010,00088461,00004641,001024,000,000,00016384
016,00000000,00185723,010,00088556,00004514,001024,000,000,00016384
017,00000000,00185229,010,00088427,00004582,001024,000,000,00016384
018,00000000,00185397,010,00088495,00004556,001024,000,000,00016384
019,00000000,00185238,010,00088362,00004577,001024,000,000,00016384
020,00000000,00185166,010,00088351,00004648,001024,000,000,00016384
021,00000000,00184793,010,00088621,00004484,001024,000,000,00016384
022,00000000,00185517,010,00088656,00004564,001024,000,000,00016384
023,00000000,00185234,010,00088397,00004645,001024,000,000,00016384
024,00000000,00185476,010,00088388,00004687,001024,000,000,00016384
025,00000000,00186070,010,00088223,00004616,001024,000,000,00016384
026,00000000,00185432,010,00088514,00004545,001024,000,000,00016384
027,00000000,00185683,010,00088565,00004605,001024,000,000,00016384
028,00000000,00185793,010,00088083,00004600,001024,000,000,00016384
029,00000000,00185276,010,00088425,00004558,001024,000,000,00016384
030,00000000,00185054,010,00088242,00004597,001024,000,000,00016384
031,00000000,00185794,010,00088433,00004505,001024,000,000,00016384
000,00000000,00185266,010,00088405,00004466,001024,000,001,00016384
001,00000000,00185084,010,00088485,00004562,001024,000,001,00016384
002,00000000,00185172,010,00088529,00004552,001024,000,001,00016384
003,00000000,00185702,010,00088513,00004568,001024,000,001,00016384
004,00000000,00185558,010,00088283,00004623,001024,000,001,00016384
005,00000000,00185286,010,00088387,00004502,001024,000,001,00016384
006,00000000,00185349,010,00088241,00004537,001024,000,001,00016384
007,00000000,00185322,010,00088630,00004451,001024,000,001,00016384
008,00000000,00185167,010,00088154,00004582,001024,000,001,00016384
009,00000000,00185192,010,00088492,00004545,001024,000,001,00016384
010,00000000,00185229,010,00088384,00004543,001024,000,001,00016384
011,00000000,00184773,010,00088318,00004582,001024,000,001,00016384
012,00000000,00185226,010,00088375,00004494,001024,000,001,00016384
013,00000000,00184827,010,00088236,00004589,001024,000,001,00016384
014,00000000,00184688,010,00088294,00004544,001024,000,001,00016384
