tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00000000,00152919,010,00101204,00004271,001024,000,000,00016384
001,00000000,00150641,010,00099434,00004376,001024,000,000,00016384
002,00000000,00155172,010,00104542,00004294,001024,000,000,00016384
003,00000000,00151885,010,00102879,00004304,001024,000,000,00016384
004,00000000,00152896,010,00103957,00004317,001024,000,000,00016384
005,00000000,00153234,010,00102280,00004367,001024,000,000,00016384
006,00000000,00151479,010,00100511,00004376,001024,000,000,00016384
007,00000000,00151657,010,00105288,00004316,001024,000,000,00016384
008,00000000,00153599,010,00103778,00004282,001024,000,000,00016384
009,00000000,00154654,010,00103156,00004236,001024,000,000,00016384
010,00000000,00151482,010,00103286,00004305,001024,000,000,00016384
011,00000000,00150707,010,00100094,00004366,001024,000,000,00016384
012,00000000,00152771,010,00103406,00004283,001024,000,000,00016384
013,00000000,00150864,010,00102568,00004279,001024,000,000,00016384
014,00000000,00153550,010,00101572,00004322,001024,000,000,00016384
015,00000000,00152433,010,00102429,00004399,001024,000,000,00016384
016,00000000,00153725,010,00103688,00004345,001024,000,000,00016384
017,00000000,00155001,010,00102742,00004337,001024,000,000,00016384
018,00000000,00151927,010,00102660,00004256,001024,000,000,00016384
019,00000000,00156715,010,00102254,00004358,001024,000,000,00016384
020,00000000,00151130,010,00102139,00004351,001024,000,000,00016384
021,00000000,00150035,010,00098944,00004391,001024,000,000,00016384
022,00000000,00151824,010,00104083,00004286,001024,000,000,00016384
023,00000000,00154152,010,00103298,00004272,001024,000,000,00016384
024,00000000,00151996,010,00100637,00004294,001024,000,000,00016384
025,00000000,00153303,010,00105092,00004241,001024,000,000,00016384
026,00000000,00153613,010,00104858,00004216,001024,000,000,00016384
027,00000000,00152288,010,00104775,00004237,001024,000,000,00016384
028,00000000,00155417,010,00103645,00004311,001024,000,000,00016384
029,00000000,00152183,010,00103520,00004373,001024,000,000,00016384
030,00000000,00152716,010,00102201,00004285,001024,000,000,00016384
031,00000000,00153400,010,00099948,00004345,001024,000,000,00016384
000,00000000,00170644,010,00112363,00005068,001024,001,000,00016384
001,00000000,00171442,010,00113464,00005034,001024,001,000,00016384
002,00000000,00172093,010,00112006,00005055,001024,001,000,00016384
003,00000000,00169662,010,00110808,00004998,001024,001,000,00016384
004,00000000,00170438,010,00111778,00004967,001024,001,000,00016384
005,00000000,00170718,010,00112650,00004979,001024,001,000,00016384
006,00000000,00171916,010,00112906,00004950,001024,001,000,00016384
007,00000000,00172867,010,00113515,00004965,001024,001,000,00016384
008,00000000,00170484,010,00111982,00004870,001024,001,000,00016384
009,00000000,00171920,010,00113703,00004977,001024,001,000,00016384
010,00000000,00170581,010,00110785,00005042,001024,001,000,00016384
011,00000000,00171749,010,00113976,00005040,001024,001,000,00016384
012,00000000,00171343,010,00112883,00004999,001024,001,000,00016384
013,00000000,00168493,010,00112092,00004915,001024,001,000,00016384
014,00000000,00173482,010,00113426,00004934,001024,001,000,00016384
015,00000000,00171815,010,00111057,00004945,001024,001,000,00016384
016,00000000,00174414,010,00111406,00004994,001024,001,000,00016384
017,00000000,00172623,010,00111362,00004964,001024,001,000,00016384
018,00000000,00170401,010,00110921,00005036,001024,001,000,00016384
019,00000000,00171251,010,00110201,00005122,001024,001,000,00016384
020,00000000,00172489,010,00109569,00005035,001024,001,000,00016384
021,00000000,00170485,010,00110081,00004927,001024,001,000,00016384
022,00000000,00171133,010,00110884,00004986,001024,001,000,00016384
023,00000000,00171002,010,00112734,00004963,001024,001,000,00016384
024,00000000,00173671,010,00113420,00004963,001024,001,000,00016384
025,00000000,00170674,010,00111554,00004958,001024,001,000,00016384
026,00000000,00171875,010,00114134,00005016,001024,001,000,00016384
027,00000000,00171570,010,00111522,00004987,001024,001,000,00016384
028,00000000,00171314,010,00111649,00004948,001024,001,000,00016384
029,00000000,00169355,010,00110914,00005033,001024,001,000,00016384
030,00000000,00170473,010,00108185,00005025,001024,001,000,00016384
031,00000000,00171838,010,00112087,00004950,001024,001,000,00016384
000,00000000,00267598,010,00213493,00008240,001024,002,000,00016384
001,00000000,00269177,010,00215023,00008407,001024,002,000,00016384
002,00000000,00269815,010,00209061,00008254,001024,002,000,00016384
003,00000000,00271064,010,00204063,00008322,001024,002,000,00016384
004,00000000,00266461,010,00211276,00008191,001024,002,000,00016384
005,00000000,00270556,010,00206740,00008324,001024,002,000,00016384
006,00000000,00268074,010,00208808,00008331,001024,002,000,00016384
007,00000000,00267182,010,00207520,00008299,001024,002,000,00016384
008,00000000,00269078,010,00214538,00008197,001024,002,000,00016384
009,00000000,00266973,010,00208621,00008478,001024,002,000,00016384
010,00000000,00269162,010,00207940,00008255,001024,002,000,00016384
011,00000000,00269844,010,00211612,00008301,001024,002,000,00016384
012,00000000,00269676,010,00199324,00008342,001024,002,000,00016384
013,00000000,00268010,010,00211475,00008321,001024,002,000,00016384
014,00000000,00268841,010,00207795,00008287,001024,002,000,00016384
015,00000000,00266591,010,00205750,00008310,001024,002,000,00016384
016,00000000,00267246,010,00210664,00008229,001024,002,000,00016384
017,00000000,00268995,010,00210621,00008280,001024,002,000,00016384
018,00000000,00268942,010,00207751,00008257,001024,002,000,00016384
019,00000000,00264846,010,00206014,00008240,001024,002,000,00016384
020,00000000,00269285,010,00206869,00008272,001024,002,000,00016384
021,00000000,00268573,010,00207563,00008308,001024,002,000,00016384
022,00000000,00267591,010,00204305,00008299,001024,002,000,00016384
023,00000000,00269160,010,00203899,00008259,001024,002,000,00016384
024,00000000,00264993,010,00206767,00008233,001024,002,000,00016384
025,00000000,00270339,010,00216398,00008265,001024,002,000,00016384
026,00000000,00269376,010,00206864,00008341,001024,002,000,00016384
027,00000000,00267688,010,00213057,00008310,001024,002,000,00016384
028,00000000,00266514,010,00207448,00008264,001024,002,000,00016384
029,00000000,00265490,010,00207956,00008178,001024,002,000,00016384
030,00000000,00266234,010,00210208,00008203,001024,002,000,00016384
031,00000000,00270409,010,00213904,00008241,001024,002,000,00016384
000,00000000,00155640,010,00095196,00003981,001024,000,002,00016384
001,00000000,00153416,010,00096584,00003929,001024,000,002,00016384
002,00000000,00154706,010,00094525,00003933,001024,000,002,00016384
003,00000000,00153695,010,00094644,00003978,001024,000,002,00016384
004,00000000,00152854,010,00094665,00003902,001024,000,002,00016384
005,00000000,00155104,010,00095887,00003920,001024,000,002,00016384
006,00000000,00154403,010,00098157,00003845,001024,000,002,00016384
007,00000000,00151788,010,00092847,00003933,001024,000,002,00016384
008,00000000,00155217,010,00094805,00003929,001024,000,002,00016384
009,00000000,00155275,010,00094882,00003956,001024,000,002,00016384
010,00000000,00155446,010,00095149,00003979,001024,000,002,00016384
011,00000000,00153178,010,00094836,00003918,001024,000,002,00016384
012,00000000,00154402,010,00094181,00004006,001024,000,002,00016384
013,00000000,00157090,010,00097423,00003915,001024,000,002,00016384
014,00000000,00153466,010,00094059,00003966,001024,000,002,00016384
015,00000000,00151035,010,00093658,00003975,001024,000,002,00016384
016,00000000,00153454,010,00094578,00003962,001024,000,002,00016384
017,00000000,00155152,010,00096802,00003906,001024,000,002,00016384
018,00000000,00156563,010,00097117,00003912,001024,000,002,00016384
019,00000000,00153493,010,00094008,00003939,001024,000,002,00016384
020,00000000,00153027,010,00094885,00003947,001024,000,002,00016384
021,00000000,00154333,010,00097350,00003941,001024,000,002,00016384
022,00000000,00155490,010,00095909,00003985,001024,000,002,00016384
023,00000000,00155864,010,00095282,00003958,001024,000,002,00016384
024,00000000,00155415,010,00094576,00003978,001024,000,002,00016384
025,00000000,00154843,010,00094416,00003910,001024,000,002,00016384
026,00000000,00152313,010,00093242,00003936,001024,000,002,00016384
