tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00000000,00224274,010,00106893,00005650,001024,000,000,00016384
001,00000000,00223923,010,00106894,00005673,001024,000,000,00016384
002,00000000,00224339,010,00106178,00005928,001024,000,000,00016384
003,00000000,00223861,010,00106702,00005792,001024,000,000,00016384
004,00000000,00223972,010,00106663,00005892,001024,000,000,00016384
005,00000000,00223980,010,00107059,00005707,001024,000,000,00016384
006,00000000,00224369,010,00106430,00005699,001024,000,000,00016384
007,00000000,00223997,010,00106946,00005650,001024,000,000,00016384
008,00000000,00224228,010,00106440,00005840,001024,000,000,00016384
009,00000000,00223898,010,00106666,00005708,001024,000,000,00016384
010,00000000,00224395,010,00106811,00005672,001024,000,000,00016384
011,00000000,00224403,010,00106656,00005682,001024,000,000,00016384
012,00000000,00224659,010,00107028,00005588,001024,000,000,00016384
013,00000000,00224091,010,00106702,00005675,001024,000,000,00016384
014,00000000,00223793,010,00106708,00005662,001024,000,000,00016384
015,00000000,00223518,010,00107014,00005667,001024,000,000,00016384
016,00000000,00224076,010,00106651,00005713,001024,000,000,00016384
017,00000000,00223986,010,00106610,00005736,001024,000,000,00016384
018,00000000,00223278,010,00106716,00005774,001024,000,000,00016384
019,00000000,00224188,010,00106541,00005689,001024,000,000,00016384
020,00000000,00223815,010,00106566,00005761,001024,000,000,00016384
021,00000000,00224104,010,00106437,00005718,001024,000,000,00016384
022,00000000,00224115,010,00106526,00005678,001024,000,000,00016384
023,00000000,00223758,010,00106568,00005709,001024,000,000,00016384
024,00000000,00223494,010,00106523,00005825,001024,000,000,00016384
025,00000000,00224725,010,00106815,00005562,001024,000,000,00016384
026,00000000,00223698,010,00106939,00005548,001024,000,000,00016384
027,00000000,00224386,010,00106520,00005703,001024,000,000,00016384
028,00000000,00223391,010,00106317,00005815,001024,000,000,00016384
029,00000000,00223936,010,00106387,00005708,001024,000,000,00016384
030,00000000,00223653,010,00106673,00005740,001024,000,000,00016384
031,00000000,00223161,010,00106109,00005819,001024,000,000,00016384
000,00000000,00223491,010,00106544,00005685,001024,000,001,00016384
001,00000000,00223773,010,00106682,00005725,001024,000,001,00016384
002,00000000,00223602,010,00106345,00005760,001024,000,001,00016384
003,00000000,00223276,010,00106333,00005790,001024,000,001,00016384
004,00000000,00223849,010,00106466,00005774,001024,000,001,00016384
005,00000000,00223603,010,00106524,00005747,001024,000,001,00016384
006,00000000,00223362,010,00106511,00005760,001024,000,001,00016384
007,00000000,00223693,010,00106646,00005649,001024,000,001,00016384
008,00000000,00223867,010,00106613,00005642,001024,000,001,00016384
009,00000000,00223936,010,00106485,00005688,001024,000,001,00016384
010,00000000,00224338,010,00106222,00005731,001024,000,001,00016384
011,00000000,00223989,010,00106715,00005698,001024,000,001,00016384
012,00000000,00223650,010,00106593,00005719,001024,000,001,00016384
013,00000000,00223329,010,00106565,00005727,001024,000,001,00016384
014,00000000,00223286,010,00106019,00005854,001024,000,001,00016384
015,00000000,00223690,010,00106499,00005682,001024,000,001,00016384
016,00000000,00223862,010,00106635,00005576,001024,000,001,00016384
017,00000000,00223708,010,00106664,00005594,001024,000,001,00016384
018,00000000,00223691,010,00106295,00005740,001024,000,001,00016384
019,00000000,00223388,010,00106111,00005779,001024,000,001,00016384
020,00000000,00223390,010,00106322,00005752,001024,000,001,00016384
021,00000000,00223344,010,00106392,00005631,001024,000,001,00016384
022,00000000,00223370,010,00106377,00005730,001024,000,001,00016384
023,00000000,00223888,010,00106517,00005676,001024,000,001,00016384
024,00000000,00223561,010,00106518,00005697,001024,000,001,00016384
025,00000000,00223539,010,00106393,00005727,001024,000,001,00016384
026,00000000,00223560,010,00106567,00005664,001024,000,001,00016384
027,00000000,00224249,010,00106553,00005697,001024,000,001,00016384
028,00000000,00223292,010,00106272,00005793,001024,000,001,00016384
029,00000000,00223405,010,00106414,00005716,001024,000,001,00016384
030,00000000,00223852,010,00106438,00005665,001024,000,001,00016384
031,00000000,00223452,010,00105905,00005781,001024,000,001,00016384
000,00000000,00223998,010,00106885,00005768,001024,000,002,00016384
001,00000000,00224512,010,00106804,00005709,001024,000,002,00016384
002,00000000,00224367,010,00106673,00005812,001024,000,002,00016384
003,00000000,00223613,010,00106469,00005898,001024,000,002,00016384
004,00000000,00224352,010,00106744,00005599,001024,000,002,00016384
005,00000000,00224528,010,00106829,00005671,001024,000,002,00016384
006,00000000,00224454,010,00106555,00005760,001024,000,002,00016384
007,00000000,00223583,010,00106708,00005725,001024,000,002,00016384
008,00000000,00223833,010,00106423,00005875,001024,000,002,00016384
009,00000000,00223955,010,00106787,00005722,001024,000,002,00016384
010,00000000,00224290,010,00106795,00005783,001024,000,002,00016384
011,00000000,00223792,010,00107053,00005753,001024,000,002,00016384
012,00000000,00224941,010,00106508,00005706,001024,000,002,00016384
013,00000000,00224234,010,00106935,00005642,001024,000,002,00016384
014,00000000,00223855,010,00106560,00005746,001024,000,002,00016384
015,00000000,00223306,010,00106617,00005715,001024,000,002,00016384
016,00000000,00223910,010,00106508,00005796,001024,000,002,00016384
017,00000000,00224152,010,00106245,00005687,001024,000,002,00016384
018,00000000,00223777,010,00106630,00005692,001024,000,002,00016384
019,00000000,00223750,010,00106819,00005674,001024,000,002,00016384
020,00000000,00223751,010,00106570,00005701,001024,000,002,00016384
021,00000000,00223994,010,00106617,00005818,001024,000,002,00016384
022,00000000,00223330,010,00106541,00005791,001024,000,002,00016384
023,00000000,00223517,010,00106350,00005782,001024,000,002,00016384
024,00000000,00223596,010,00106657,00005763,001024,000,002,00016384
025,00000000,00223882,010,00106895,00005683,001024,000,002,00016384
026,00000000,00223885,010,00106237,00005802,001024,000,002,00016384
027,00000000,00223464,010,00106725,00005675,001024,000,002,00016384
028,00000000,00223952,010,00106459,00005757,001024,000,002,00016384
029,00000000,00224504,010,00106768,00005593,001024,000,002,00016384
030,00000000,00223522,010,00106446,00005804,001024,000,002,00016384
031,00000000,00223398,010,00106453,00005611,001024,000,002,00016384
