tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00000000,00177794,010,00119592,00004423,001024,000,000,00016384
001,00000000,00175332,010,00121082,00004478,001024,000,000,00016384
002,00000000,00176036,010,00121305,00004374,001024,000,000,00016384
003,00000000,00176979,010,00120382,00004447,001024,000,000,00016384
004,00000000,00173315,010,00119192,00004442,001024,000,000,00016384
005,00000000,00173835,010,00117586,00004540,001024,000,000,00016384
006,00000000,00175469,010,00118713,00004468,001024,000,000,00016384
007,00000000,00176321,010,00117293,00004518,001024,000,000,00016384
008,00000000,00173883,010,00115966,00004507,001024,000,000,00016384
009,00000000,00178620,010,00125486,00004401,001024,000,000,00016384
010,00000000,00172150,010,00120310,00004458,001024,000,000,00016384
011,00000000,00176989,010,00120776,00004476,001024,000,000,00016384
012,00000000,00176384,010,00122959,00004454,001024,000,000,00016384
013,00000000,00173738,010,00118216,00004508,001024,000,000,00016384
014,00000000,00176382,010,00121046,00004450,001024,000,000,00016384
015,00000000,00176881,010,00118483,00004531,001024,000,000,00016384
016,00000000,00175647,010,00120771,00004477,001024,000,000,00016384
017,00000000,00178094,010,00123028,00004480,001024,000,000,00016384
018,00000000,00173755,010,00121053,00004433,001024,000,000,00016384
019,00000000,00176471,010,00116742,00004468,001024,000,000,00016384
020,00000000,00174417,010,00123171,00004401,001024,000,000,00016384
021,00000000,00175886,010,00120903,00004490,001024,000,000,00016384
022,00000000,00175644,010,00119687,00004451,001024,000,000,00016384
023,00000000,00175521,010,00122131,00004483,001024,000,000,00016384
024,00000000,00174690,010,00118358,00004505,001024,000,000,00016384
025,00000000,00178175,010,00121864,00004393,001024,000,000,00016384
026,00000000,00179379,010,00123862,00004408,001024,000,000,00016384
027,00000000,00177451,010,00122825,00004428,001024,000,000,00016384
028,00000000,00176334,010,00120783,00004437,001024,000,000,00016384
029,00000000,00177562,010,00120917,00004508,001024,000,000,00016384
030,00000000,00176938,010,00120932,00004442,001024,000,000,00016384
031,00000000,00176231,010,00120712,00004514,001024,000,000,00016384
000,00000000,00220081,010,00158270,00005473,001024,001,000,00016384
001,00000000,00218083,010,00159120,00005500,001024,001,000,00016384
002,00000000,00221020,010,00158343,00005515,001024,001,000,00016384
003,00000000,00216292,010,00159509,00005425,001024,001,000,00016384
004,00000000,00216158,010,00155699,00005493,001024,001,000,00016384
005,00000000,00216894,010,00158776,00005439,001024,001,000,00016384
006,00000000,00214906,010,00155891,00005493,001024,001,000,00016384
007,00000000,00216130,010,00160920,00005434,001024,001,000,00016384
008,00000000,00213011,010,00158901,00005476,001024,001,000,00016384
009,00000000,00217412,010,00160414,00005416,001024,001,000,00016384
010,00000000,00216738,010,00156918,00005511,001024,001,000,00016384
011,00000000,00211077,010,00151777,00005500,001024,001,000,00016384
012,00000000,00220064,010,00162109,00005385,001024,001,000,00016384
013,00000000,00215920,010,00154634,00005513,001024,001,000,00016384
014,00000000,00214483,010,00156375,00005513,001024,001,000,00016384
015,00000000,00215003,010,00155871,00005504,001024,001,000,00016384
016,00000000,00218007,010,00157804,00005481,001024,001,000,00016384
017,00000000,00216544,010,00154975,00005485,001024,001,000,00016384
018,00000000,00215553,010,00155107,00005516,001024,001,000,00016384
019,00000000,00215994,010,00153100,00005438,001024,001,000,00016384
020,00000000,00218789,010,00156947,00005490,001024,001,000,00016384
021,00000000,00217622,010,00155853,00005468,001024,001,000,00016384
022,00000000,00219227,010,00155029,00005504,001024,001,000,00016384
023,00000000,00219109,010,00155238,00005471,001024,001,000,00016384
024,00000000,00218867,010,00156732,00005454,001024,001,000,00016384
025,00000000,00216265,010,00156673,00005499,001024,001,000,00016384
026,00000000,00218836,010,00160741,00005426,001024,001,000,00016384
027,00000000,00215074,010,00156220,00005488,001024,001,000,00016384
028,00000000,00217489,010,00159537,00005398,001024,001,000,00016384
029,00000000,00218653,010,00157320,00005495,001024,001,000,00016384
030,00000000,00215857,010,00155211,00005485,001024,001,000,00016384
031,00000000,00216686,010,00156194,00005536,001024,001,000,00016384
000,00000000,00211271,010,00139275,00005570,001024,002,000,00016384
001,00000000,00213782,010,00140447,00005553,001024,002,000,00016384
002,00000000,00211778,010,00140045,00005612,001024,002,000,00016384
003,00000000,00210741,010,00136029,00005589,001024,002,000,00016384
004,00000000,00207963,010,00136308,00005617,001024,002,000,00016384
005,00000000,00209835,010,00139945,00005592,001024,002,000,00016384
006,00000000,00208043,010,00140315,00005564,001024,002,000,00016384
007,00000000,00208756,010,00137933,00005563,001024,002,000,00016384
008,00000000,00210299,010,00136390,00005660,001024,002,000,00016384
009,00000000,00207768,010,00137322,00005589,001024,002,000,00016384
010,00000000,00209471,010,00137542,00005584,001024,002,000,00016384
011,00000000,00209684,010,00138316,00005569,001024,002,000,00016384
012,00000000,00209951,010,00139778,00005537,001024,002,000,00016384
013,00000000,00210528,010,00140861,00005600,001024,002,000,00016384
014,00000000,00209450,010,00140022,00005612,001024,002,000,00016384
015,00000000,00209619,010,00135493,00005658,001024,002,000,00016384
016,00000000,00210280,010,00138691,00005543,001024,002,000,00016384
017,00000000,00208731,010,00136632,00005637,001024,002,000,00016384
018,00000000,00208047,010,00137357,00005614,001024,002,000,00016384
019,00000000,00210854,010,00139749,00005598,001024,002,000,00016384
020,00000000,00207277,010,00139964,00005601,001024,002,000,00016384
021,00000000,00206485,010,00134193,00005606,001024,002,000,00016384
022,00000000,00212431,010,00140254,00005553,001024,002,000,00016384
023,00000000,00208714,010,00140092,00005529,001024,002,000,00016384
024,00000000,00205831,010,00137519,00005589,001024,002,000,00016384
025,00000000,00207712,010,00136525,00005580,001024,002,000,00016384
026,00000000,00208039,010,00137032,00005585,001024,002,000,00016384
027,00000000,00207286,010,00136879,00005640,001024,002,000,00016384
028,00000000,00210386,010,00136675,00005533,001024,002,000,00016384
029,00000000,00210519,010,00137502,00005585,001024,002,000,00016384
030,00000000,00209360,010,00137269,00005610,001024,002,000,00016384
031,00000000,00209969,010,00140130,00005610,001024,002,000,00016384
000,00000000,00175668,010,00119485,00004484,001024,000,001,00016384
001,00000000,00179048,010,00126073,00004413,001024,000,001,00016384
002,00000000,00176188,010,00119630,00004570,001024,000,001,00016384
003,00000000,00174191,010,00120986,00004436,001024,000,001,00016384
004,00000000,00178063,010,00122927,00004457,001024,000,001,00016384
005,00000000,00177549,010,00120497,00004486,001024,000,001,00016384
006,00000000,00176796,010,00122699,00004503,001024,000,001,00016384
007,00000000,00175916,010,00122353,00004468,001024,000,001,00016384
008,00000000,00178892,010,00124637,00004444,001024,000,001,00016384
009,00000000,00176059,010,00121153,00004463,001024,000,001,00016384
010,00000000,00178619,010,00120820,00004494,001024,000,001,00016384
011,00000000,00177410,010,00118756,00004564,001024,000,001,00016384
012,00000000,00172815,010,00120387,00004465,001024,000,001,00016384
013,00000000,00177344,010,00121367,00004415,001024,000,001,00016384
014,00000000,00175085,010,00116587,00004511,001024,000,001,00016384
015,00000000,00177042,010,00123379,00004413,001024,000,001,00016384
016,00000000,00172595,010,00117246,00004526,001024,000,001,00016384
017,00000000,00176308,010,00120970,00004461,001024,000,001,00016384
018,00000000,00176838,010,00122146,00004427,001024,000,001,00016384
019,00000000,00176230,010,00120067,00004473,001024,000,001,00016384
020,00000000,00176430,010,00118210,00004495,001024,000,001,00016384
021,00000000,00174793,010,00123560,00004445,001024,000,001,00016384
022,00000000,00175215,010,00120004,00004405,001024,000,001,00016384
023,00000000,00175030,010,00119320,00004567,001024,000,001,00016384
024,00000000,00178268,010,00121933,00004481,001024,000,001,00016384
025,00000000,00176799,010,00117085,00004544,001024,000,001,00016384
026,00000000,00176233,010,00122014,00004427,001024,000,001,00016384
027,00000000,00174718,010,00122547,00004421,001024,000,001,00016384
028,00000000,00177212,010,00122298,00004456,001024,000,001,00016384
