lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0006442,0001001,0000050,0001005,0004689,0005740,0011602,001024,001,000,0512
0010840,0019593,0001062,0001357,0007004,0008536,0017803,001024,001,000,0512
0006913,0001001,0000051,0001005,0005159,0006162,0012644,001024,002,000,0512
0010519,0019241,0001022,0001352,0007564,0008777,0018615,001024,002,000,0512
0007333,0001001,0000051,0001006,0005200,0006563,0013135,001024,003,000,0512
0011632,0018074,0001052,0001257,0008215,0009949,0019397,001024,003,000,0512
0007274,0001001,0000051,0001006,0005190,0006562,0013105,001024,004,000,0512
0012283,0018173,0001062,0001267,0009027,0010279,0021000,001024,004,000,0512
0006773,0001001,0000050,0001005,0005190,0006142,0012594,001024,001,001,0512
0010891,0019101,0001042,0001287,0007734,0008776,0018966,001024,001,001,0512
0006542,0001001,0000051,0001005,0005170,0005841,0012273,001024,002,001,0512
0010480,0017653,0001032,0001283,0007674,0008506,0018445,001024,002,001,0512
0006873,0001001,0000050,0001005,0005200,0006211,0012704,001024,003,001,0512
0011261,0019809,0001062,0001285,0008295,0009188,0018926,001024,003,001,0512
0006803,0001001,0000051,0001005,0005190,0006172,0012664,001024,004,001,0512
0011762,0018589,0001062,0001287,0008797,0009869,0020238,001024,004,001,0512
0006622,0001001,0000051,0001005,0005180,0005841,0012373,001024,001,002,0512
0011021,0017969,0001032,0001282,0007945,0008756,0018966,001024,001,002,0512
0006843,0001001,0000051,0001005,0005190,0006191,0012674,001024,002,002,0512
0010630,0018674,0001042,0001288,0007815,0008606,0018805,001024,002,002,0512
0006843,0001001,0000050,0001005,0005199,0006191,0012684,001024,003,002,0512
0011151,0017681,0001032,0001287,0008285,0009088,0018915,001024,003,002,0512
0006853,0001001,0000050,0001005,0005190,0006192,0012714,001024,004,002,0512
0011562,0018436,0001082,0001290,0008917,0009488,0019847,001024,004,002,0512
