lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0006663,0001001,0000040,0001005,0013315,0005891,0013275,001024,001,000,0512
0010550,0059675,0000812,0001199,0019847,0008386,0019426,001024,001,000,0512
0006923,0001001,0000040,0001005,0013726,0006231,0013676,001024,002,000,0512
0010940,0044957,0000891,0001238,0020468,0008856,0020038,001024,002,000,0512
0006923,0001001,0000040,0001005,0013736,0006232,0013686,001024,003,000,0512
0011602,0006027,0000891,0001235,0020699,0009438,0020359,001024,003,000,0512
0006953,0001001,0000041,0001005,0013796,0006242,0013746,001024,004,000,0512
0013706,0002491,0000941,0001238,0022903,0011912,0022522,001024,004,000,0512
0006672,0001001,0000040,0001004,0013135,0005801,0013045,001024,001,001,0512
0010610,0067163,0000892,0001192,0018996,0008647,0018625,001024,001,001,0512
0007404,0001001,0000041,0001005,0014136,0006603,0014086,001024,002,001,0512
0011291,0027366,0000881,0001238,0020839,0009417,0020299,001024,002,001,0512
0007404,0001001,0000040,0001005,0014127,0006612,0014077,001024,003,001,0512
0011181,0002618,0000911,0001233,0019828,0009518,0019547,001024,003,001,0512
0007414,0001001,0000040,0001005,0014227,0006612,0014167,001024,004,001,0512
0012022,0028606,0000892,0001236,0022202,0010109,0021621,001024,004,001,0512
0006903,0001001,0000040,0001005,0013716,0006212,0013665,001024,001,002,0512
0010449,0012194,0000851,0001234,0020088,0008666,0019476,001024,001,002,0512
0006673,0001001,0000040,0001005,0013305,0005871,0013265,001024,002,002,0512
0010410,0061060,0000861,0001195,0019326,0008345,0018946,001024,002,002,0512
0006903,0001001,0000040,0001005,0013716,0006212,0013666,001024,003,002,0512
0011421,0036791,0000912,0001229,0020368,0009528,0020038,001024,003,002,0512
0006943,0001001,0000040,0001005,0013766,0006232,0013716,001024,004,002,0512
0011422,0017284,0000901,0001233,0020750,0009177,0020388,001024,004,002,0512
