tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00060756,00060756,010,00121512,001024,001,000,0512
001,00060292,00060292,010,00120584,001024,001,000,0512
002,00060397,00060397,010,00120794,001024,001,000,0512
003,00061683,00061683,010,00123366,001024,001,000,0512
004,00060957,00060957,010,00121914,001024,001,000,0512
005,00060830,00060830,010,00121660,001024,001,000,0512
006,00061742,00061742,010,00123484,001024,001,000,0512
007,00060421,00060421,010,00120842,001024,001,000,0512
008,00061680,00061680,010,00123360,001024,001,000,0512
009,00061592,00061592,010,00123184,001024,001,000,0512
010,00061899,00061899,010,00123798,001024,001,000,0512
011,00061462,00061462,010,00122924,001024,001,000,0512
012,00061467,00061467,010,00122934,001024,001,000,0512
013,00060757,00060757,010,00121514,001024,001,000,0512
014,00061765,00061765,010,00123530,001024,001,000,0512
015,00061119,00061119,010,00122238,001024,001,000,0512
016,00061524,00061524,010,00123048,001024,001,000,0512
017,00061229,00061229,010,00122458,001024,001,000,0512
018,00061372,00061372,010,00122744,001024,001,000,0512
019,00061220,00061220,010,00122440,001024,001,000,0512
020,00061381,00061381,010,00122762,001024,001,000,0512
021,00061482,00061482,010,00122964,001024,001,000,0512
022,00061456,00061456,010,00122912,001024,001,000,0512
023,00061111,00061111,010,00122222,001024,001,000,0512
024,00059694,00059694,010,00119388,001024,001,000,0512
025,00060652,00060652,010,00121304,001024,001,000,0512
026,00061441,00061441,010,00122882,001024,001,000,0512
027,00061244,00061244,010,00122488,001024,001,000,0512
028,00061527,00061527,010,00123054,001024,001,000,0512
029,00060468,00060468,010,00120936,001024,001,000,0512
030,00060842,00060842,010,00121684,001024,001,000,0512
031,00060735,00060735,010,00121470,001024,001,000,0512
000,00060554,00060554,010,00121108,001024,001,001,0512
001,00058343,00058343,010,00116686,001024,001,001,0512
002,00060154,00060154,010,00120308,001024,001,001,0512
003,00061738,00061738,010,00123476,001024,001,001,0512
004,00060823,00060823,010,00121646,001024,001,001,0512
005,00060895,00060895,010,00121790,001024,001,001,0512
006,00061559,00061559,010,00123118,001024,001,001,0512
007,00060591,00060591,010,00121182,001024,001,001,0512
008,00061768,00061768,010,00123536,001024,001,001,0512
009,00061471,00061471,010,00122942,001024,001,001,0512
010,00061862,00061862,010,00123724,001024,001,001,0512
011,00061533,00061533,010,00123066,001024,001,001,0512
012,00061417,00061417,010,00122834,001024,001,001,0512
013,00061642,00061642,010,00123284,001024,001,001,0512
014,00061998,00061998,010,00123996,001024,001,001,0512
015,00061119,00061119,010,00122238,001024,001,001,0512
016,00061536,00061536,010,00123072,001024,001,001,0512
017,00061266,00061266,010,00122532,001024,001,001,0512
018,00061460,00061460,010,00122920,001024,001,001,0512
019,00061227,00061227,010,00122454,001024,001,001,0512
020,00061520,00061520,010,00123040,001024,001,001,0512
021,00061288,00061288,010,00122576,001024,001,001,0512
022,00061447,00061447,010,00122894,001024,001,001,0512
023,00061113,00061113,010,00122226,001024,001,001,0512
024,00059867,00059867,010,00119734,001024,001,001,0512
025,00060783,00060783,010,00121566,001024,001,001,0512
026,00061612,00061612,010,00123224,001024,001,001,0512
027,00061133,00061133,010,00122266,001024,001,001,0512
028,00061657,00061657,010,00123314,001024,001,001,0512
029,00060556,00060556,010,00121112,001024,001,001,0512
030,00060894,00060894,010,00121788,001024,001,001,0512
031,00060645,00060645,010,00121290,001024,001,001,0512
000,00060999,00060999,010,00121998,001024,001,002,0512
001,00060544,00060544,010,00121088,001024,001,002,0512
002,00060923,00060923,010,00121846,001024,001,002,0512
003,00061915,00061915,010,00123830,001024,001,002,0512
004,00060634,00060634,010,00121268,001024,001,002,0512
005,00061397,00061397,010,00122794,001024,001,002,0512
006,00061302,00061302,010,00122604,001024,001,002,0512
007,00061044,00061044,010,00122088,001024,001,002,0512
008,00061518,00061518,010,00123036,001024,001,002,0512
009,00062112,00062112,010,00124224,001024,001,002,0512
010,00062079,00062079,010,00124158,001024,001,002,0512
011,00061677,00061677,010,00123354,001024,001,002,0512
012,00061618,00061618,010,00123236,001024,001,002,0512
013,00061799,00061799,010,00123598,001024,001,002,0512
014,00062185,00062185,010,00124370,001024,001,002,0512
015,00061188,00061188,010,00122376,001024,001,002,0512
016,00061963,00061963,010,00123926,001024,001,002,0512
017,00061514,00061514,010,00123028,001024,001,002,0512
018,00061688,00061688,010,00123376,001024,001,002,0512
019,00061549,00061549,010,00123098,001024,001,002,0512
020,00061577,00061577,010,00123154,001024,001,002,0512
021,00061585,00061585,010,00123170,001024,001,002,0512
022,00061660,00061660,010,00123320,001024,001,002,0512
023,00061158,00061158,010,00122316,001024,001,002,0512
024,00059883,00059883,010,00119766,001024,001,002,0512
025,00060987,00060987,010,00121974,001024,001,002,0512
026,00061697,00061697,010,00123394,001024,001,002,0512
027,00061387,00061387,010,00122774,001024,001,002,0512
028,00061737,00061737,010,00123474,001024,001,002,0512
029,00060698,00060698,010,00121396,001024,001,002,0512
030,00060931,00060931,010,00121862,001024,001,002,0512
031,00060836,00060836,010,00121672,001024,001,002,0512
