lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0007364,0001625,0000150,0001006,0005420,0006432,0013435,001024,001,000,0512
0019166,0974405,0006282,0024663,0011322,0016040,0033102,001024,001,000,0512
0007574,0001454,0000121,0001006,0005410,0006683,0013625,001024,002,000,0512
0017934,0784964,0003417,0041400,0010159,0012113,0028865,001024,002,000,0512
0007624,0001385,0000120,0001006,0005411,0006703,0013686,001024,003,000,0512
0014848,0752542,0002835,0044718,0010089,0011091,0025188,001024,003,000,0512
0007114,0001003,0000060,0001005,0005280,0006412,0013024,001024,004,000,0512
0015469,0373816,0001253,0024782,0009869,0010801,0024847,001024,004,000,0512
0007264,0001606,0000160,0001006,0005420,0006342,0013315,001024,001,001,0512
0024446,0822459,0003506,0050333,0008927,0010330,0033533,001024,001,001,0512
0007524,0001397,0000130,0001006,0005420,0006653,0013596,001024,002,001,0512
0015569,0933848,0002946,0050190,0007795,0010920,0025457,001024,002,001,0512
0007494,0001357,0000120,0001006,0005430,0006643,0013596,001024,003,001,0512
0015058,0983551,0003276,0053404,0009057,0011041,0026029,001024,003,001,0512
0007093,0001003,0000060,0001005,0005310,0006372,0013015,001024,004,001,0512
0014107,0373897,0001323,0044533,0010260,0011542,0024426,001024,004,001,0512
0007193,0001363,0000110,0001006,0005030,0006252,0012965,001024,001,002,0512
0015539,0638442,0003266,0021110,0008697,0010610,0022462,001024,001,002,0512
0007745,0001596,0000140,0001006,0005420,0006883,0013826,001024,002,002,0512
0017953,0710454,0007104,0010505,0007945,0012894,0026870,001024,002,002,0512
0008005,0001355,0000110,0001006,0005410,0007103,0014017,001024,003,002,0512
0016521,0661879,0002315,0018837,0009918,0011141,0027211,001024,003,002,0512
0007614,0001003,0000060,0001006,0005380,0006873,0013615,001024,004,002,0512
0015870,0392833,0001292,0015606,0011271,0013145,0030287,001024,004,002,0512
