tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00016760,00016760,010,00034657,001024,001,000,0512
001,00018008,00018008,010,00037389,001024,001,000,0512
002,00016906,00016906,010,00035079,001024,001,000,0512
003,00017658,00017658,010,00036685,001024,001,000,0512
004,00017129,00017129,010,00035387,001024,001,000,0512
005,00017016,00017016,010,00035373,001024,001,000,0512
006,00018357,00018357,010,00038047,001024,001,000,0512
007,00017528,00017528,010,00036281,001024,001,000,0512
008,00018195,00018195,010,00037891,001024,001,000,0512
009,00018159,00018159,010,00037698,001024,001,000,0512
010,00017293,00017293,010,00035962,001024,001,000,0512
011,00017536,00017536,010,00036393,001024,001,000,0512
012,00017026,00017026,010,00035387,001024,001,000,0512
013,00017973,00017973,010,00037063,001024,001,000,0512
014,00017872,00017872,010,00037026,001024,001,000,0512
015,00017397,00017397,010,00035906,001024,001,000,0512
016,00017280,00017280,010,00035815,001024,001,000,0512
017,00017524,00017524,010,00043651,001024,001,000,0512
018,00017217,00017217,010,00035627,001024,001,000,0512
019,00017692,00017692,010,00036594,001024,001,000,0512
020,00017955,00017955,010,00037272,001024,001,000,0512
021,00017213,00017213,010,00035798,001024,001,000,0512
022,00017645,00017645,010,00036460,001024,001,000,0512
023,00017548,00017548,010,00042186,001024,001,000,0512
024,00017599,00017599,010,00036498,001024,001,000,0512
025,00017319,00017319,010,00041372,001024,001,000,0512
026,00017741,00017741,010,00036730,001024,001,000,0512
027,00017303,00017303,010,00035819,001024,001,000,0512
028,00017320,00017320,010,00035843,001024,001,000,0512
029,00016836,00016836,010,00040841,001024,001,000,0512
030,00017461,00017461,010,00036086,001024,001,000,0512
031,00016893,00016893,010,00034928,001024,001,000,0512
000,00023891,00023891,010,00049378,001024,002,000,0512
001,00023637,00023637,010,00048864,001024,002,000,0512
002,00023801,00023801,010,00049119,001024,002,000,0512
003,00023147,00023147,010,00060017,001024,002,000,0512
004,00023363,00023363,010,00048404,001024,002,000,0512
005,00024363,00024363,010,00050486,001024,002,000,0512
006,00023821,00023821,010,00049284,001024,002,000,0512
007,00023517,00023517,010,00048728,001024,002,000,0512
008,00022878,00022878,010,00047245,001024,002,000,0512
009,00023648,00023648,010,00048919,001024,002,000,0512
010,00023798,00023798,010,00049156,001024,002,000,0512
011,00023880,00023880,010,00049304,001024,002,000,0512
012,00023449,00023449,010,00048596,001024,002,000,0512
013,00023180,00023180,010,00048060,001024,002,000,0512
014,00023146,00023146,010,00047882,001024,002,000,0512
015,00023439,00023439,010,00048389,001024,002,000,0512
016,00023825,00023825,010,00049299,001024,002,000,0512
017,00023939,00023939,010,00055375,001024,002,000,0512
018,00023182,00023182,010,00047917,001024,002,000,0512
019,00024276,00024276,010,00050329,001024,002,000,0512
020,00023800,00023800,010,00049022,001024,002,000,0512
021,00024498,00024498,010,00050476,001024,002,000,0512
022,00024185,00024185,010,00050090,001024,002,000,0512
023,00023950,00023950,010,00049651,001024,002,000,0512
024,00024336,00024336,010,00050304,001024,002,000,0512
025,00024309,00024309,010,00050285,001024,002,000,0512
026,00023451,00023451,010,00048402,001024,002,000,0512
027,00023853,00023853,010,00049332,001024,002,000,0512
028,00024724,00024724,010,00051130,001024,002,000,0512
029,00023505,00023505,010,00048529,001024,002,000,0512
030,00023895,00023895,010,00049328,001024,002,000,0512
031,00024473,00024473,010,00055799,001024,002,000,0512
