tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00023432,00023432,010,00046864,001024,001,000,0512
001,00024685,00024685,010,00049370,001024,001,000,0512
002,00023667,00023667,010,00047334,001024,001,000,0512
003,00023658,00023658,010,00047316,001024,001,000,0512
004,00023223,00023223,010,00046446,001024,001,000,0512
005,00023372,00023372,010,00046744,001024,001,000,0512
006,00024817,00024817,010,00049634,001024,001,000,0512
007,00024358,00024358,010,00048716,001024,001,000,0512
008,00024748,00024748,010,00049496,001024,001,000,0512
009,00024879,00024879,010,00049758,001024,001,000,0512
010,00023259,00023259,010,00046518,001024,001,000,0512
011,00024216,00024216,010,00048432,001024,001,000,0512
012,00023313,00023313,010,00046626,001024,001,000,0512
013,00024272,00024272,010,00048544,001024,001,000,0512
014,00024292,00024292,010,00048584,001024,001,000,0512
015,00024003,00024003,010,00048006,001024,001,000,0512
016,00023897,00023897,010,00047794,001024,001,000,0512
017,00022522,00022522,010,00045044,001024,001,000,0512
018,00023674,00023674,010,00047348,001024,001,000,0512
019,00023980,00023980,010,00047960,001024,001,000,0512
020,00023794,00023794,010,00047588,001024,001,000,0512
021,00023855,00023855,010,00047710,001024,001,000,0512
022,00024060,00024060,010,00048120,001024,001,000,0512
023,00023765,00023765,010,00047530,001024,001,000,0512
024,00023658,00023658,010,00047316,001024,001,000,0512
025,00023638,00023638,010,00047276,001024,001,000,0512
026,00024052,00024052,010,00048104,001024,001,000,0512
027,00023947,00023947,010,00047894,001024,001,000,0512
028,00024000,00024000,010,00048000,001024,001,000,0512
029,00022888,00022888,010,00045776,001024,001,000,0512
030,00023521,00023521,010,00047042,001024,001,000,0512
031,00023245,00023245,010,00046490,001024,001,000,0512
000,00022120,00022120,010,00044240,001024,001,001,0512
001,00022590,00022590,010,00045180,001024,001,001,0512
002,00024070,00024070,010,00048140,001024,001,001,0512
003,00023274,00023274,010,00046548,001024,001,001,0512
004,00023209,00023209,010,00046418,001024,001,001,0512
005,00023779,00023779,010,00047558,001024,001,001,0512
006,00024523,00024523,010,00049046,001024,001,001,0512
007,00024540,00024540,010,00049080,001024,001,001,0512
008,00024301,00024301,010,00048602,001024,001,001,0512
009,00024816,00024816,010,00049632,001024,001,001,0512
010,00023294,00023294,010,00046588,001024,001,001,0512
011,00024104,00024104,010,00048208,001024,001,001,0512
012,00023395,00023395,010,00046790,001024,001,001,0512
013,00024365,00024365,010,00048730,001024,001,001,0512
014,00024535,00024535,010,00049070,001024,001,001,0512
015,00024014,00024014,010,00048028,001024,001,001,0512
016,00023405,00023405,010,00046810,001024,001,001,0512
017,00023629,00023629,010,00047258,001024,001,001,0512
018,00023999,00023999,010,00047998,001024,001,001,0512
019,00024027,00024027,010,00048054,001024,001,001,0512
020,00023719,00023719,010,00047438,001024,001,001,0512
021,00023496,00023496,010,00046992,001024,001,001,0512
022,00023752,00023752,010,00047504,001024,001,001,0512
023,00023675,00023675,010,00047350,001024,001,001,0512
024,00023599,00023599,010,00047198,001024,001,001,0512
025,00023531,00023531,010,00047062,001024,001,001,0512
026,00023815,00023815,010,00047630,001024,001,001,0512
027,00023886,00023886,010,00047772,001024,001,001,0512
028,00024076,00024076,010,00048152,001024,001,001,0512
029,00022856,00022856,010,00045712,001024,001,001,0512
030,00023516,00023516,010,00047032,001024,001,001,0512
031,00023309,00023309,010,00046618,001024,001,001,0512
000,00018695,00018695,010,00037390,001024,001,002,0512
001,00025012,00025012,010,00050024,001024,001,002,0512
002,00023522,00023522,010,00047044,001024,001,002,0512
003,00024001,00024001,010,00048002,001024,001,002,0512
004,00023614,00023614,010,00047228,001024,001,002,0512
005,00023046,00023046,010,00046092,001024,001,002,0512
006,00024634,00024634,010,00049268,001024,001,002,0512
007,00024413,00024413,010,00048826,001024,001,002,0512
008,00024229,00024229,010,00048458,001024,001,002,0512
009,00024641,00024641,010,00049282,001024,001,002,0512
010,00023348,00023348,010,00046696,001024,001,002,0512
011,00024266,00024266,010,00048532,001024,001,002,0512
012,00023357,00023357,010,00046714,001024,001,002,0512
013,00024249,00024249,010,00048498,001024,001,002,0512
014,00024395,00024395,010,00048790,001024,001,002,0512
015,00023862,00023862,010,00047724,001024,001,002,0512
016,00023475,00023475,010,00046950,001024,001,002,0512
017,00024583,00024583,010,00049166,001024,001,002,0512
018,00023859,00023859,010,00047718,001024,001,002,0512
019,00024262,00024262,010,00048524,001024,001,002,0512
020,00023655,00023655,010,00047310,001024,001,002,0512
021,00023937,00023937,010,00047874,001024,001,002,0512
022,00024049,00024049,010,00048098,001024,001,002,0512
023,00020286,00020286,010,00040572,001024,001,002,0512
024,00023286,00023286,010,00046572,001024,001,002,0512
025,00023531,00023531,010,00047062,001024,001,002,0512
026,00023651,00023651,010,00047302,001024,001,002,0512
027,00023947,00023947,010,00047894,001024,001,002,0512
028,00024046,00024046,010,00048092,001024,001,002,0512
029,00022829,00022829,010,00045658,001024,001,002,0512
030,00023311,00023311,010,00046622,001024,001,002,0512
031,00023223,00023223,010,00046446,001024,001,002,0512
