lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0006953,0001001,0000060,0001006,0005300,0006272,0012814,001024,001,000,0512
0010680,0011656,0001032,0001330,0007744,0008567,0018555,001024,001,000,0512
0006954,0001001,0000060,0001006,0005300,0006272,0012824,001024,002,000,0512
0010951,0011553,0001092,0001328,0007634,0008997,0018836,001024,002,000,0512
0006132,0001001,0000060,0001005,0004999,0005470,0011642,001024,003,000,0512
0009828,0011734,0001062,0001384,0007264,0008015,0017463,001024,003,000,0512
0006953,0001001,0000070,0001006,0005270,0006272,0012805,001024,004,000,0512
0013215,0011739,0001112,0001339,0009759,0011051,0020739,001024,004,000,0512
0006963,0001001,0000060,0001006,0005320,0006262,0012855,001024,001,001,0512
0010760,0011562,0001072,0001326,0008035,0008677,0018615,001024,001,001,0512
0006131,0001001,0000060,0001005,0005010,0005461,0011672,001024,002,001,0512
0010039,0011739,0001062,0001402,0007474,0008275,0017593,001024,002,001,0512
0006953,0001001,0000060,0001006,0005320,0006281,0012844,001024,003,001,0512
0011080,0011733,0001052,0001330,0007905,0008817,0018585,001024,003,001,0512
0006953,0001001,0000061,0001006,0005260,0006262,0012805,001024,004,001,0512
0011031,0011828,0001092,0001344,0008997,0009228,0019477,001024,004,001,0512
0006142,0001001,0000060,0001005,0005030,0005470,0011733,001024,001,002,0512
0009978,0010568,0001092,0001315,0007173,0008096,0017142,001024,001,002,0512
0006923,0001001,0000060,0001006,0005320,0006232,0012824,001024,002,002,0512
0010350,0011987,0001082,0001338,0007494,0008557,0018234,001024,002,002,0512
0006933,0001001,0000060,0001006,0005330,0006242,0012844,001024,003,002,0512
0010640,0012113,0001062,0001345,0007534,0008446,0018375,001024,003,002,0512
0006903,0001001,0000060,0001006,0005290,0006222,0012774,001024,004,002,0512
0012534,0013261,0001082,0001352,0009688,0010530,0020579,001024,004,002,0512
