lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0006312,0000741,0000061,0001005,0005069,0005480,0011962,001024,001,000,0512
0009999,0017259,0001132,0001393,0007544,0008015,0017533,001024,001,000,0512
0006813,0000761,0000061,0001006,0005260,0006152,0012634,001024,002,000,0512
0010641,0020634,0001132,0001327,0007354,0008597,0018155,001024,002,000,0512
0007043,0000741,0000060,0001006,0005280,0006302,0012905,001024,003,000,0512
0010269,0019815,0001182,0001320,0007475,0008546,0018165,001024,003,000,0512
0006863,0000761,0000070,0001006,0005240,0006202,0012714,001024,004,000,0512
0016030,0020341,0001303,0001342,0013576,0013966,0022372,001024,004,000,0512
0006713,0000751,0000060,0001005,0005090,0005831,0012364,001024,001,001,0512
0010710,0019871,0001232,0001340,0007364,0008797,0017763,001024,001,001,0512
0006712,0000741,0000060,0001005,0005070,0005821,0012343,001024,002,001,0512
0010129,0019205,0001132,0001355,0007404,0008476,0018114,001024,002,001,0512
0007484,0000732,0000061,0001006,0005330,0006682,0013375,001024,003,001,0512
0011121,0020093,0001192,0001342,0007685,0009408,0018785,001024,003,001,0512
0007314,0000751,0000060,0001006,0005240,0006612,0013134,001024,004,001,0512
0011852,0019560,0001132,0001356,0008667,0010029,0020218,001024,004,001,0512
0006262,0000741,0000061,0001005,0005059,0005480,0011913,001024,001,002,0512
0010420,0020333,0001102,0001399,0007444,0008196,0017573,001024,001,002,0512
0006863,0000742,0000061,0001006,0005269,0006181,0012694,001024,002,002,0512
0010099,0018430,0001122,0001329,0007363,0008276,0017904,001024,002,002,0512
0006883,0000761,0000061,0001006,0005270,0006192,0012734,001024,003,002,0512
0010469,0020712,0001172,0001327,0007314,0008476,0018074,001024,003,002,0512
0006973,0000742,0000060,0001006,0005250,0006272,0012814,001024,004,002,0512
0011161,0021038,0001132,0001341,0009027,0009388,0019527,001024,004,002,0512
