tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00019524,00019524,010,00039048,001024,001,000,0512
001,00023162,00023162,010,00046324,001024,001,000,0512
002,00028015,00028015,010,00056030,001024,001,000,0512
003,00022744,00022744,010,00045488,001024,001,000,0512
004,00022381,00022381,010,00044762,001024,001,000,0512
005,00025216,00025216,010,00050432,001024,001,000,0512
006,00027876,00027876,010,00055752,001024,001,000,0512
007,00025276,00025276,010,00050552,001024,001,000,0512
008,00025257,00025257,010,00050514,001024,001,000,0512
009,00024989,00024989,010,00049978,001024,001,000,0512
010,00026368,00026368,010,00052736,001024,001,000,0512
011,00025982,00025982,010,00051964,001024,001,000,0512
012,00024960,00024960,010,00049920,001024,001,000,0512
013,00025235,00025235,010,00050470,001024,001,000,0512
014,00020705,00020705,010,00041410,001024,001,000,0512
015,00022270,00022270,010,00044540,001024,001,000,0512
016,00020776,00020776,010,00041552,001024,001,000,0512
017,00022423,00022423,010,00044846,001024,001,000,0512
018,00024727,00024727,010,00049454,001024,001,000,0512
019,00023969,00023969,010,00047938,001024,001,000,0512
020,00024597,00024597,010,00049194,001024,001,000,0512
021,00021299,00021299,010,00042598,001024,001,000,0512
022,00026909,00026909,010,00053818,001024,001,000,0512
023,00022426,00022426,010,00044852,001024,001,000,0512
024,00021728,00021728,010,00043456,001024,001,000,0512
025,00022580,00022580,010,00045160,001024,001,000,0512
026,00026319,00026319,010,00052638,001024,001,000,0512
027,00017975,00017975,010,00035950,001024,001,000,0512
028,00020874,00020874,010,00041748,001024,001,000,0512
029,00020742,00020742,010,00041484,001024,001,000,0512
030,00024767,00024767,010,00049534,001024,001,000,0512
031,00023891,00023891,010,00047782,001024,001,000,0512
000,00024355,00024355,010,00048710,001024,001,001,0512
001,00023891,00023891,010,00047782,001024,001,001,0512
002,00024431,00024431,010,00048862,001024,001,001,0512
003,00025382,00025382,010,00050764,001024,001,001,0512
004,00023335,00023335,010,00046670,001024,001,001,0512
005,00025511,00025511,010,00051022,001024,001,001,0512
006,00018839,00018839,010,00037678,001024,001,001,0512
007,00023975,00023975,010,00047950,001024,001,001,0512
008,00024556,00024556,010,00049112,001024,001,001,0512
009,00023413,00023413,010,00046826,001024,001,001,0512
010,00021410,00021410,010,00042820,001024,001,001,0512
011,00021833,00021833,010,00043666,001024,001,001,0512
012,00019009,00019009,010,00038018,001024,001,001,0512
013,00024282,00024282,010,00048564,001024,001,001,0512
014,00025378,00025378,010,00050756,001024,001,001,0512
015,00024032,00024032,010,00048064,001024,001,001,0512
016,00021798,00021798,010,00043596,001024,001,001,0512
017,00027368,00027368,010,00054736,001024,001,001,0512
018,00020694,00020694,010,00041388,001024,001,001,0512
019,00021417,00021417,010,00042834,001024,001,001,0512
020,00026988,00026988,010,00053976,001024,001,001,0512
021,00029279,00029279,010,00058558,001024,001,001,0512
022,00021437,00021437,010,00042874,001024,001,001,0512
023,00025978,00025978,010,00051956,001024,001,001,0512
024,00020153,00020153,010,00040306,001024,001,001,0512
025,00026262,00026262,010,00052524,001024,001,001,0512
026,00026405,00026405,010,00052810,001024,001,001,0512
027,00025324,00025324,010,00050648,001024,001,001,0512
028,00022534,00022534,010,00045068,001024,001,001,0512
029,00024763,00024763,010,00049526,001024,001,001,0512
030,00022733,00022733,010,00045466,001024,001,001,0512
031,00024622,00024622,010,00049244,001024,001,001,0512
000,00024191,00024191,010,00048382,001024,001,002,0512
001,00024990,00024990,010,00049980,001024,001,002,0512
002,00021211,00021211,010,00042422,001024,001,002,0512
003,00022758,00022758,010,00045516,001024,001,002,0512
004,00025900,00025900,010,00051800,001024,001,002,0512
005,00022788,00022788,010,00045576,001024,001,002,0512
006,00025412,00025412,010,00050824,001024,001,002,0512
007,00024361,00024361,010,00048722,001024,001,002,0512
008,00025870,00025870,010,00051740,001024,001,002,0512
009,00021354,00021354,010,00042708,001024,001,002,0512
010,00021530,00021530,010,00043060,001024,001,002,0512
011,00022292,00022292,010,00044584,001024,001,002,0512
012,00028428,00028428,010,00056856,001024,001,002,0512
013,00023148,00023148,010,00046296,001024,001,002,0512
014,00027343,00027343,010,00054686,001024,001,002,0512
015,00020200,00020200,010,00040400,001024,001,002,0512
016,00022560,00022560,010,00045120,001024,001,002,0512
017,00027048,00027048,010,00054096,001024,001,002,0512
018,00021497,00021497,010,00042994,001024,001,002,0512
019,00027297,00027297,010,00054594,001024,001,002,0512
020,00017288,00017288,010,00034576,001024,001,002,0512
021,00021956,00021956,010,00043912,001024,001,002,0512
022,00019795,00019795,010,00039590,001024,001,002,0512
023,00026079,00026079,010,00052158,001024,001,002,0512
024,00018498,00018498,010,00036996,001024,001,002,0512
025,00028645,00028645,010,00057290,001024,001,002,0512
026,00025039,00025039,010,00050078,001024,001,002,0512
027,00019606,00019606,010,00039212,001024,001,002,0512
028,00030738,00030738,010,00061476,001024,001,002,0512
029,00024428,00024428,010,00048856,001024,001,002,0512
030,00023255,00023255,010,00046510,001024,001,002,0512
031,00025775,00025775,010,00051550,001024,001,002,0512
