tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00010688,00010688,010,00052355,001024,001,000,0512
001,00009886,00009886,010,00049977,001024,001,000,0512
002,00009806,00009806,010,00049151,001024,001,000,0512
003,00011688,00011688,010,00058616,001024,001,000,0512
004,00009542,00009542,010,00047082,001024,001,000,0512
005,00008240,00008240,010,00041671,001024,001,000,0512
006,00007995,00007995,010,00038373,001024,001,000,0512
007,00009831,00009831,010,00049497,001024,001,000,0512
008,00011314,00011314,010,00058428,001024,001,000,0512
009,00007973,00007973,010,00039173,001024,001,000,0512
010,00007673,00007673,010,00038104,001024,001,000,0512
011,00009005,00009005,010,00043269,001024,001,000,0512
012,00009502,00009502,010,00046625,001024,001,000,0512
013,00011197,00011197,010,00055694,001024,001,000,0512
014,00008076,00008076,010,00040154,001024,001,000,0512
015,00008406,00008406,010,00040704,001024,001,000,0512
016,00009827,00009827,010,00047994,001024,001,000,0512
017,00009589,00009589,010,00048009,001024,001,000,0512
018,00009834,00009834,010,00048249,001024,001,000,0512
019,00009736,00009736,010,00048587,001024,001,000,0512
020,00006949,00006949,010,00033926,001024,001,000,0512
021,00009359,00009359,010,00045528,001024,001,000,0512
022,00011211,00011211,010,00054716,001024,001,000,0512
023,00009412,00009412,010,00045381,001024,001,000,0512
024,00008277,00008277,010,00041309,001024,001,000,0512
025,00008043,00008043,010,00040449,001024,001,000,0512
026,00010390,00010390,010,00051101,001024,001,000,0512
027,00010489,00010489,010,00052331,001024,001,000,0512
028,00008102,00008102,010,00039161,001024,001,000,0512
029,00010094,00010094,010,00050663,001024,001,000,0512
030,00013516,00013516,010,00066014,001024,001,000,0512
031,00010417,00010417,010,00050487,001024,001,000,0512
000,00010960,00010960,010,00056324,001024,002,000,0512
001,00010473,00010473,010,00051554,001024,002,000,0512
002,00007181,00007181,010,00035310,001024,002,000,0512
003,00010309,00010309,010,00050325,001024,002,000,0512
004,00010097,00010097,010,00049676,001024,002,000,0512
005,00009158,00009158,010,00045578,001024,002,000,0512
006,00009214,00009214,010,00044304,001024,002,000,0512
007,00009817,00009817,010,00048375,001024,002,000,0512
008,00010715,00010715,010,00052599,001024,002,000,0512
009,00011743,00011743,010,00056998,001024,002,000,0512
010,00009762,00009762,010,00047411,001024,002,000,0512
011,00009576,00009576,010,00047765,001024,002,000,0512
012,00009771,00009771,010,00048399,001024,002,000,0512
013,00009825,00009825,010,00048011,001024,002,000,0512
014,00009269,00009269,010,00045510,001024,002,000,0512
015,00010276,00010276,010,00050475,001024,002,000,0512
016,00007618,00007618,010,00037521,001024,002,000,0512
017,00008920,00008920,010,00044658,001024,002,000,0512
018,00008125,00008125,010,00039130,001024,002,000,0512
019,00010043,00010043,010,00048403,001024,002,000,0512
020,00008760,00008760,010,00043788,001024,002,000,0512
021,00012026,00012026,010,00059288,001024,002,000,0512
022,00010493,00010493,010,00052461,001024,002,000,0512
023,00009618,00009618,010,00047969,001024,002,000,0512
024,00008836,00008836,010,00044251,001024,002,000,0512
025,00008962,00008962,010,00043549,001024,002,000,0512
026,00008755,00008755,010,00044079,001024,002,000,0512
027,00009814,00009814,010,00050163,001024,002,000,0512
028,00007770,00007770,010,00037603,001024,002,000,0512
029,00008711,00008711,010,00043087,001024,002,000,0512
030,00011156,00011156,010,00054915,001024,002,000,0512
031,00008240,00008240,010,00040279,001024,002,000,0512
