tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00008113,00008113,010,00051312,001024,001,000,0512
001,00017663,00017663,010,00109969,001024,001,000,0512
002,00018145,00018145,010,00102161,001024,001,000,0512
003,00008450,00008450,010,00053271,001024,001,000,0512
004,00004619,00004619,010,00027577,001024,001,000,0512
005,00009817,00009817,010,00055117,001024,001,000,0512
006,00018158,00018158,010,00102565,001024,001,000,0512
007,00012392,00012392,010,00070150,001024,001,000,0512
008,00010693,00010693,010,00060368,001024,001,000,0512
009,00007119,00007119,010,00041104,001024,001,000,0512
010,00004871,00004871,010,00030353,001024,001,000,0512
011,00018655,00018655,010,00104520,001024,001,000,0512
012,00003951,00003951,010,00023339,001024,001,000,0512
013,00004169,00004169,010,00025364,001024,001,000,0512
014,00014110,00014110,010,00079024,001024,001,000,0512
015,00009432,00009432,010,00052785,001024,001,000,0512
016,00016336,00016336,010,00099680,001024,001,000,0512
017,00007504,00007504,010,00046177,001024,001,000,0512
018,00008594,00008594,010,00048176,001024,001,000,0512
019,00006385,00006385,010,00038027,001024,001,000,0512
020,00022998,00022998,010,00129116,001024,001,000,0512
021,00004718,00004718,010,00028876,001024,001,000,0512
022,00008458,00008458,010,00047071,001024,001,000,0512
023,00005024,00005024,010,00030871,001024,001,000,0512
024,00016768,00016768,010,00100759,001024,001,000,0512
025,00012083,00012083,010,00067949,001024,001,000,0512
026,00010396,00010396,010,00059400,001024,001,000,0512
027,00008550,00008550,010,00052944,001024,001,000,0512
028,00007258,00007258,010,00040658,001024,001,000,0512
029,00009780,00009780,010,00059820,001024,001,000,0512
030,00004631,00004631,010,00026676,001024,001,000,0512
031,00001952,00001952,010,00011724,001024,001,000,0512
000,00003176,00003176,010,00019611,001024,002,000,0512
001,00018395,00018395,010,00115624,001024,002,000,0512
002,00007801,00007801,010,00043678,001024,002,000,0512
003,00024156,00024156,010,00152248,001024,002,000,0512
004,00005424,00005424,010,00030250,001024,002,000,0512
005,00012760,00012760,010,00074002,001024,002,000,0512
006,00006022,00006022,010,00037524,001024,002,000,0512
007,00009366,00009366,010,00057198,001024,002,000,0512
008,00009196,00009196,010,00052858,001024,002,000,0512
009,00014347,00014347,010,00081730,001024,002,000,0512
010,00006225,00006225,010,00039741,001024,002,000,0512
011,00013897,00013897,010,00079864,001024,002,000,0512
012,00005802,00005802,010,00033498,001024,002,000,0512
013,00007752,00007752,010,00047713,001024,002,000,0512
014,00005099,00005099,010,00031951,001024,002,000,0512
015,00006887,00006887,010,00037872,001024,002,000,0512
016,00009534,00009534,010,00060848,001024,002,000,0512
017,00007918,00007918,010,00044074,001024,002,000,0512
018,00011423,00011423,010,00072463,001024,002,000,0512
019,00023219,00023219,010,00146104,001024,002,000,0512
020,00009418,00009418,010,00053391,001024,002,000,0512
021,00006180,00006180,010,00040151,001024,002,000,0512
022,00003430,00003430,010,00019383,001024,002,000,0512
023,00021692,00021692,010,00121668,001024,002,000,0512
024,00005621,00005621,010,00033895,001024,002,000,0512
025,00007334,00007334,010,00045699,001024,002,000,0512
026,00009933,00009933,010,00059093,001024,002,000,0512
027,00010803,00010803,010,00061312,001024,002,000,0512
028,00013673,00013673,010,00084330,001024,002,000,0512
029,00007337,00007337,010,00041398,001024,002,000,0512
030,00008230,00008230,010,00051360,001024,002,000,0512
031,00005352,00005352,010,00029943,001024,002,000,0512
000,00007482,00007482,010,00044154,001024,003,000,0512
001,00005314,00005314,010,00036711,001024,003,000,0512
002,00007632,00007632,010,00051568,001024,003,000,0512
003,00005349,00005349,010,00031853,001024,003,000,0512
004,00009717,00009717,010,00064356,001024,003,000,0512
005,00009069,00009069,010,00055359,001024,003,000,0512
006,00006783,00006783,010,00040407,001024,003,000,0512
007,00010001,00010001,010,00068663,001024,003,000,0512
008,00008161,00008161,010,00055420,001024,003,000,0512
009,00006979,00006979,010,00047644,001024,003,000,0512
010,00005365,00005365,010,00031927,001024,003,000,0512
011,00008943,00008943,010,00054045,001024,003,000,0512
012,00009037,00009037,010,00054207,001024,003,000,0512
013,00021961,00021961,010,00155352,001024,003,000,0512
014,00007792,00007792,010,00045777,001024,003,000,0512
015,00021494,00021494,010,00151707,001024,003,000,0512
016,00009113,00009113,010,00056436,001024,003,000,0512
017,00007905,00007905,010,00054784,001024,003,000,0512
018,00007753,00007753,010,00054282,001024,003,000,0512
019,00008787,00008787,010,00051607,001024,003,000,0512
020,00003861,00003861,010,00023049,001024,003,000,0512
021,00008897,00008897,010,00052299,001024,003,000,0512
022,00007643,00007643,010,00053780,001024,003,000,0512
023,00007239,00007239,010,00047537,001024,003,000,0512
024,00011045,00011045,010,00065550,001024,003,000,0512
025,00010096,00010096,010,00067235,001024,003,000,0512
026,00018890,00018890,010,00131849,001024,003,000,0512
027,00011533,00011533,010,00077255,001024,003,000,0512
028,00009089,00009089,010,00054489,001024,003,000,0512
029,00017598,00017598,010,00116981,001024,003,000,0512
030,00020058,00020058,010,00122190,001024,003,000,0512
031,00006834,00006834,010,00040560,001024,003,000,0512
000,00013615,00013615,010,00077213,001024,004,000,0512
001,00009730,00009730,010,00056555,001024,004,000,0512
002,00010202,00010202,010,00062000,001024,004,000,0512
003,00011831,00011831,010,00066648,001024,004,000,0512
004,00016326,00016326,010,00099883,001024,004,000,0512
005,00003117,00003117,010,00017332,001024,004,000,0512
006,00005818,00005818,010,00036705,001024,004,000,0512
007,00010401,00010401,010,00058464,001024,004,000,0512
