tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00049560,00049560,010,00059942,001024,001,000,0512
001,00048976,00048976,010,00059088,001024,001,000,0512
002,00049716,00049716,010,00060168,001024,001,000,0512
003,00049598,00049598,010,00059606,001024,001,000,0512
004,00049251,00049251,010,00059450,001024,001,000,0512
005,00049519,00049519,010,00060040,001024,001,000,0512
006,00049495,00049495,010,00059536,001024,001,000,0512
007,00049327,00049327,010,00059462,001024,001,000,0512
008,00049223,00049223,010,00059208,001024,001,000,0512
009,00049802,00049802,010,00060058,001024,001,000,0512
010,00049386,00049386,010,00059878,001024,001,000,0512
011,00048926,00048926,010,00058686,001024,001,000,0512
012,00049736,00049736,010,00060132,001024,001,000,0512
013,00049310,00049310,010,00059628,001024,001,000,0512
014,00049762,00049762,010,00060046,001024,001,000,0512
015,00049353,00049353,010,00059890,001024,001,000,0512
016,00049694,00049694,010,00059732,001024,001,000,0512
017,00049098,00049098,010,00059478,001024,001,000,0512
018,00049842,00049842,010,00060068,001024,001,000,0512
019,00049429,00049429,010,00059782,001024,001,000,0512
020,00049802,00049802,010,00060488,001024,001,000,0512
021,00049445,00049445,010,00059910,001024,001,000,0512
022,00049353,00049353,010,00059216,001024,001,000,0512
023,00049235,00049235,010,00059368,001024,001,000,0512
024,00049640,00049640,010,00059688,001024,001,000,0512
025,00049578,00049578,010,00059864,001024,001,000,0512
026,00049505,00049505,010,00059452,001024,001,000,0512
027,00049345,00049345,010,00059796,001024,001,000,0512
028,00050356,00050356,010,00061396,001024,001,000,0512
029,00049624,00049624,010,00060378,001024,001,000,0512
030,00049657,00049657,010,00059796,001024,001,000,0512
031,00049541,00049541,010,00060090,001024,001,000,0512
000,00049677,00049677,010,00059872,001024,001,001,0512
001,00049261,00049261,010,00059044,001024,001,001,0512
002,00049683,00049683,010,00060444,001024,001,001,0512
003,00049406,00049406,010,00059738,001024,001,001,0512
004,00049181,00049181,010,00059040,001024,001,001,0512
005,00049380,00049380,010,00059706,001024,001,001,0512
006,00049428,00049428,010,00059570,001024,001,001,0512
007,00049241,00049241,010,00059446,001024,001,001,0512
008,00049232,00049232,010,00059208,001024,001,001,0512
009,00049561,00049561,010,00059776,001024,001,001,0512
010,00049515,00049515,010,00059324,001024,001,001,0512
011,00048879,00048879,010,00058806,001024,001,001,0512
012,00049755,00049755,010,00059824,001024,001,001,0512
013,00049256,00049256,010,00059226,001024,001,001,0512
014,00049719,00049719,010,00059976,001024,001,001,0512
015,00049461,00049461,010,00059826,001024,001,001,0512
016,00049651,00049651,010,00059950,001024,001,001,0512
017,00049110,00049110,010,00059094,001024,001,001,0512
018,00049747,00049747,010,00059926,001024,001,001,0512
019,00049352,00049352,010,00059660,001024,001,001,0512
020,00049848,00049848,010,00060304,001024,001,001,0512
021,00049523,00049523,010,00059522,001024,001,001,0512
022,00049393,00049393,010,00059558,001024,001,001,0512
023,00049120,00049120,010,00059352,001024,001,001,0512
024,00049506,00049506,010,00059768,001024,001,001,0512
025,00049549,00049549,010,00060030,001024,001,001,0512
026,00049474,00049474,010,00059318,001024,001,001,0512
027,00049283,00049283,010,00059282,001024,001,001,0512
028,00050417,00050417,010,00061380,001024,001,001,0512
029,00049573,00049573,010,00060384,001024,001,001,0512
030,00049530,00049530,010,00059620,001024,001,001,0512
031,00049547,00049547,010,00059970,001024,001,001,0512
000,00049374,00049374,010,00059504,001024,001,002,0512
001,00048892,00048892,010,00058962,001024,001,002,0512
002,00049441,00049441,010,00059998,001024,001,002,0512
003,00049487,00049487,010,00059782,001024,001,002,0512
004,00048872,00048872,010,00058786,001024,001,002,0512
005,00049393,00049393,010,00059710,001024,001,002,0512
006,00049199,00049199,010,00059100,001024,001,002,0512
007,00049148,00049148,010,00059678,001024,001,002,0512
008,00049047,00049047,010,00058886,001024,001,002,0512
009,00049460,00049460,010,00060068,001024,001,002,0512
010,00049326,00049326,010,00059384,001024,001,002,0512
011,00048711,00048711,010,00058560,001024,001,002,0512
012,00049595,00049595,010,00059952,001024,001,002,0512
013,00049130,00049130,010,00059554,001024,001,002,0512
014,00049557,00049557,010,00059590,001024,001,002,0512
015,00049209,00049209,010,00059474,001024,001,002,0512
016,00049453,00049453,010,00059536,001024,001,002,0512
017,00048706,00048706,010,00058530,001024,001,002,0512
018,00049579,00049579,010,00059918,001024,001,002,0512
019,00049274,00049274,010,00059750,001024,001,002,0512
020,00049620,00049620,010,00060180,001024,001,002,0512
021,00049329,00049329,010,00059914,001024,001,002,0512
022,00049201,00049201,010,00059488,001024,001,002,0512
023,00049087,00049087,010,00059234,001024,001,002,0512
024,00049490,00049490,010,00059688,001024,001,002,0512
025,00049319,00049319,010,00059866,001024,001,002,0512
026,00049245,00049245,010,00059204,001024,001,002,0512
027,00049119,00049119,010,00059546,001024,001,002,0512
028,00050062,00050062,010,00061032,001024,001,002,0512
029,00049430,00049430,010,00059906,001024,001,002,0512
030,00049318,00049318,010,00059598,001024,001,002,0512
031,00049321,00049321,010,00059496,001024,001,002,0512
