lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0007073,0000891,0000070,0001005,0005210,0006241,0012835,001024,001,000,0256
0011201,0003072,0000752,0001386,0008196,0009407,0019086,001024,001,000,0256
0007354,0000812,0000060,0001006,0005230,0006623,0013225,001024,002,000,0256
0010981,0002672,0000741,0001307,0007825,0009398,0019187,001024,002,000,0256
0007374,0000801,0000060,0001006,0005240,0006633,0013235,001024,003,000,0256
0012133,0002651,0000741,0001305,0008747,0010279,0019857,001024,003,000,0256
0007404,0000821,0000060,0001006,0005260,0006643,0013285,001024,004,000,0256
0011852,0002637,0000752,0001311,0008506,0010039,0020248,001024,004,000,0256
0007334,0000812,0000060,0001006,0005260,0006622,0013225,001024,001,001,0256
0010580,0002710,0000721,0001303,0007765,0009238,0018765,001024,001,001,0256
0007324,0000822,0000060,0001006,0005260,0006622,0013224,001024,002,001,0256
0010941,0002713,0000742,0001304,0007805,0009317,0018965,001024,002,001,0256
0007324,0000801,0000060,0001006,0005250,0006613,0013215,001024,003,001,0256
0011632,0002727,0000721,0001307,0008506,0009929,0019276,001024,003,001,0256
0007344,0000812,0000060,0001006,0005270,0006632,0013255,001024,004,001,0256
0012113,0002711,0000731,0001302,0008275,0010029,0020518,001024,004,001,0256
0007314,0000821,0000051,0001006,0005260,0006622,0013215,001024,001,002,0256
0011181,0002704,0000711,0001293,0007865,0009318,0019407,001024,001,002,0256
0007304,0000872,0000070,0001006,0005250,0006612,0013195,001024,002,002,0256
0011441,0002740,0000761,0001290,0007955,0009558,0019407,001024,002,002,0256
0007313,0000802,0000060,0001006,0005250,0006612,0013205,001024,003,002,0256
0011852,0002724,0000751,0001299,0008446,0010190,0019466,001024,003,002,0256
0007324,0000862,0000070,0001006,0005250,0006613,0013235,001024,004,002,0256
0011411,0028857,0000752,0001304,0008606,0009749,0019878,001024,004,002,0256
