lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0007213,0000551,0000050,0001005,0013917,0006552,0013866,001024,001,000,0256
0011371,0094250,0000692,0001161,0020920,0009619,0020388,001024,001,000,0256
0007234,0000601,0000050,0001005,0013966,0006562,0013906,001024,002,000,0256
0011592,0094187,0000701,0001164,0021080,0009688,0020599,001024,002,000,0256
0007204,0000511,0000050,0001005,0013936,0006553,0013877,001024,003,000,0256
0011752,0094203,0000742,0001164,0021159,0010009,0020468,001024,003,000,0256
0007224,0000531,0000050,0001005,0013987,0006562,0013936,001024,004,000,0256
0011792,0094198,0000701,0001158,0021560,0009969,0021049,001024,004,000,0256
0006973,0000501,0000050,0001005,0013546,0006192,0013496,001024,001,001,0256
0011572,0077914,0000692,0001133,0020729,0009889,0020359,001024,001,001,0256
0007243,0000591,0000060,0001005,0013936,0006563,0013877,001024,002,001,0256
0011612,0094187,0000721,0001173,0021200,0009819,0020629,001024,002,001,0256
0007244,0000491,0000050,0001005,0013947,0006572,0013896,001024,003,001,0256
0011912,0094205,0000741,0001172,0021070,0010239,0020628,001024,003,001,0256
0007264,0000641,0000060,0001005,0014026,0006572,0013966,001024,004,001,0256
0012423,0094201,0000712,0001171,0022713,0010459,0022122,001024,004,001,0256
0007194,0000491,0000050,0001005,0013906,0006543,0013856,001024,001,002,0256
0013034,0094205,0000711,0001177,0022984,0011231,0021961,001024,001,002,0256
0007204,0000531,0000050,0001005,0013906,0006552,0013846,001024,002,002,0256
0012964,0094191,0000712,0001176,0023674,0010861,0022633,001024,002,002,0256
0006943,0000501,0000050,0001005,0013526,0006181,0013476,001024,003,002,0256
0013105,0094174,0000701,0001140,0023884,0011391,0022753,001024,003,002,0256
0007224,0000521,0000050,0001005,0013936,0006553,0013876,001024,004,002,0256
0014227,0094206,0000691,0001178,0025668,0012263,0024356,001024,004,002,0256
