lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0006933,0000611,0000040,0001005,0005260,0006312,0012473,001024,001,000,0512
0013275,0373656,0001092,0030157,0007675,0009659,0019657,001024,001,000,0512
0006943,0000641,0000040,0001005,0005260,0006312,0012464,001024,002,000,0512
0013325,0340148,0001102,0032002,0008055,0010751,0018745,001024,002,000,0512
0007073,0000611,0000060,0001005,0005320,0006372,0012684,001024,003,000,0512
0015829,0398008,0001152,0025725,0009678,0012233,0021931,001024,003,000,0512
0006652,0000551,0000040,0001005,0005180,0005981,0012173,001024,004,000,0512
0024627,0367428,0001052,0036743,0008917,0011471,0025598,001024,004,000,0512
0006963,0000621,0000040,0001005,0005260,0006332,0012474,001024,001,001,0512
0013646,0340151,0001102,0028189,0008155,0011171,0019287,001024,001,001,0512
0006993,0000641,0000040,0001005,0005250,0006331,0012523,001024,002,001,0512
0014497,0336509,0001082,0029976,0008566,0011471,0020158,001024,002,001,0512
0007103,0000631,0000060,0001005,0005310,0006392,0012724,001024,003,001,0512
0016951,0397756,0001192,0029040,0008546,0011853,0022592,001024,003,001,0512
0006662,0000551,0000050,0001005,0005149,0006022,0012163,001024,004,001,0512
0016441,0392498,0001112,0033896,0008386,0011521,0020869,001024,004,001,0512
0006924,0000571,0000040,0001005,0005250,0006312,0012443,001024,001,002,0512
0013646,0359466,0001072,0029171,0007645,0010750,0019417,001024,001,002,0512
0006973,0000612,0000040,0001005,0005250,0006322,0012494,001024,002,002,0512
0013395,0373731,0001082,0029885,0007364,0010359,0018836,001024,002,002,0512
0006683,0000591,0000040,0001005,0005180,0006031,0012233,001024,003,002,0512
0025398,0349048,0001062,0034568,0008857,0011692,0023885,001024,003,002,0512
0007103,0000651,0000060,0001005,0005320,0006392,0012714,001024,004,002,0512
0017322,0348333,0001202,0027516,0008226,0012584,0022553,001024,004,002,0512
