lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0007073,0000351,0000030,0001005,0005280,0006352,0012964,001024,001,000,0512
0010289,0004310,0000782,0001276,0008025,0008566,0017834,001024,001,000,0512
0007053,0000350,0000030,0001005,0005270,0006332,0012925,001024,002,000,0512
0010259,0004288,0000761,0001276,0007875,0008556,0017883,001024,002,000,0512
0006693,0000321,0000030,0001005,0005150,0005891,0012423,001024,003,000,0512
0011261,0004590,0000741,0001322,0008617,0009588,0019166,001024,003,000,0512
0007173,0000371,0000040,0001006,0005340,0006412,0013134,001024,004,000,0512
0013095,0004296,0000811,0001272,0008746,0010850,0021580,001024,004,000,0512
0007043,0000351,0000030,0001005,0005270,0006332,0012914,001024,001,001,0512
0009969,0004270,0000781,0001286,0007784,0008456,0017584,001024,001,001,0512
0007064,0000351,0000030,0001005,0005280,0006342,0012954,001024,002,001,0512
0010420,0004263,0000772,0001279,0008015,0008676,0017994,001024,002,001,0512
0006713,0000331,0000030,0001005,0005180,0005911,0012483,001024,003,001,0512
0010790,0004736,0000752,0001335,0008546,0008907,0018745,001024,003,001,0512
0007163,0000370,0000040,0001006,0005330,0006402,0013115,001024,004,001,0512
0012644,0004254,0000791,0001271,0008777,0010450,0021029,001024,004,001,0512
0007043,0000351,0000030,0001005,0005280,0006342,0012935,001024,001,002,0512
0009679,0004311,0000772,0001285,0007715,0008356,0017233,001024,001,002,0512
0007073,0000350,0000030,0001005,0005280,0006342,0012955,001024,002,002,0512
0010660,0004276,0000771,0001276,0007996,0008707,0018114,001024,002,002,0512
0006732,0000330,0000030,0001005,0005170,0005911,0012483,001024,003,002,0512
0011181,0004748,0000751,0001331,0008807,0009288,0018996,001024,003,002,0512
0007163,0000371,0000040,0001006,0005340,0006402,0013115,001024,004,002,0512
0013175,0004235,0000801,0001271,0009087,0010610,0021541,001024,004,002,0512
