tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00086500,00086500,010,00131104,00020948,001024,001,000,0512
001,00084342,00084342,010,00127540,00020572,001024,001,000,0512
002,00084463,00084463,010,00127808,00020559,001024,001,000,0512
003,00085642,00085642,010,00129124,00021080,001024,001,000,0512
004,00085857,00085857,010,00129572,00021071,001024,001,000,0512
005,00085558,00085558,010,00128820,00021148,001024,001,000,0512
006,00084159,00084159,010,00127088,00020615,001024,001,000,0512
007,00085991,00085991,010,00130114,00020934,001024,001,000,0512
008,00084236,00084236,010,00127600,00020436,001024,001,000,0512
009,00086010,00086010,010,00129856,00021082,001024,001,000,0512
010,00085529,00085529,010,00129064,00020997,001024,001,000,0512
011,00084278,00084278,010,00127628,00020464,001024,001,000,0512
012,00084469,00084469,010,00128022,00020458,001024,001,000,0512
013,00085715,00085715,010,00129476,00020977,001024,001,000,0512
014,00083886,00083886,010,00126864,00020454,001024,001,000,0512
015,00083967,00083967,010,00127030,00020452,001024,001,000,0512
016,00084107,00084107,010,00127592,00020311,001024,001,000,0512
017,00085785,00085785,010,00129486,00021042,001024,001,000,0512
018,00085526,00085526,010,00129440,00020806,001024,001,000,0512
019,00085871,00085871,010,00129844,00020949,001024,001,000,0512
020,00085983,00085983,010,00130220,00020873,001024,001,000,0512
021,00084244,00084244,010,00127550,00020469,001024,001,000,0512
022,00085849,00085849,010,00129800,00020949,001024,001,000,0512
023,00084379,00084379,010,00127848,00020455,001024,001,000,0512
024,00083438,00083438,010,00126102,00020387,001024,001,000,0512
025,00084610,00084610,010,00128448,00020386,001024,001,000,0512
026,00085705,00085705,010,00129458,00020976,001024,001,000,0512
027,00084185,00084185,010,00127550,00020410,001024,001,000,0512
028,00085777,00085777,010,00130132,00020711,001024,001,000,0512
029,00083967,00083967,010,00127148,00020393,001024,001,000,0512
030,00084278,00084278,010,00127340,00020608,001024,001,000,0512
031,00085453,00085453,010,00129134,00020886,001024,001,000,0512
000,00094241,00094241,010,00143204,00022639,001024,001,001,0512
001,00097880,00097880,010,00148024,00023868,001024,001,001,0512
002,00093794,00093794,010,00141738,00022925,001024,001,001,0512
003,00093705,00093705,010,00141822,00022794,001024,001,001,0512
