tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00049668,00049668,010,00178154,00010305,001024,001,000,0512
001,00000020,00000020,010,00000423,00000002,001024,001,000,0512
002,00049322,00049322,010,00161590,00010454,001024,001,000,0512
003,00000012,00000012,010,00000018,00000003,001024,001,000,0512
004,00048764,00048764,010,00167212,00010355,001024,001,000,0512
005,00000010,00000010,010,00000203,00000002,001024,001,000,0512
006,00048598,00048598,010,00165272,00010497,001024,001,000,0512
007,00049353,00049353,010,00165009,00010423,001024,001,000,0512
008,00049062,00049062,010,00174429,00010429,001024,001,000,0512
009,00000015,00000015,010,00000021,00000005,001024,001,000,0512
010,00000013,00000013,010,00000116,00000003,001024,001,000,0512
011,00048722,00048722,010,00172419,00010327,001024,001,000,0512
012,00000017,00000017,010,00000076,00000002,001024,001,000,0512
013,00000013,00000013,010,00000018,00000005,001024,001,000,0512
014,00049111,00049111,010,00178062,00010382,001024,001,000,0512
015,00048946,00048946,010,00167575,00010338,001024,001,000,0512
016,00000013,00000013,010,00000041,00000002,001024,001,000,0512
017,00000020,00000020,010,00000028,00000006,001024,001,000,0512
018,00000008,00000008,010,00000006,00000005,001024,001,000,0512
019,00000007,00000007,010,00000006,00000004,001024,001,000,0512
020,00000018,00000018,010,00000028,00000005,001024,001,000,0512
021,00049309,00049309,010,00176012,00010406,001024,001,000,0512
022,00000025,00000025,010,00000044,00000003,001024,001,000,0512
023,00049116,00049116,010,00175053,00010290,001024,001,000,0512
024,00048570,00048570,010,00172402,00010317,001024,001,000,0512
025,00049024,00049024,010,00171529,00010242,001024,001,000,0512
026,00049161,00049161,010,00171656,00010526,001024,001,000,0512
027,00000013,00000013,010,00000022,00000003,001024,001,000,0512
028,00050065,00050065,010,00171279,00010548,001024,001,000,0512
029,00048975,00048975,010,00167205,00010311,001024,001,000,0512
030,00000010,00000010,010,00000014,00000003,001024,001,000,0512
031,00000029,00000029,010,00000183,00000002,001024,001,000,0512
