lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0007514,0000761,0000040,0001006,0005300,0006673,0013165,001024,001,000,0512
0011351,0003603,0000982,0002172,0008546,0009829,0018555,001024,001,000,0512
0007575,0000771,0000040,0001006,0005370,0006713,0013305,001024,002,000,0512
0011031,0003355,0000992,0002046,0008626,0009789,0018314,001024,002,000,0512
0007624,0000802,0000060,0001006,0005370,0006733,0013375,001024,003,000,0512
0013776,0003447,0001062,0002044,0009678,0011962,0021590,001024,003,000,0512
0007093,0000732,0000041,0001005,0005159,0006231,0012634,001024,004,000,0512
0011201,0004493,0000972,0002584,0008075,0009498,0018355,001024,004,000,0512
0007564,0000772,0000040,0001006,0005330,0006723,0013265,001024,001,001,0512
0011392,0003646,0000922,0002160,0008656,0010039,0018485,001024,001,001,0512
0007594,0000772,0000040,0001006,0005340,0006742,0013305,001024,002,001,0512
0010931,0003614,0000972,0002153,0008435,0009798,0018134,001024,002,001,0512
0007674,0000821,0000060,0001006,0005390,0006783,0013436,001024,003,001,0512
0013686,0003394,0001083,0002043,0009458,0011622,0021250,001024,003,001,0512
0007143,0000742,0000040,0001005,0005160,0006302,0012704,001024,004,001,0512
0010750,0004578,0000962,0002585,0007865,0009327,0017624,001024,004,001,0512
0007484,0000742,0000040,0001006,0005260,0006662,0013105,001024,001,002,0512
0011412,0003756,0000952,0002170,0008496,0009959,0018515,001024,001,002,0512
0007584,0000772,0000040,0001006,0005350,0006733,0013315,001024,002,002,0512
0011462,0003653,0000932,0002136,0008707,0010169,0018435,001024,002,002,0512
0007695,0000831,0000060,0001006,0005420,0006793,0013496,001024,003,002,0512
0013295,0003436,0001082,0002035,0009628,0011382,0020829,001024,003,002,0512
0007114,0000742,0000041,0001005,0005160,0006292,0012684,001024,004,002,0512
0010851,0004510,0000962,0002573,0007825,0009407,0017793,001024,004,002,0512
