lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0007544,0000882,0000060,0001005,0014468,0006713,0014147,001024,001,000,0512
0012163,0010609,0001102,0002111,0021631,0010460,0020278,001024,001,000,0512
0007545,0000902,0000060,0001005,0014458,0006712,0014137,001024,002,000,0512
0012123,0010690,0001112,0002192,0021691,0010439,0020238,001024,002,000,0512
0007654,0001001,0000080,0001005,0014658,0006773,0014337,001024,003,000,0512
0016381,0010385,0001223,0002091,0026610,0013856,0024687,001024,003,000,0512
0007134,0000902,0000060,0001005,0013776,0006292,0013535,001024,004,000,0512
0012203,0009913,0001102,0002042,0021531,0010179,0019998,001024,004,000,0512
0007555,0000892,0000060,0001005,0014487,0006723,0014166,001024,001,001,0512
0011451,0010647,0001112,0002132,0020469,0009908,0019787,001024,001,001,0512
0007564,0000912,0000060,0001005,0014477,0006722,0014147,001024,002,001,0512
0011171,0010210,0001092,0002103,0020289,0009888,0019607,001024,002,001,0512
0007685,0001001,0000080,0001005,0014708,0006793,0014377,001024,003,001,0512
0014247,0010542,0001222,0002114,0024827,0012263,0023093,001024,003,001,0512
0007133,0000892,0000060,0001005,0013766,0006302,0013526,001024,004,001,0512
0011261,0009935,0001142,0002081,0020729,0009518,0019637,001024,004,001,0512
0007584,0000901,0000060,0001005,0014498,0006733,0014177,001024,001,002,0512
0011281,0010440,0001092,0002115,0020519,0009899,0019728,001024,001,002,0512
0007564,0000892,0000060,0001005,0014477,0006723,0014147,001024,002,002,0512
0011301,0010545,0001112,0002176,0020418,0009898,0019777,001024,002,002,0512
0007674,0001001,0000080,0001005,0014708,0006803,0014377,001024,003,002,0512
0014828,0010478,0001243,0002097,0025238,0012484,0023584,001024,003,002,0512
0007144,0000922,0000060,0001005,0013816,0006332,0013565,001024,004,002,0512
0012433,0009972,0001122,0002083,0023815,0010370,0021550,001024,004,002,0512
