tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00024346,00024346,010,00091297,00005146,001024,001,000,0512
001,00023944,00023944,010,00084262,00005200,001024,001,000,0512
002,00024273,00024273,010,00071417,00005154,001024,001,000,0512
003,00023924,00023924,010,00090848,00005184,001024,001,000,0512
004,00024121,00024121,010,00071244,00005174,001024,001,000,0512
005,00023585,00023585,010,00065809,00005184,001024,001,000,0512
006,00023465,00023465,010,00085717,00005120,001024,001,000,0512
007,00024160,00024160,010,00070858,00005164,001024,001,000,0512
008,00024053,00024053,010,00090367,00005156,001024,001,000,0512
009,00024194,00024194,010,00073131,00005184,001024,001,000,0512
010,00024290,00024290,010,00088726,00005162,001024,001,000,0512
011,00024050,00024050,010,00071369,00005146,001024,001,000,0512
012,00024218,00024218,010,00087295,00005142,001024,001,000,0512
013,00024217,00024217,010,00070708,00005185,001024,001,000,0512
014,00024205,00024205,010,00087294,00005244,001024,001,000,0512
015,00024091,00024091,010,00072340,00005174,001024,001,000,0512
016,00024708,00024708,010,00088105,00005152,001024,001,000,0512
017,00024248,00024248,010,00071343,00005151,001024,001,000,0512
018,00024354,00024354,010,00087483,00005217,001024,001,000,0512
019,00024385,00024385,010,00073406,00005130,001024,001,000,0512
020,00024800,00024800,010,00088795,00005230,001024,001,000,0512
021,00024044,00024044,010,00070187,00005177,001024,001,000,0512
022,00024036,00024036,010,00083942,00005223,001024,001,000,0512
023,00024389,00024389,010,00074055,00005164,001024,001,000,0512
024,00024039,00024039,010,00089471,00005192,001024,001,000,0512
025,00024145,00024145,010,00070182,00005195,001024,001,000,0512
026,00023967,00023967,010,00089843,00005179,001024,001,000,0512
027,00024381,00024381,010,00074438,00005165,001024,001,000,0512
028,00024776,00024776,010,00087059,00005242,001024,001,000,0512
029,00023921,00023921,010,00073685,00005052,001024,001,000,0512
030,00024055,00024055,010,00091730,00005118,001024,001,000,0512
031,00024255,00024255,010,00070729,00005190,001024,001,000,0512
000,00024547,00024547,010,00091457,00005254,001024,002,000,0512
001,00024854,00024854,010,00070338,00005312,001024,002,000,0512
002,00025046,00025046,010,00090170,00005264,001024,002,000,0512
003,00025067,00025067,010,00073779,00005327,001024,002,000,0512
004,00025146,00025146,010,00084309,00005296,001024,002,000,0512
005,00024572,00024572,010,00071893,00005340,001024,002,000,0512
006,00024842,00024842,010,00073768,00005284,001024,002,000,0512
007,00024946,00024946,010,00092436,00005278,001024,002,000,0512
008,00024879,00024879,010,00072763,00005314,001024,002,000,0512
009,00024392,00024392,010,00073230,00005195,001024,002,000,0512
010,00024508,00024508,010,00086141,00005242,001024,002,000,0512
011,00025000,00025000,010,00088237,00005294,001024,002,000,0512
012,00024865,00024865,010,00086438,00005292,001024,002,000,0512
013,00024767,00024767,010,00082288,00005281,001024,002,000,0512
014,00024832,00024832,010,00073652,00005287,001024,002,000,0512
015,00024909,00024909,010,00072640,00005276,001024,002,000,0512
016,00024389,00024389,010,00088681,00005269,001024,002,000,0512
