tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00067987,00067987,010,00105554,00015210,001024,001,000,0512
001,00066243,00066243,010,00102274,00015106,001024,001,000,0512
002,00066396,00066396,010,00102926,00014933,001024,001,000,0512
003,00067484,00067484,010,00104378,00015295,001024,001,000,0512
004,00066805,00066805,010,00103136,00015237,001024,001,000,0512
005,00066147,00066147,010,00101942,00015176,001024,001,000,0512
006,00066491,00066491,010,00102832,00015075,001024,001,000,0512
007,00067161,00067161,010,00103982,00015170,001024,001,000,0512
008,00066761,00066761,010,00103450,00015036,001024,001,000,0512
009,00066708,00066708,010,00103444,00014986,001024,001,000,0512
010,00066537,00066537,010,00103044,00015015,001024,001,000,0512
011,00065696,00065696,010,00101360,00015016,001024,001,000,0512
012,00066830,00066830,010,00103374,00015143,001024,001,000,0512
013,00068188,00068188,010,00105434,00015471,001024,001,000,0512
014,00067094,00067094,010,00103858,00015165,001024,001,000,0512
015,00067092,00067092,010,00103656,00015264,001024,001,000,0512
016,00067227,00067227,010,00104140,00015157,001024,001,000,0512
017,00068044,00068044,010,00105312,00015388,001024,001,000,0512
018,00067041,00067041,010,00103708,00015187,001024,001,000,0512
019,00066063,00066063,010,00102378,00014874,001024,001,000,0512
020,00067358,00067358,010,00104414,00015151,001024,001,000,0512
021,00066358,00066358,010,00102990,00014863,001024,001,000,0512
022,00067169,00067169,010,00104036,00015151,001024,001,000,0512
023,00066697,00066697,010,00103070,00015162,001024,001,000,0512
024,00066105,00066105,010,00101748,00015231,001024,001,000,0512
025,00067005,00067005,010,00103724,00015143,001024,001,000,0512
026,00067363,00067363,010,00104198,00015264,001024,001,000,0512
027,00067552,00067552,010,00104768,00015168,001024,001,000,0512
028,00066966,00066966,010,00103938,00014997,001024,001,000,0512
029,00066611,00066611,010,00103010,00015106,001024,001,000,0512
030,00066094,00066094,010,00102252,00014968,001024,001,000,0512
031,00065938,00065938,010,00102146,00014865,001024,001,000,0512
000,00067057,00067057,010,00104152,00014981,001024,001,001,0512
001,00065342,00065342,010,00100784,00014950,001024,001,001,0512
002,00067956,00067956,010,00105296,00015308,001024,001,001,0512
003,00067515,00067515,010,00104454,00015288,001024,001,001,0512
004,00066405,00066405,010,00102748,00015031,001024,001,001,0512
005,00067573,00067573,010,00104158,00015494,001024,001,001,0512
006,00066539,00066539,010,00103146,00014966,001024,001,001,0512
007,00067124,00067124,010,00103810,00015219,001024,001,001,0512
008,00065535,00065535,010,00101068,00015001,001024,001,001,0512
009,00066011,00066011,010,00102128,00014947,001024,001,001,0512
010,00066901,00066901,010,00103626,00015088,001024,001,001,0512
011,00065634,00065634,010,00101434,00014917,001024,001,001,0512
012,00066394,00066394,010,00102784,00015002,001024,001,001,0512
013,00067132,00067132,010,00103742,00015261,001024,001,001,0512
014,00066627,00066627,010,00103100,00015077,001024,001,001,0512
015,00066871,00066871,010,00103324,00015209,001024,001,001,0512
016,00068622,00068622,010,00106412,00015416,001024,001,001,0512
017,00066737,00066737,010,00103326,00015074,001024,001,001,0512
018,00066342,00066342,010,00102734,00014975,001024,001,001,0512
019,00067998,00067998,010,00105502,00015247,001024,001,001,0512
020,00067166,00067166,010,00104038,00015147,001024,001,001,0512
021,00066728,00066728,010,00103768,00014844,001024,001,001,0512
022,00067330,00067330,010,00104186,00015237,001024,001,001,0512
023,00065848,00065848,010,00101846,00014925,001024,001,001,0512
024,00066725,00066725,010,00103228,00015111,001024,001,001,0512
025,00068625,00068625,010,00106382,00015434,001024,001,001,0512
026,00065542,00065542,010,00101254,00014915,001024,001,001,0512
027,00068442,00068442,010,00106096,00015394,001024,001,001,0512
028,00067580,00067580,010,00105000,00015080,001024,001,001,0512
029,00067718,00067718,010,00104918,00015259,001024,001,001,0512
030,00066606,00066606,010,00103208,00015002,001024,001,001,0512
031,00066008,00066008,010,00102464,00014776,001024,001,001,0512
