tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00024343,00024343,010,00091018,00005068,001024,001,000,0512
001,00023983,00023983,010,00080528,00005156,001024,001,000,0512
002,00024298,00024298,010,00082597,00005125,001024,001,000,0512
003,00023952,00023952,010,00085060,00005175,001024,001,000,0512
004,00024190,00024190,010,00087759,00005037,001024,001,000,0512
005,00023564,00023564,010,00083927,00005028,001024,001,000,0512
006,00023496,00023496,010,00082876,00005133,001024,001,000,0512
007,00024157,00024157,010,00084607,00005071,001024,001,000,0512
008,00024065,00024065,010,00082527,00005169,001024,001,000,0512
009,00024247,00024247,010,00088955,00005069,001024,001,000,0512
010,00024307,00024307,010,00079441,00005215,001024,001,000,0512
011,00024107,00024107,010,00082639,00005091,001024,001,000,0512
012,00024198,00024198,010,00085875,00005062,001024,001,000,0512
013,00024216,00024216,010,00088395,00005116,001024,001,000,0512
014,00024216,00024216,010,00085367,00005156,001024,001,000,0512
015,00024172,00024172,010,00082723,00005144,001024,001,000,0512
016,00024666,00024666,010,00080325,00005125,001024,001,000,0512
017,00024251,00024251,010,00083357,00005039,001024,001,000,0512
018,00024425,00024425,010,00083704,00005262,001024,001,000,0512
019,00024359,00024359,010,00082258,00005117,001024,001,000,0512
020,00024878,00024878,010,00081950,00005171,001024,001,000,0512
021,00024046,00024046,010,00082754,00005043,001024,001,000,0512
022,00024032,00024032,010,00087933,00005137,001024,001,000,0512
023,00024425,00024425,010,00085738,00005088,001024,001,000,0512
024,00024018,00024018,010,00087396,00005072,001024,001,000,0512
025,00024125,00024125,010,00084204,00005122,001024,001,000,0512
026,00024036,00024036,010,00081623,00005204,001024,001,000,0512
027,00024403,00024403,010,00086459,00005082,001024,001,000,0512
028,00024764,00024764,010,00087400,00005190,001024,001,000,0512
029,00023983,00023983,010,00083173,00005091,001024,001,000,0512
030,00024117,00024117,010,00086792,00005105,001024,001,000,0512
031,00024195,00024195,010,00084703,00005144,001024,001,000,0512
000,00024078,00024078,010,00084794,00005105,001024,002,000,0512
001,00024472,00024472,010,00089739,00005163,001024,002,000,0512
002,00024602,00024602,010,00083316,00005173,001024,002,000,0512
003,00024710,00024710,010,00088901,00005130,001024,002,000,0512
004,00024723,00024723,010,00088336,00005126,001024,002,000,0512
005,00024230,00024230,010,00080805,00005139,001024,002,000,0512
006,00024475,00024475,010,00087048,00005195,001024,002,000,0512
007,00024586,00024586,010,00084822,00005148,001024,002,000,0512
008,00024512,00024512,010,00082180,00005260,001024,002,000,0512
009,00024009,00024009,010,00081823,00005138,001024,002,000,0512
010,00024154,00024154,010,00082934,00005178,001024,002,000,0512
011,00024575,00024575,010,00085138,00005129,001024,002,000,0512
012,00024435,00024435,010,00085862,00005138,001024,002,000,0512
013,00024301,00024301,010,00085958,00005079,001024,002,000,0512
014,00024483,00024483,010,00089191,00005122,001024,002,000,0512
015,00024485,00024485,010,00085283,00005110,001024,002,000,0512
016,00023896,00023896,010,00085335,00005162,001024,002,000,0512
017,00024683,00024683,010,00079839,00005188,001024,002,000,0512
018,00024105,00024105,010,00090054,00005093,001024,002,000,0512
019,00024225,00024225,010,00085119,00005058,001024,002,000,0512
020,00024459,00024459,010,00086767,00005169,001024,002,000,0512
021,00024104,00024104,010,00081484,00005163,001024,002,000,0512
022,00024286,00024286,010,00080021,00005214,001024,002,000,0512
023,00024539,00024539,010,00084748,00005175,001024,002,000,0512
024,00024467,00024467,010,00086645,00005116,001024,002,000,0512
025,00024178,00024178,010,00082672,00005127,001024,002,000,0512
026,00024097,00024097,010,00089097,00005090,001024,002,000,0512
027,00024151,00024151,010,00083818,00005089,001024,002,000,0512
028,00023968,00023968,010,00081862,00005198,001024,002,000,0512
029,00024162,00024162,010,00085619,00005118,001024,002,000,0512
030,00023991,00023991,010,00082963,00005226,001024,002,000,0512
031,00024468,00024468,010,00083331,00005109,001024,002,000,0512
000,00024672,00024672,010,00086735,00005241,001024,003,000,0512
001,00024483,00024483,010,00086681,00005115,001024,003,000,0512
002,00024481,00024481,010,00086474,00005213,001024,003,000,0512
003,00024394,00024394,010,00088702,00005246,001024,003,000,0512
004,00024686,00024686,010,00083552,00005191,001024,003,000,0512
