tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00000000,02231762,030,01120844,00000000,001024,000,000,00016384
001,00000000,02244891,030,01126680,00000000,001024,000,000,00016384
002,00000000,02391471,030,01202398,00000000,001024,000,000,00016384
003,00000000,02235737,030,01123492,00000000,001024,000,000,00016384
004,00000000,02395900,030,01203948,00000000,001024,000,000,00016384
005,00000000,02244537,030,01127797,00000000,001024,000,000,00016384
006,00000000,02390608,030,01201398,00000000,001024,000,000,00016384
007,00000000,02399767,030,01203990,00000000,001024,000,000,00016384
008,00000000,02230682,030,01120392,00000000,001024,000,000,00016384
009,00000000,02383426,030,01197005,00000000,001024,000,000,00016384
010,00000000,02390764,030,01201983,00000000,001024,000,000,00016384
011,00000000,02231279,030,01121001,00000000,001024,000,000,00016384
012,00000000,02225903,030,01118213,00000000,001024,000,000,00016384
013,00000000,02384059,030,01197270,00000000,001024,000,000,00016384
014,00000000,02225768,030,01118585,00000000,001024,000,000,00016384
015,00000000,02221943,030,01116221,00000000,001024,000,000,00016384
016,00000000,02403256,030,01205510,00000000,001024,000,000,00016384
017,00000000,02380111,030,01196535,00000000,001024,000,000,00016384
018,00000000,02399220,030,01206270,00000000,001024,000,000,00016384
019,00000000,02205381,030,01108598,00000000,001024,000,000,00016384
020,00000000,02203150,030,01106822,00000000,001024,000,000,00016384
021,00000000,02395706,030,01203363,00000000,001024,000,000,00016384
022,00000000,02407411,030,01208019,00000000,001024,000,000,00016384
023,00000000,02394102,030,01202900,00000000,001024,000,000,00016384
024,00000000,02214368,030,01112261,00000000,001024,000,000,00016384
025,00000000,02210405,030,01110340,00000000,001024,000,000,00016384
026,00000000,02208507,030,01109247,00000000,001024,000,000,00016384
027,00000000,02214394,030,01111579,00000000,001024,000,000,00016384
028,00000000,02378661,030,01195395,00000000,001024,000,000,00016384
029,00000000,02393476,030,01203336,00000000,001024,000,000,00016384
030,00000000,02213113,030,01112252,00000000,001024,000,000,00016384
031,00000000,02386793,030,01197825,00000000,001024,000,000,00016384
