tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00000000,00495765,030,00248931,00000000,001024,000,000,00016384
001,00000000,00444358,030,00223352,00000000,001024,000,000,00016384
002,00000000,00496973,030,00249685,00000000,001024,000,000,00016384
003,00000000,00444903,030,00223798,00000000,001024,000,000,00016384
004,00000000,00497672,030,00249852,00000000,001024,000,000,00016384
005,00000000,00444375,030,00223735,00000000,001024,000,000,00016384
006,00000000,00498136,030,00250409,00000000,001024,000,000,00016384
007,00000000,00446334,030,00224131,00000000,001024,000,000,00016384
008,00000000,00443580,030,00223036,00000000,001024,000,000,00016384
009,00000000,00445974,030,00223811,00000000,001024,000,000,00016384
010,00000000,00495834,030,00249450,00000000,001024,000,000,00016384
011,00000000,00445016,030,00223936,00000000,001024,000,000,00016384
012,00000000,00443776,030,00222882,00000000,001024,000,000,00016384
013,00000000,00496624,030,00249714,00000000,001024,000,000,00016384
014,00000000,00494107,030,00248592,00000000,001024,000,000,00016384
015,00000000,00496372,030,00249277,00000000,001024,000,000,00016384
016,00000000,00497136,030,00249776,00000000,001024,000,000,00016384
017,00000000,00496797,030,00249689,00000000,001024,000,000,00016384
018,00000000,00444722,030,00223811,00000000,001024,000,000,00016384
019,00000000,00444885,030,00223381,00000000,001024,000,000,00016384
020,00000000,00444825,030,00223360,00000000,001024,000,000,00016384
021,00000000,00496663,030,00249459,00000000,001024,000,000,00016384
022,00000000,00495576,030,00249094,00000000,001024,000,000,00016384
023,00000000,00495868,030,00248996,00000000,001024,000,000,00016384
024,00000000,00443434,030,00223254,00000000,001024,000,000,00016384
025,00000000,00442650,030,00222508,00000000,001024,000,000,00016384
026,00000000,00496554,030,00249332,00000000,001024,000,000,00016384
027,00000000,00445091,030,00224014,00000000,001024,000,000,00016384
028,00000000,00495436,030,00248723,00000000,001024,000,000,00016384
029,00000000,00444570,030,00223205,00000000,001024,000,000,00016384
030,00000000,00495674,030,00249061,00000000,001024,000,000,00016384
031,00000000,00446056,030,00224416,00000000,001024,000,000,00016384
