tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00000000,00472161,030,00351184,00012028,001024,000,000,00016384
001,00000000,00451026,030,00331555,00011472,001024,000,000,00016384
002,00000000,00463083,030,00339025,00011568,001024,000,000,00016384
003,00000000,00405364,030,00299350,00010095,001024,000,000,00016384
004,00000000,00435549,030,00323302,00011078,001024,000,000,00016384
005,00000000,00496553,030,00362117,00012582,001024,000,000,00016384
006,00000000,00468266,030,00350387,00011947,001024,000,000,00016384
007,00000000,00496931,030,00372855,00012402,001024,000,000,00016384
008,00000000,00498961,030,00370778,00012683,001024,000,000,00016384
009,00000000,00542938,030,00405679,00013912,001024,000,000,00016384
010,00000000,00487376,030,00360121,00012396,001024,000,000,00016384
011,00000000,00445497,030,00330411,00011266,001024,000,000,00016384
012,00000000,00474517,030,00352272,00012160,001024,000,000,00016384
013,00000000,00469032,030,00346154,00012040,001024,000,000,00016384
014,00000000,00500907,030,00371994,00012738,001024,000,000,00016384
015,00000000,00446488,030,00334474,00011336,001024,000,000,00016384
016,00000000,00478010,030,00357912,00011884,001024,000,000,00016384
017,00000000,00462415,030,00344668,00011840,001024,000,000,00016384
018,00000000,00498604,030,00371474,00012673,001024,000,000,00016384
019,00000000,00485298,030,00359775,00012247,001024,000,000,00016384
020,00000000,00457068,030,00334491,00011790,001024,000,000,00016384
021,00000000,00493925,030,00365066,00012570,001024,000,000,00016384
022,00000000,00475636,030,00349350,00012152,001024,000,000,00016384
023,00000000,00433547,030,00326731,00010796,001024,000,000,00016384
024,00000000,00420367,030,00307946,00010772,001024,000,000,00016384
025,00000000,00485320,030,00370296,00012306,001024,000,000,00016384
026,00000000,00448151,030,00332868,00011221,001024,000,000,00016384
027,00000000,00431863,030,00322004,00010872,001024,000,000,00016384
028,00000000,00463435,030,00346423,00011907,001024,000,000,00016384
029,00000000,00473977,030,00350118,00012158,001024,000,000,00016384
030,00000000,00504039,030,00369824,00012820,001024,000,000,00016384
031,00000000,00496106,030,00368314,00012480,001024,000,000,00016384
000,00000000,00586710,030,00466516,00014687,001024,001,000,00016384
001,00000000,00442018,030,00354289,00010921,001024,001,000,00016384
002,00000000,00547361,030,00436133,00013577,001024,001,000,00016384
003,00000000,00461087,030,00367624,00011338,001024,001,000,00016384
004,00000000,00462070,030,00364041,00011552,001024,001,000,00016384
005,00000000,00423217,030,00337901,00010636,001024,001,000,00016384
006,00000000,00539080,030,00433473,00013536,001024,001,000,00016384
007,00000000,00507933,030,00414480,00012563,001024,001,000,00016384
008,00000000,00554724,030,00441094,00013731,001024,001,000,00016384
009,00000000,00613260,030,00497725,00015242,001024,001,000,00016384
010,00000000,00514202,030,00408971,00012714,001024,001,000,00016384
011,00000000,00552556,030,00437253,00013618,001024,001,000,00016384
012,00000000,00431632,030,00347533,00010700,001024,001,000,00016384
013,00000000,00592130,030,00462062,00014834,001024,001,000,00016384
014,00000000,00466222,030,00383927,00011604,001024,001,000,00016384
015,00000000,00497638,030,00399844,00012329,001024,001,000,00016384
016,00000000,00594587,030,00472204,00014824,001024,001,000,00016384
017,00000000,00475672,030,00379899,00011887,001024,001,000,00016384
018,00000000,00469190,030,00374249,00011778,001024,001,000,00016384
019,00000000,00536751,030,00429889,00013105,001024,001,000,00016384
020,00000000,00644816,030,00516562,00015813,001024,001,000,00016384
021,00000000,00460647,030,00370593,00011457,001024,001,000,00016384
022,00000000,00508371,030,00404685,00012882,001024,001,000,00016384
023,00000000,00449971,030,00369383,00011074,001024,001,000,00016384
024,00000000,00588663,030,00472534,00014605,001024,001,000,00016384
025,00000000,00529938,030,00427581,00013101,001024,001,000,00016384
026,00000000,00594412,030,00476321,00014817,001024,001,000,00016384
027,00000000,00572323,030,00464505,00014093,001024,001,000,00016384
028,00000000,00553491,030,00440927,00013719,001024,001,000,00016384
029,00000000,00486839,030,00384978,00012224,001024,001,000,00016384
030,00000000,00528779,030,00433675,00013103,001024,001,000,00016384
031,00000000,00494522,030,00392426,00012381,001024,001,000,00016384
000,00000000,00547522,030,00451632,00013453,001024,002,000,00016384
001,00000000,00519562,030,00424232,00012625,001024,002,000,00016384
002,00000000,00468812,030,00382738,00011397,001024,002,000,00016384
003,00000000,00578286,030,00471347,00013751,001024,002,000,00016384
004,00000000,00418727,030,00337446,00010372,001024,002,000,00016384
005,00000000,00495333,030,00404266,00012048,001024,002,000,00016384
006,00000000,00595688,030,00485826,00014266,001024,002,000,00016384
007,00000000,00494003,030,00402917,00012219,001024,002,000,00016384
008,00000000,00437582,030,00351746,00010736,001024,002,000,00016384
009,00000000,00603462,030,00496491,00014587,001024,002,000,00016384
010,00000000,00477714,030,00384517,00011614,001024,002,000,00016384
011,00000000,00600977,030,00484079,00014603,001024,002,000,00016384
012,00000000,00531480,030,00435223,00012985,001024,002,000,00016384
013,00000000,00521572,030,00427630,00012418,001024,002,000,00016384
014,00000000,00533174,030,00435857,00013202,001024,002,000,00016384
015,00000000,00506389,030,00407890,00012307,001024,002,000,00016384
016,00000000,00578331,030,00470834,00014013,001024,002,000,00016384
017,00000000,00524478,030,00420566,00012663,001024,002,000,00016384
018,00000000,00574452,030,00463437,00013854,001024,002,000,00016384
019,00000000,00580588,030,00458862,00014046,001024,002,000,00016384
020,00000000,00461731,030,00366348,00011262,001024,002,000,00016384
021,00000000,00528808,030,00434524,00012882,001024,002,000,00016384
022,00000000,00505380,030,00407009,00012373,001024,002,000,00016384
023,00000000,00507506,030,00418771,00012348,001024,002,000,00016384
024,00000000,00526884,030,00432519,00012801,001024,002,000,00016384
025,00000000,00534220,030,00434191,00012989,001024,002,000,00016384
026,00000000,00442039,030,00358787,00010814,001024,002,000,00016384
027,00000000,00495022,030,00404847,00012270,001024,002,000,00016384
028,00000000,00496877,030,00413899,00012149,001024,002,000,00016384
029,00000000,00579701,030,00465846,00014071,001024,002,000,00016384
030,00000000,00555394,030,00448195,00013539,001024,002,000,00016384
031,00000000,00539585,030,00441782,00013282,001024,002,000,00016384
000,00000000,00397113,030,00309593,00009898,001024,003,000,00016384
001,00000000,00439103,030,00348410,00010987,001024,003,000,00016384
002,00000000,00415182,030,00329511,00010294,001024,003,000,00016384
003,00000000,00376323,030,00296661,00009283,001024,003,000,00016384
004,00000000,00398085,030,00315337,00009910,001024,003,000,00016384
005,00000000,00362511,030,00280125,00008834,001024,003,000,00016384
006,00000000,00364482,030,00283940,00009150,001024,003,000,00016384
007,00000000,00359082,030,00279979,00008990,001024,003,000,00016384
008,00000000,00350134,030,00279740,00008725,001024,003,000,00016384
009,00000000,00348047,030,00272833,00008451,001024,003,000,00016384
010,00000000,00381497,030,00291957,00009527,001024,003,000,00016384
011,00000000,00377730,030,00296452,00009341,001024,003,000,00016384
012,00000000,00445701,030,00349216,00010793,001024,003,000,00016384
013,00000000,00438585,030,00335533,00010855,001024,003,000,00016384
014,00000000,00404337,030,00325349,00010026,001024,003,000,00016384
015,00000000,00383247,030,00300974,00009656,001024,003,000,00016384
016,00000000,00431200,030,00329839,00010636,001024,003,000,00016384
017,00000000,00404555,030,00314854,00010160,001024,003,000,00016384
018,00000000,00448068,030,00355893,00011046,001024,003,000,00016384
019,00000000,00418158,030,00324155,00010113,001024,003,000,00016384
020,00000000,00433900,030,00337467,00010785,001024,003,000,00016384
021,00000000,00349093,030,00269881,00008681,001024,003,000,00016384
022,00000000,00339789,030,00270713,00008438,001024,003,000,00016384
023,00000000,00386590,030,00309798,00009240,001024,003,000,00016384
024,00000000,00404836,030,00317792,00009839,001024,003,000,00016384
025,00000000,00414188,030,00320143,00010394,001024,003,000,00016384
026,00000000,00404118,030,00320565,00010100,001024,003,000,00016384
027,00000000,00461231,030,00365399,00011328,001024,003,000,00016384
028,00000000,00432583,030,00336158,00010735,001024,003,000,00016384
029,00000000,00349032,030,00268009,00008626,001024,003,000,00016384
030,00000000,00343055,030,00265928,00008501,001024,003,000,00016384
031,00000000,00420346,030,00350028,00010512,001024,003,000,00016384
