lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0008406,0000922,0000131,0001005,0015520,0007635,0015479,001024,001,000,0512
0017433,0001011,0001152,0001015,0035748,0016421,0035467,001024,001,000,0512
0007364,0000921,0000130,0001005,0013726,0006563,0013685,001024,002,000,0512
0015249,0001010,0001062,0001019,0023234,0014066,0022924,001024,002,000,0512
0008476,0001001,0000180,0001005,0015610,0007664,0015549,001024,003,000,0512
0016321,0001012,0001312,0001015,0040295,0015299,0040015,001024,003,000,0512
0007384,0000891,0000130,0001005,0013766,0006582,0013716,001024,004,000,0512
0017122,0001012,0001132,0001019,0025768,0015840,0025478,001024,004,000,0512
0007254,0000902,0000140,0001005,0013546,0006483,0013496,001024,001,001,0512
0013726,0001010,0001072,0001018,0021270,0012504,0020929,001024,001,001,0512
0008296,0000901,0000131,0001005,0015389,0007554,0015349,001024,002,001,0512
0016071,0001011,0001092,0001015,0036930,0015058,0036659,001024,002,001,0512
0007304,0000932,0000140,0001005,0013675,0006512,0013626,001024,003,001,0512
0016020,0001013,0001102,0001018,0024456,0014657,0024136,001024,003,001,0512
0008406,0001001,0000180,0001005,0015539,0007584,0015479,001024,004,001,0512
0016010,0001012,0001292,0001015,0039565,0014928,0039263,001024,004,001,0512
0008336,0000892,0000130,0001005,0015419,0007594,0015379,001024,001,002,0512
0015940,0001010,0001112,0001015,0034756,0014918,0034515,001024,001,002,0512
0007364,0000921,0000130,0001005,0013706,0006563,0013665,001024,002,002,0512
0014127,0001010,0001062,0001018,0021991,0012874,0021691,001024,002,002,0512
0008456,0001001,0000180,0001005,0015590,0007645,0015530,001024,003,002,0512
0016280,0001012,0001302,0001015,0039604,0015199,0039374,001024,003,002,0512
0007404,0000932,0000131,0001005,0013826,0006583,0013776,001024,004,002,0512
0015980,0001013,0001102,0001017,0024706,0014508,0024436,001024,004,002,0512
