tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00061300,00061300,010,00122600,00000000,001024,001,000,0512
001,00061300,00061300,010,00122600,00000000,001024,001,000,0512
002,00061300,00061300,010,00122600,00000000,001024,001,000,0512
003,00061200,00061200,010,00122400,00000000,001024,001,000,0512
004,00061000,00061000,010,00122000,00000000,001024,001,000,0512
005,00061400,00061400,010,00122800,00000000,001024,001,000,0512
006,00060900,00060900,010,00121800,00000000,001024,001,000,0512
007,00061700,00061700,010,00123400,00000000,001024,001,000,0512
008,00062645,00062645,010,00125290,00000000,001024,001,000,0512
009,00061098,00061098,010,00122196,00000000,001024,001,000,0512
010,00063400,00063400,010,00126800,00000000,001024,001,000,0512
011,00062700,00062700,010,00125400,00000000,001024,001,000,0512
012,00061400,00061400,010,00122800,00000000,001024,001,000,0512
013,00063000,00063000,010,00126000,00000000,001024,001,000,0512
014,00062600,00062600,010,00125200,00000000,001024,001,000,0512
015,00064300,00064300,010,00128600,00000000,001024,001,000,0512
016,00064200,00064200,010,00128400,00000000,001024,001,000,0512
017,00063700,00063700,010,00127400,00000000,001024,001,000,0512
018,00063800,00063800,010,00127600,00000000,001024,001,000,0512
019,00063209,00063209,010,00126418,00000000,001024,001,000,0512
020,00063500,00063500,010,00127000,00000000,001024,001,000,0512
021,00064400,00064400,010,00128800,00000000,001024,001,000,0512
022,00064300,00064300,010,00128600,00000000,001024,001,000,0512
023,00063600,00063600,010,00127200,00000000,001024,001,000,0512
024,00064107,00064107,010,00128214,00000000,001024,001,000,0512
025,00063929,00063929,010,00127858,00000000,001024,001,000,0512
026,00063800,00063800,010,00127600,00000000,001024,001,000,0512
027,00064600,00064600,010,00129200,00000000,001024,001,000,0512
028,00063400,00063400,010,00126800,00000000,001024,001,000,0512
029,00064200,00064200,010,00128400,00000000,001024,001,000,0512
030,00063600,00063600,010,00127200,00000000,001024,001,000,0512
031,00064100,00064100,010,00128200,00000000,001024,001,000,0512
000,00064100,00064100,010,00128200,00000000,001024,001,001,0512
001,00062666,00062666,010,00125332,00000000,001024,001,001,0512
002,00063113,00063113,010,00126226,00000000,001024,001,001,0512
003,00062751,00062751,010,00125502,00000000,001024,001,001,0512
004,00062500,00062500,010,00125000,00000000,001024,001,001,0512
005,00063800,00063800,010,00127600,00000000,001024,001,001,0512
006,00063000,00063000,010,00126000,00000000,001024,001,001,0512
007,00064400,00064400,010,00128800,00000000,001024,001,001,0512
008,00065338,00065338,010,00130676,00000000,001024,001,001,0512
009,00063800,00063800,010,00127600,00000000,001024,001,001,0512
010,00063700,00063700,010,00127400,00000000,001024,001,001,0512
011,00065094,00065094,010,00130188,00000000,001024,001,001,0512
012,00066200,00066200,010,00132400,00000000,001024,001,001,0512
013,00065600,00065600,010,00131200,00000000,001024,001,001,0512
014,00065000,00065000,010,00130000,00000000,001024,001,001,0512
015,00065539,00065539,010,00131078,00000000,001024,001,001,0512
016,00064405,00064405,010,00128810,00000000,001024,001,001,0512
017,00065300,00065300,010,00130600,00000000,001024,001,001,0512
018,00062990,00062990,010,00125980,00000000,001024,001,001,0512
019,00065604,00065604,010,00131208,00000000,001024,001,001,0512
020,00065000,00065000,010,00130000,00000000,001024,001,001,0512
021,00065896,00065896,010,00131792,00000000,001024,001,001,0512
022,00065539,00065539,010,00131078,00000000,001024,001,001,0512
023,00066100,00066100,010,00132200,00000000,001024,001,001,0512
024,00065416,00065416,010,00130832,00000000,001024,001,001,0512
025,00065200,00065200,010,00130400,00000000,001024,001,001,0512
026,00065400,00065400,010,00130800,00000000,001024,001,001,0512
027,00066312,00066312,010,00132624,00000000,001024,001,001,0512
028,00065300,00065300,010,00130600,00000000,001024,001,001,0512
029,00065300,00065300,010,00130600,00000000,001024,001,001,0512
030,00065970,00065970,010,00131940,00000000,001024,001,001,0512
031,00064912,00064912,010,00129824,00000000,001024,001,001,0512
000,00064657,00064657,010,00129314,00000000,001024,001,002,0512
001,00063700,00063700,010,00127400,00000000,001024,001,002,0512
002,00063769,00063769,010,00127538,00000000,001024,001,002,0512
003,00063400,00063400,010,00126800,00000000,001024,001,002,0512
004,00064100,00064100,010,00128200,00000000,001024,001,002,0512
005,00063900,00063900,010,00127800,00000000,001024,001,002,0512
006,00064100,00064100,010,00128200,00000000,001024,001,002,0512
007,00064500,00064500,010,00129000,00000000,001024,001,002,0512
008,00064600,00064600,010,00129200,00000000,001024,001,002,0512
009,00066153,00066153,010,00132306,00000000,001024,001,002,0512
010,00065357,00065357,010,00130714,00000000,001024,001,002,0512
011,00065319,00065319,010,00130638,00000000,001024,001,002,0512
012,00066800,00066800,010,00133600,00000000,001024,001,002,0512
013,00065600,00065600,010,00131200,00000000,001024,001,002,0512
014,00066700,00066700,010,00133400,00000000,001024,001,002,0512
015,00067129,00067129,010,00134258,00000000,001024,001,002,0512
016,00067100,00067100,010,00134200,00000000,001024,001,002,0512
017,00066600,00066600,010,00133200,00000000,001024,001,002,0512
018,00066900,00066900,010,00133800,00000000,001024,001,002,0512
019,00066500,00066500,010,00133000,00000000,001024,001,002,0512
020,00067300,00067300,010,00134600,00000000,001024,001,002,0512
021,00065861,00065861,010,00131722,00000000,001024,001,002,0512
022,00067765,00067765,010,00135530,00000000,001024,001,002,0512
023,00066100,00066100,010,00132200,00000000,001024,001,002,0512
024,00067572,00067572,010,00135144,00000000,001024,001,002,0512
025,00067300,00067300,010,00134600,00000000,001024,001,002,0512
026,00066240,00066240,010,00132480,00000000,001024,001,002,0512
027,00067490,00067490,010,00134980,00000000,001024,001,002,0512
028,00066800,00066800,010,00133600,00000000,001024,001,002,0512
029,00067124,00067124,010,00134248,00000000,001024,001,002,0512
030,00066225,00066225,010,00132450,00000000,001024,001,002,0512
031,00067200,00067200,010,00134400,00000000,001024,001,002,0512
