tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00069600,00069600,010,00139324,00000026,001024,001,000,0512
001,00070200,00070200,010,00140479,00000031,001024,001,000,0512
002,00069700,00069700,010,00139488,00000033,001024,001,000,0512
003,00069776,00069776,010,00139604,00000040,001024,001,000,0512
004,00068649,00068649,010,00137398,00000028,001024,001,000,0512
005,00069397,00069397,010,00138893,00000028,001024,001,000,0512
006,00068300,00068300,010,00136742,00000021,001024,001,000,0512
007,00070100,00070100,010,00140258,00000037,001024,001,000,0512
008,00071700,00071700,010,00143494,00000029,001024,001,000,0512
009,00070644,00070644,010,00141416,00000027,001024,001,000,0512
010,00071000,00071000,010,00142132,00000024,001024,001,000,0512
011,00070615,00070615,010,00141364,00000030,001024,001,000,0512
012,00071786,00071786,010,00143654,00000033,001024,001,000,0512
013,00075101,00075101,010,00150308,00000040,001024,001,000,0512
014,00069900,00069900,010,00139921,00000020,001024,001,000,0512
015,00072567,00072567,010,00145244,00000036,001024,001,000,0512
016,00072064,00072064,010,00144267,00000038,001024,001,000,0512
017,00074996,00074996,010,00150149,00000030,001024,001,000,0512
018,00071800,00071800,010,00143710,00000039,001024,001,000,0512
019,00074600,00074600,010,00149283,00000042,001024,001,000,0512
020,00075000,00075000,010,00150125,00000035,001024,001,000,0512
021,00071700,00071700,010,00143500,00000026,001024,001,000,0512
022,00074850,00074850,010,00149800,00000027,001024,001,000,0512
023,00072245,00072245,010,00144629,00000032,001024,001,000,0512
024,00074266,00074266,010,00148630,00000036,001024,001,000,0512
025,00073847,00073847,010,00147808,00000035,001024,001,000,0512
026,00074000,00074000,010,00148117,00000037,001024,001,000,0512
027,00071600,00071600,010,00143271,00000033,001024,001,000,0512
028,00071890,00071890,010,00143892,00000032,001024,001,000,0512
029,00072273,00072273,010,00144645,00000039,001024,001,000,0512
030,00073600,00073600,010,00147270,00000033,001024,001,000,0512
031,00071300,00071300,010,00142693,00000035,001024,001,000,0512
000,00069100,00069100,010,00138337,00000026,001024,002,000,0512
001,00067200,00067200,010,00134507,00000031,001024,002,000,0512
002,00068600,00068600,010,00137376,00000028,001024,002,000,0512
003,00066700,00066700,010,00133530,00000027,001024,002,000,0512
004,00068900,00068900,010,00138029,00000024,001024,002,000,0512
005,00067900,00067900,010,00135966,00000021,001024,002,000,0512
006,00069500,00069500,010,00139194,00000022,001024,002,000,0512
007,00067800,00067800,010,00135710,00000026,001024,002,000,0512
008,00070400,00070400,010,00140967,00000028,001024,002,000,0512
009,00070600,00070600,010,00141374,00000031,001024,002,000,0512
010,00068800,00068800,010,00137785,00000018,001024,002,000,0512
011,00071367,00071367,010,00142889,00000029,001024,002,000,0512
012,00069900,00069900,010,00139964,00000023,001024,002,000,0512
013,00072300,00072300,010,00144757,00000022,001024,002,000,0512
014,00070500,00070500,010,00141145,00000022,001024,002,000,0512
015,00070096,00070096,010,00140379,00000025,001024,002,000,0512
016,00072700,00072700,010,00145574,00000024,001024,002,000,0512
017,00073000,00073000,010,00146152,00000025,001024,002,000,0512
018,00069300,00069300,010,00138730,00000027,001024,002,000,0512
019,00072400,00072400,010,00144950,00000026,001024,002,000,0512
020,00066954,00066954,010,00134027,00000026,001024,002,000,0512
021,00070824,00070824,010,00141777,00000027,001024,002,000,0512
022,00068200,00068200,010,00136516,00000034,001024,002,000,0512
023,00072200,00072200,010,00144565,00000025,001024,002,000,0512
024,00073267,00073267,010,00146996,00000032,001024,002,000,0512
025,00072271,00072271,010,00144713,00000022,001024,002,000,0512
026,00070169,00070169,010,00140439,00000031,001024,002,000,0512
027,00070700,00070700,010,00141544,00000036,001024,002,000,0512
028,00072525,00072525,010,00145204,00000036,001024,002,000,0512
029,00070300,00070300,010,00140755,00000024,001024,002,000,0512
030,00070000,00070000,010,00140122,00000030,001024,002,000,0512
031,00072100,00072100,010,00144351,00000032,001024,002,000,0512
000,00062600,00062600,010,00125286,00000027,001024,003,000,0512
001,00062432,00062432,010,00124961,00000023,001024,003,000,0512
002,00062239,00062239,010,00124593,00000029,001024,003,000,0512
003,00062300,00062300,010,00124735,00000022,001024,003,000,0512
004,00062800,00062800,010,00125676,00000021,001024,003,000,0512
005,00062480,00062480,010,00125061,00000020,001024,003,000,0512
006,00063305,00063305,010,00126756,00000024,001024,003,000,0512
007,00062500,00062500,010,00125118,00000020,001024,003,000,0512
008,00063600,00063600,010,00127278,00000026,001024,003,000,0512
009,00063800,00063800,010,00127724,00000017,001024,003,000,0512
010,00064000,00064000,010,00128073,00000022,001024,003,000,0512
011,00062835,00062835,010,00125794,00000025,001024,003,000,0512
012,00063900,00063900,010,00127901,00000029,001024,003,000,0512
013,00065253,00065253,010,00130573,00000028,001024,003,000,0512
014,00064500,00064500,010,00129129,00000026,001024,003,000,0512
015,00064950,00064950,010,00130008,00000018,001024,003,000,0512
016,00064300,00064300,010,00128712,00000031,001024,003,000,0512
017,00065784,00065784,010,00131689,00000021,001024,003,000,0512
018,00065695,00065695,010,00131472,00000036,001024,003,000,0512
019,00064500,00064500,010,00129109,00000021,001024,003,000,0512
020,00064875,00064875,010,00129833,00000034,001024,003,000,0512
021,00065058,00065058,010,00130236,00000025,001024,003,000,0512
022,00064900,00064900,010,00129903,00000030,001024,003,000,0512
023,00064800,00064800,010,00129690,00000028,001024,003,000,0512
024,00065700,00065700,010,00131460,00000029,001024,003,000,0512
025,00065065,00065065,010,00130256,00000017,001024,003,000,0512
026,00065400,00065400,010,00130866,00000022,001024,003,000,0512
027,00064573,00064573,010,00129225,00000031,001024,003,000,0512
028,00066000,00066000,010,00132065,00000031,001024,003,000,0512
029,00065100,00065100,010,00130298,00000025,001024,003,000,0512
030,00064538,00064538,010,00129229,00000017,001024,003,000,0512
031,00064800,00064800,010,00129723,00000024,001024,003,000,0512
000,00072300,00072300,010,00144737,00000030,001024,004,000,0512
001,00066369,00066369,010,00132904,00000017,001024,004,000,0512
002,00066056,00066056,010,00132291,00000020,001024,004,000,0512
003,00073200,00073200,010,00146621,00000027,001024,004,000,0512
004,00073100,00073100,010,00146377,00000023,001024,004,000,0512
005,00066448,00066448,010,00132985,00000031,001024,004,000,0512
006,00072565,00072565,010,00145297,00000029,001024,004,000,0512
007,00074700,00074700,010,00149550,00000032,001024,004,000,0512
008,00067000,00067000,010,00134093,00000031,001024,004,000,0512
009,00067916,00067916,010,00135974,00000016,001024,004,000,0512
010,00068100,00068100,010,00136329,00000025,001024,004,000,0512
011,00074100,00074100,010,00148367,00000018,001024,004,000,0512
012,00077700,00077700,010,00155586,00000021,001024,004,000,0512
013,00077000,00077000,010,00154127,00000032,001024,004,000,0512
014,00069400,00069400,010,00138982,00000028,001024,004,000,0512
015,00069800,00069800,010,00139795,00000022,001024,004,000,0512
016,00077000,00077000,010,00154165,00000033,001024,004,000,0512
017,00069444,00069444,010,00139015,00000018,001024,004,000,0512
018,00066586,00066586,010,00133324,00000026,001024,004,000,0512
019,00069397,00069397,010,00138910,00000025,001024,004,000,0512
020,00076500,00076500,010,00153205,00000029,001024,004,000,0512
021,00069300,00069300,010,00138743,00000022,001024,004,000,0512
022,00076184,00076184,010,00152546,00000036,001024,004,000,0512
023,00069524,00069524,010,00139157,00000033,001024,004,000,0512
024,00077000,00077000,010,00154180,00000030,001024,004,000,0512
025,00069300,00069300,010,00138769,00000030,001024,004,000,0512
026,00076800,00076800,010,00153763,00000032,001024,004,000,0512
027,00076200,00076200,010,00153236,00000029,001024,004,000,0512
028,00069100,00069100,010,00138307,00000026,001024,004,000,0512
029,00076500,00076500,010,00153172,00000031,001024,004,000,0512
030,00069634,00069634,010,00139378,00000036,001024,004,000,0512
031,00075700,00075700,010,00151574,00000031,001024,004,000,0512
000,00076700,00076700,010,00153592,00000019,001024,001,001,0512
001,00066200,00066200,010,00132524,00000029,001024,001,001,0512
002,00066175,00066175,010,00132455,00000028,001024,001,001,0512
003,00065900,00065900,010,00131896,00000031,001024,001,001,0512
004,00077048,00077048,010,00154261,00000024,001024,001,001,0512
005,00066900,00066900,010,00133960,00000026,001024,001,001,0512
006,00067883,00067883,010,00135915,00000035,001024,001,001,0512
007,00077000,00077000,010,00154171,00000023,001024,001,001,0512
008,00076500,00076500,010,00153155,00000031,001024,001,001,0512
009,00078500,00078500,010,00157156,00000037,001024,001,001,0512
010,00078426,00078426,010,00157037,00000026,001024,001,001,0512
011,00067500,00067500,010,00135113,00000023,001024,001,001,0512
012,00079700,00079700,010,00159590,00000034,001024,001,001,0512
013,00069100,00069100,010,00138354,00000016,001024,001,001,0512
014,00080800,00080800,010,00161742,00000029,001024,001,001,0512
015,00068700,00068700,010,00137571,00000027,001024,001,001,0512
016,00080400,00080400,010,00160963,00000039,001024,001,001,0512
017,00069000,00069000,010,00138126,00000019,001024,001,001,0512
018,00068647,00068647,010,00137425,00000022,001024,001,001,0512
019,00080558,00080558,010,00161252,00000039,001024,001,001,0512
020,00080707,00080707,010,00161581,00000036,001024,001,001,0512
021,00067704,00067704,010,00135554,00000032,001024,001,001,0512
022,00079700,00079700,010,00159596,00000028,001024,001,001,0512
023,00068949,00068949,010,00138039,00000020,001024,001,001,0512
024,00081097,00081097,010,00163328,00000033,001024,001,001,0512
025,00068400,00068400,010,00136926,00000031,001024,001,001,0512
026,00065700,00065700,010,00131518,00000025,001024,001,001,0512
027,00080800,00080800,010,00161755,00000030,001024,001,001,0512
028,00080400,00080400,010,00160982,00000037,001024,001,001,0512
029,00068703,00068703,010,00137576,00000021,001024,001,001,0512
030,00079968,00079968,010,00160131,00000023,001024,001,001,0512
031,00068361,00068361,010,00136873,00000030,001024,001,001,0512
000,00072942,00072942,010,00145971,00000033,001024,002,001,0512
001,00065500,00065500,010,00131085,00000026,001024,002,001,0512
002,00064900,00064900,010,00129908,00000023,001024,002,001,0512
003,00072600,00072600,010,00145357,00000028,001024,002,001,0512
004,00066200,00066200,010,00132476,00000028,001024,002,001,0512
005,00072500,00072500,010,00145144,00000032,001024,002,001,0512
006,00064900,00064900,010,00129899,00000030,001024,002,001,0512
007,00065900,00065900,010,00131904,00000031,001024,002,001,0512
008,00066300,00066300,010,00132707,00000031,001024,002,001,0512
