tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,array_size(B),nodeID,run,lockNR
000,00063700,00063700,010,00127336,00000032,001024,001,000,0512
001,00062990,00062990,010,00125928,00000026,001024,001,000,0512
002,00062819,00062819,010,00125578,00000030,001024,001,000,0512
003,00062800,00062800,010,00125556,00000022,001024,001,000,0512
004,00062800,00062800,010,00125556,00000022,001024,001,000,0512
005,00062488,00062488,010,00124950,00000013,001024,001,000,0512
006,00061900,00061900,010,00123730,00000035,001024,001,000,0512
007,00062238,00062238,010,00124420,00000028,001024,001,000,0512
008,00062800,00062800,010,00125574,00000013,001024,001,000,0512
009,00062600,00062600,010,00125130,00000035,001024,001,000,0512
010,00063387,00063387,010,00126734,00000020,001024,001,000,0512
011,00063661,00063661,010,00127294,00000014,001024,001,000,0512
012,00062600,00062600,010,00125136,00000032,001024,001,000,0512
013,00063044,00063044,010,00126048,00000020,001024,001,000,0512
014,00062748,00062748,010,00125438,00000029,001024,001,000,0512
015,00062800,00062800,010,00125568,00000016,001024,001,000,0512
016,00063589,00063589,010,00127124,00000027,001024,001,000,0512
017,00061700,00061700,010,00123342,00000029,001024,001,000,0512
018,00063200,00063200,010,00126344,00000028,001024,001,000,0512
019,00063010,00063010,010,00125972,00000024,001024,001,000,0512
020,00063100,00063100,010,00126146,00000027,001024,001,000,0512
021,00063300,00063300,010,00126566,00000017,001024,001,000,0512
022,00062516,00062516,010,00125000,00000016,001024,001,000,0512
023,00062397,00062397,010,00124752,00000021,001024,001,000,0512
024,00064252,00064252,010,00128454,00000025,001024,001,000,0512
025,00064524,00064524,010,00129002,00000023,001024,001,000,0512
026,00064600,00064600,010,00129162,00000019,001024,001,000,0512
027,00064800,00064800,010,00129556,00000022,001024,001,000,0512
028,00065504,00065504,010,00130970,00000019,001024,001,000,0512
029,00065307,00065307,010,00130558,00000028,001024,001,000,0512
030,00065800,00065800,010,00131532,00000034,001024,001,000,0512
031,00065319,00065319,010,00130582,00000028,001024,001,000,0512
000,00066800,00066800,010,00133536,00000032,001024,001,001,0512
001,00067671,00067671,010,00135296,00000023,001024,001,001,0512
002,00061100,00061100,010,00122148,00000026,001024,001,001,0512
003,00061100,00061100,010,00122156,00000022,001024,001,001,0512
004,00066814,00066814,010,00133560,00000034,001024,001,001,0512
005,00060798,00060798,010,00121550,00000023,001024,001,001,0512
006,00066700,00066700,010,00133360,00000020,001024,001,001,0512
007,00060377,00060377,010,00120692,00000031,001024,001,001,0512
008,00066600,00066600,010,00133148,00000026,001024,001,001,0512
009,00061500,00061500,010,00122952,00000024,001024,001,001,0512
010,00066700,00066700,010,00133358,00000021,001024,001,001,0512
011,00066500,00066500,010,00132956,00000022,001024,001,001,0512
012,00061400,00061400,010,00122752,00000024,001024,001,001,0512
013,00061376,00061376,010,00122712,00000020,001024,001,001,0512
014,00066400,00066400,010,00132730,00000035,001024,001,001,0512
015,00060900,00060900,010,00121766,00000017,001024,001,001,0512
016,00061000,00061000,010,00121952,00000024,001024,001,001,0512
017,00061058,00061058,010,00122068,00000024,001024,001,001,0512
018,00067010,00067010,010,00133974,00000023,001024,001,001,0512
019,00066700,00066700,010,00133348,00000026,001024,001,001,0512
020,00061000,00061000,010,00121940,00000030,001024,001,001,0512
021,00066700,00066700,010,00133352,00000024,001024,001,001,0512
022,00066500,00066500,010,00132950,00000025,001024,001,001,0512
023,00060900,00060900,010,00121748,00000026,001024,001,001,0512
024,00068426,00068426,010,00136792,00000030,001024,001,001,0512
025,00062075,00062075,010,00124110,00000020,001024,001,001,0512
026,00068668,00068668,010,00137284,00000026,001024,001,001,0512
027,00069593,00069593,010,00139124,00000031,001024,001,001,0512
028,00062192,00062192,010,00124340,00000022,001024,001,001,0512
029,00063300,00063300,010,00126562,00000019,001024,001,001,0512
030,00070300,00070300,010,00140552,00000024,001024,001,001,0512
031,00063193,00063193,010,00126348,00000019,001024,001,001,0512
000,00064900,00064900,010,00129750,00000025,001024,001,002,0512
